"Name","Phone","Rating","Votes","Locality","City"
"Rk 2 (OYO 31000)","+ 91  9171981118","2.0","3","Golden Temple","Amritsar"
" dairy farm zseg","+ 91  9830088012","","0","Bagga","Amritsar"
"Verka Dairy","+ 91  7386007210","4.3","318","Verka","Amritsar"
"dairy","+ 91  7084699702","","0","Amritsar","Amritsar"
"Chandi Dairy Farm","+ 91  9880004472","4.2","43","Ludhar","Amritsar"
"dairy","+ 91  7092975140","","0","Amritsar","Amritsar"
"Randhawa Dairy Farm & Bee Keeping","+ 91  9838809138","4.4","7","Jalalusman","Amritsar"
"Roop Dairy Farm","+ 91  9883902250","4.8","65","","Amritsar"
"Dairy Day (Closed Down)","","3.4","5","Jahangir","Amritsar"
"Hansraj Dairy","+ 91  7870276857","3.2","10","Goindwal","Amritsar"
"Gill Dairy","+ 91  9830728085","4.9","7","Ranjit Avenue","Amritsar"
"Dhillon Dairy Farm","+ 91  9839412411","3.8","24","","Amritsar"
"Chawla Chicken","+ 91  18346181515","3.9","498","Lawrence Road","Amritsar"
"Kapoor Dairy","+ 91  9556481759","4.3","11","Sharifpura","Amritsar"
"Batth Dairy","","3.2","59","Islamabad Nagar","Amritsar"
"Hundal Dairy Farm","+ 91  9886251331","4.3","29","","Amritsar"
"Chawlas 2 Fine Dine","+ 91  18358635785","3.9","448","Ranjit Avenue","Amritsar"
"Parvesh Dairy","+ 91  9113502350","5.0","4","Basant Avenue","Amritsar"
"Khehra Dairy Farm","+ 91  8490354407","4.7","12","","Amritsar"
"Chawla 2","+ 91  18340146231","4.1","494","Ranjeet Avenue Block A","Amritsar"
"Joban Dairy Farm","+ 91  9722488586","4.8","8","","Amritsar"
"Dairy Day","+ 91  18385533138","3.6","6","Jandiala Guru","Amritsar"
"Sardar Dairy","+ 91  985489692","","0","Amritsar GPO","Amritsar"
"Dairy Day","+ 91  1835698557","3.6","6","Jandiala Guru","Amritsar"
"Gurmit Singh Dairy Farm","+ 91  9996035468","3.1","24","Mari Megha","Amritsar"
"Dairy Craft Piza Chese Sood","+ 91  9934074579","","0","Shivala Colony","Amritsar"
"Gurpinder Dairy Farm","+ 91  9894044266","2.6","14","Jhita Kalan","Amritsar"
"Dairy Day (Closed Down)","","3.4","5","Jahangir","Amritsar"
"Sandhu Dairy Farm","+ 91  9754583782","4.7","29","","Amritsar"
"Chawlas 2","+ 91  018318753022","3.9","379","Ranjit Avenue","Amritsar"
