"Name","Phone","Rating","Votes","Locality","City"
"Dairy Craft Piza Chese Sood","+ 91  993951758","","0","Shivala Colony","Amritsar"
"Forever Living Products Independent Distributor","+ 91  9824511027","3.3","6","Ranjit Avenue","Amritsar"
"Dairy Craft Piza Chese Sood","+ 91  9927954965","","0","Shivala Colony","Amritsar"
"Forever Living Products Independent Distributor","+ 91  9833022756","3.3","6","Ranjit Avenue","Amritsar"
"Dairy Bhullar","+ 91  8515508094","","0","Sultanwind road","Amritsar"
"Forever Living Products Independent Distributor","+ 91  9865647099","3.3","6","Ranjit Avenue","Amritsar"
"dairy","+ 91  7098375452","","0","Amritsar","Amritsar"
"dairy","+ 91  7075048222","","0","Amritsar","Amritsar"
"Harpal Dairy Milk Products","+ 91  9441123450","4.5","26","Khandwala","Amritsar"
"Modicare products distributor","+ 91  9899938134","","0","Amritsar GPO","Amritsar"
"Dairy Day","+ 91  18359486089","3.6","6","Jandiala Guru","Amritsar"
"Dairy Day (Closed Down)","","3.4","5","Jahangir","Amritsar"
"TSB DAIRIES AND PRODUCTS","+ 91  9760894720","","0","Gehri Mandi","Amritsar"
" dairy farm zseg","+ 91  9881172901","","0","Bagga","Amritsar"
"Amul Dairy","+ 91  8565261040","3.0","3","Kathu Nangal","Amritsar"
" dairy farm zseg","+ 91  9885779085","","0","Bagga","Amritsar"
"TSB DAIRIES AND PRODUCTS","+ 91  9799299578","","0","Gehri Mandi","Amritsar"
"Dairy Craft Piza Chese Sood","+ 91  9988834059","","0","Shivala Colony","Amritsar"
"Harpal Dairy Milk Products","+ 91  9498394155","4.5","26","Khandwala","Amritsar"
"Forever Living Products Independent Distributor","+ 91  9861338265","3.3","6","Ranjit Avenue","Amritsar"
"Harpal Dairy Milk Products","+ 91  9439140574","4.5","26","Khandwala","Amritsar"
"4 Life Products Distributar In India","+ 91  7877793721","","0","guru dwara gur teg bahadur","Amritsar"
"Dairy Day","+ 91  18327366106","3.6","6","Jandiala Guru","Amritsar"
"Chawla Chicken","+ 91  18352130219","3.9","498","Lawrence Road","Amritsar"
"Anjan Mutton & Chicken Products-Anjans Dineinn & Takeaway","+ 91  9119474658","4.1","671","Chheharta","Amritsar"
"Dairy Day (Closed Down)","","3.4","5","Jahangir","Amritsar"
"Modicare products distributor","+ 91  9878399014","","0","Amritsar GPO","Amritsar"
"Dairy Bhullar","+ 91  8555604269","","0","Sultanwind road","Amritsar"
"Modicare products distributor","+ 91  9822442665","","0","Amritsar GPO","Amritsar"
"Dairy Day (Closed Down)","","3.4","5","Jahangir","Amritsar"
"TSB DAIRIES AND PRODUCTS","+ 91  9784567758","","0","Gehri Mandi","Amritsar"
"TSB DAIRIES AND PRODUCTS","+ 91  9713589862","","0","Gehri Mandi","Amritsar"
"Anjan Mutton & Chicken Products-Anjans Dineinn & Takeaway","+ 91  9150765602","4.1","671","Chheharta","Amritsar"
"Harpal Dairy Milk Products","+ 91  9426666701","4.5","26","Khandwala","Amritsar"
"Dairy Day","+ 91  18377328992","3.6","6","Jandiala Guru","Amritsar"
"Dairy Day","+ 91  18369652671","3.6","6","Jandiala Guru","Amritsar"
"Dairy Craft Piza Chese Sood","+ 91  9967645453","","0","Shivala Colony","Amritsar"
"dairy","+ 91  7022191875","","0","Amritsar","Amritsar"
"Dairy Craft Piza Chese Sood","+ 91  9927158502","","0","Shivala Colony","Amritsar"
"dairy","+ 91  7099844050","","0","Amritsar","Amritsar"
"Bhoma Amul Dairy","+ 91  944667369","1.0","1","","Amritsar"
" dairy farm zseg","+ 91  9842445990","","0","Bagga","Amritsar"
"Forever Living Products Independent Distributor","+ 91  9880164138","3.3","6","Ranjit Avenue","Amritsar"
"dairy","+ 91  7086872454","","0","Amritsar","Amritsar"
" dairy farm zseg","+ 91  9822896348","","0","Bagga","Amritsar"
"Modicare products distributor","+ 91  9869196707","","0","Amritsar GPO","Amritsar"
"Dairy Day","+ 91  18396729710","3.6","6","Jandiala Guru","Amritsar"
"Amul Dairy","+ 91  9535087808","4.1","11","","Amritsar"
"Harpal Dairy Milk Products","+ 91  9482315910","4.5","26","Khandwala","Amritsar"
" dairy farm zseg","+ 91  9844533146","","0","Bagga","Amritsar"
