"Name","Phone","Rating","Votes","Locality","City"
"New D.S. Dairy & Sweet Shop","","5.0","2","Near Gurudwara Kalgidhar Sahib,Opposite Bank Wali Gali","Amritsar"
"Sharma Dairy & sweat shop","+ 91  01835053832","4.2","40","Amritsar Gpo","Amritsar"
"Nishan Sweet Shop & Dairy pure desi ghee","+ 91  9818884253","5.0","2","","Amritsar"
"Varinder Karyana Store","+ 91  9817068096","4.2","9","Katra Ahluwalia","Amritsar"
"Anand Karyana Store & Abhi Disposable","+ 91  9813237504","3.7","6","Sultant Wind Gate","Amritsar"
"Adarsh Dairy And Sweet Shop","+ 91  18390617034","5.0","6","Anand Avenue","Amritsar"
"Kanu Dairy","+ 91  986039056","3.3","6","Amritsar GPO","Amritsar"
"Sandeep Dairy & Sweet Shop","+ 91  9845508162","4.0","4","Khandwala","Amritsar"
"Adarsh Dairy And Sweet Shop","+ 91  18318544332","5.0","6","Anand Avenue","Amritsar"
"Randhawa Grocery Store & Verka Dairy","+ 91  9597324191","4.7","6","Kathu Nangal","Amritsar"
"Mohan Lal Karyana Store","+ 91  9915275275","4.4","15","Gumtala","Amritsar"
"Dhillon Dairy Farm","+ 91  9821556882","3.8","24","","Amritsar"
"Rajatal Karyana Store And General Store","+ 91  18360352183","4.4","23","Chheharta","Amritsar"
"Prem Nath & Sons","+ 91  18322764727","5.0","8","Amritsar GPO","Amritsar"
"Sharma Dairy & sweat shop","+ 91  018383804725","4.2","40","Amritsar Gpo","Amritsar"
"Shri Sahib Karyana Store","+ 91  9868909011","2.6","5","Ajit Nagar","Amritsar"
"Guru Kirpa Dairy And Sweets Shop","+ 91  9562580420","5.0","2","Jhita Kalan","Amritsar"
"Ahuja Dairy","+ 91  851292447","5.0","6","Lawrence Road","Amritsar"
"Dhillon Dairy And Sweets Shop","+ 91  18340751507","3.9","14","Attari","Amritsar"
"New Gopal Dairy","+ 91  9816190908","2.3","8","Tilak Nagar","Amritsar"
"Sandeep Dairy & Sweet Shop","+ 91  9893414395","4.0","4","Khandwala","Amritsar"
"Baba Deep Singh Dairy","+ 91  9540019150","2.7","6","Ranjeet Avenue Block A","Amritsar"
"Janak Raj Kirana Store","+ 91  8075948766","4.3","5","Verka","Amritsar"
"Sandhu Dairy","+ 91  9436972834","3.7","18","Amritsar GPO","Amritsar"
"Adarsh Dairy And Sweets Shops","+ 91  9875429595","5.0","1","Ranjeet Avenue Block A","Amritsar"
"Dhillon Dairy And Sweets Shop","+ 91  18321599041","3.9","14","Attari","Amritsar"
"Buttar Dairy","+ 91  9929279085","4.2","17","Khanna Nagar","Amritsar"
"Vijay Karyana Store","+ 91  9982048917","4.3","20","Islamabad Nagar","Amritsar"
"Vijay Dairy","+ 91  9866729886","4.6","15","Mehta Chowk","Amritsar"
"Dhillon Dairy And Sweets Shop","+ 91  18320583279","3.9","14","Attari","Amritsar"
"Chawla Dairy","+ 91  8564783397","5.0","6","Verka","Amritsar"
"Verka Milk Plant","+ 91  9969645531","4.2","16","Amritsar","Amritsar"
"Sharma Karyana Store","+ 91  9789979116","3.6","6","","Amritsar"
"Shalu Karyana Store","+ 91  9863283888","3.4","9","Near Second Park","Amritsar"
"Preet Bakers and Dairy","+ 91  759551137","3.0","9","Near Sita Ram Mandir","Amritsar"
"Shibba & Pappu Shah","+ 91  9588187375","4.1","11","","Amritsar"
"Nirvail Dairy","+ 91  9593780364","4.8","8","Chheharta","Amritsar"
"Radha Swami Daily Needs","+ 91  9823161838","4.1","10","Ranjit Avenue","Amritsar"
"The Rashan Pani Store","+ 91  9810580961","4.3","16","Ranjeet Avenue Block A","Amritsar"
