"Name","Phone","Rating","Votes","Locality","City"
"Dr. Lal PathLabs","+ 91  18360012773","4.0","81","Ranjit Avenue","Amritsar"
"Dr. Lal PathLabs","+ 91  18363772415","4.0","81","Amritsar Gpo","Amritsar"
"Dr. Rakesh Kumar Gupta","+ 91  9157589722","4.6","35","Green Avenue","Amritsar"
"Dr. Rohit Kapoor","+ 91  1836021949","3.8","22","Rani Ka Bagh","Amritsar"
"Dr. Rakesh Bharti","+ 91  018341855510","4.0","18","Sant Avenue","Amritsar"
"Dr. Hardas Singh Orthopaedic Hospital & Superspeciality Research Center","+ 91  18392284413","3.7","87","Beauty Avenue","Amritsar"
"Dr. J S Sidhu (Sareen Hospital)","+ 91  18382224724","4.8","2","Amritsar Gpo","Amritsar"
"Dr. Badri Nath & Sons","","4.3","95","Bhandari Brigde","Amritsar"
"Chawla Chicken","+ 91  18326617146","3.9","498","Lawrence Road","Amritsar"
"Dr Om Parkash Eye Institute Pvt Ltd","+ 91  9152408342","4.4","525","Lawrence Road","Amritsar"
"Sardar Bahadur Dr. Sohan Singh Eye Hospital Pvt Ltd","+ 91  18341023287","4.0","105","Hall Bazar","Amritsar"
"Dr. Rakesh Kumar Gupta","+ 91  9187227029","4.6","35","Green Avenue","Amritsar"
"Dr. Hardas Singh Orthopaedic Hospital & Superspeciality Research Center","+ 91  18342959274","3.7","87","Beauty Avenue","Amritsar"
"Dr. Hardas Singh Orthopaedic Hospital & Superspeciality Research Center","+ 91  18324581175","3.7","87","Beauty Avenue","Amritsar"
"Dr. Rakesh Kumar Gupta","+ 91  9130253342","4.6","35","Green Avenue","Amritsar"
"Dr. Rohit Kapoor","+ 91  18395376961","3.8","22","Rani Ka Bagh","Amritsar"
"Dr. Rakesh Bharti","+ 91  018376523725","4.0","18","Sant Avenue","Amritsar"
"Dr. Badri Nath & Sons","","4.3","95","Bhandari Brigde","Amritsar"
"Dr. Lal PathLabs","+ 91  18335880937","4.0","81","Amritsar Gpo","Amritsar"
"Dr. Rohit Kapoor","+ 91  18357853912","3.8","22","Rani Ka Bagh","Amritsar"
"Dr. Badri Nath & Sons","","4.3","95","Bhandari Brigde","Amritsar"
"Chawlas 2 Fine Dine","+ 91  18371420832","3.9","448","Ranjit Avenue","Amritsar"
"Dr. Badri Nath & Sons","","4.3","95","Bhandari Brigde","Amritsar"
"Dr Om Parkash Eye Institute Pvt Ltd","+ 91  9168262184","4.4","525","Lawrence Road","Amritsar"
"Dr. Hardas Singh Orthopaedic Hospital & Superspeciality Research Center","+ 91  18352334358","3.7","87","Beauty Avenue","Amritsar"
"Dr. Lal PathLabs","+ 91  18399968389","4.0","81","Ranjit Avenue","Amritsar"
"Chawlas 2","+ 91  018324344709","3.9","379","Ranjit Avenue","Amritsar"
"Dr. J S Sidhu (Sareen Hospital)","+ 91  18396580674","4.8","2","Amritsar Gpo","Amritsar"
"Sardar Bahadur Dr. Sohan Singh Eye Hospital Pvt Ltd","+ 91  18314817655","4.0","105","Hall Bazar","Amritsar"
"Dr. Badri Nath & Sons","","4.3","95","Bhandari Brigde","Amritsar"
"Dr. Rohit Kapoor","+ 91  18330024030","3.8","22","Rani Ka Bagh","Amritsar"
"Doctor Medicine Store","+ 91  9863384841","","0","Islamabad Nagar","Amritsar"
"Dr. Lal PathLabs","+ 91  18382789184","4.0","81","Ranjit Avenue","Amritsar"
"Dr. J S Sidhu (Sareen Hospital)","+ 91  18336585013","4.8","2","Amritsar Gpo","Amritsar"
"Sardar Bahadur Dr. Sohan Singh Eye Hospital Pvt Ltd","+ 91  18346930511","4.0","105","Hall Bazar","Amritsar"
"Dr. Lal PathLabs","+ 91  18356960741","4.0","81","Ranjit Avenue","Amritsar"
"Dr Om Parkash Eye Institute Pvt Ltd","+ 91  9162291934","4.4","525","Lawrence Road","Amritsar"
"Dr. Hardas Singh Orthopaedic Hospital & Superspeciality Research Center","+ 91  18393575533","3.7","87","Beauty Avenue","Amritsar"
"Dr. Lal PathLabs","+ 91  18316781974","4.0","81","Amritsar Gpo","Amritsar"
"Sardar Bahadur Dr. Sohan Singh Eye Hospital Pvt Ltd","+ 91  1839486061","4.0","105","Hall Bazar","Amritsar"
"Dr Om Parkash Eye Institute Pvt Ltd","+ 91  9158765689","4.4","525","Lawrence Road","Amritsar"
"Dr. Rakesh Kumar Gupta","+ 91  911768917","4.6","35","Green Avenue","Amritsar"
"Dr. Rakesh Bharti","+ 91  018364448662","4.0","18","Sant Avenue","Amritsar"
"Dr Om Parkash Eye Institute Pvt Ltd","+ 91  9149596843","4.4","525","Lawrence Road","Amritsar"
"Dr. Lal PathLabs","+ 91  18365193002","4.0","81","Ranjit Avenue","Amritsar"
"Dr. Rakesh Bharti","+ 91  018332705428","4.0","18","Sant Avenue","Amritsar"
"Dr. Lal PathLabs","+ 91  18355288763","4.0","81","Amritsar Gpo","Amritsar"
"Sardar Bahadur Dr. Sohan Singh Eye Hospital Pvt Ltd","+ 91  18350714944","4.0","105","Hall Bazar","Amritsar"
"Dr. Lal PathLabs","+ 91  18347640280","4.0","81","Amritsar Gpo","Amritsar"
"Dr. Rakesh Kumar Gupta","+ 91  9123457305","4.6","35","Green Avenue","Amritsar"
