"Name","Phone","Rating","Votes","Locality","City"
"Dr. Chander Mohan","+ 91  18384068646","","0","Amritsar GPO","Amritsar"
"Chopra Medicine Centre","+ 91  18357326976","4.0","1","Katra Sher Singh","Amritsar"
"Punjab Medicos","+ 91  9188698341","","0","Steno House Agency","Amritsar"
"Dr. Sarabjit Singh","+ 91  18372394415","","0","Amritsar Gpo","Amritsar"
"Poonam Medical Store","+ 91  9887329771","","0","","Amritsar"
"Pharma Pcd Franchise By Arrier Biotech","+ 91  17248953572","4.2","102","Mani Majra","Chandigarh"
"Sunny Medical Store","+ 91  9981595946","","0","Nangli","Amritsar"
"Sarvesh Pharmaceuticals","+ 91  8933898368","","0","","Amritsar"
"A K Pharma & Surgical Distributors","","","0","Hall Bazar","Amritsar"
"Shakti Medical Agency","+ 91  18356970127","","0","Katra Sher Singh","Amritsar"
"Seth Medicine Chember","+ 91  875167736","","0","","Amritsar"
"Surindar Medicos","+ 91  18372742887","","0","","Amritsar"
"Ravi Chemst","+ 91  18350431032","","0","","Amritsar"
"Nanda Medicos","+ 91  18373610281","","0","","Amritsar"
"Dealwell Medical Agency","+ 91  9868294096","","0","Majitha","Amritsar"
"Ravi Worldwide Medicines Pvt.Ltd","+ 91  913466957","5.0","1","Karol Bagh","Delhi"
"Bio Search Organics","+ 91  9121082024","4.5","51","Ferozepur Road","Ludhiana"
"Dr. Palwinder Singh","+ 91  18347449136","","0","Amritsar Gpo","Amritsar"
"P. B. Pharmaceuticals","+ 91  9088496311","","0","Focal Point","Amritsar"
"Subhas Medicos","+ 91  18316279742","","0","","Amritsar"
"Vijay Medical & General Store","+ 91  18348930190","","0","Katra Sher Singh","Amritsar"
"Satyam Pharma","+ 91  18333253995","","0","Katra Sher Singh","Amritsar"
"Pharma Sales","+ 91  18310738777","","0","Raja Sansi","Amritsar"
"Mahesh Treaders","+ 91  18328019724","","0","","Amritsar"
"Ganraj Medico","+ 91  919998794","4.6","17","Vazirabad","Nanded"
"Dr. Veeka Singh","+ 91  18326391605","","0","Amritsar Gpo","Amritsar"
"Dashmesh medicos","+ 91  8142979848","","0","Amritsar Bus Stand","Amritsar"
"Ess Pee Pharma Agencies","+ 91  18388413825","","0","","Amritsar"
"Dev Lifesciences Pvt Ltd","+ 91  9371762331","4.2","193","Vasai West","Mumbai"
"Pharma Franchisee & Manufacturing by Saksham Pharmaceuticals India Ltd","+ 91  9120190340","4.3","38","Rajiv Nagar","Delhi"
