"Name","Phone","Rating","Votes","Locality","City"
"Gadgets 4 Geeks","+ 91  7288583870","","0","Joshi Nagar","Amritsar"
"Medicine Point","+ 91  9929181960","4.8","2","Khalsa College","Amritsar"
"Doctor Medicine Store","+ 91  989165106","","0","Islamabad Nagar","Amritsar"
"Department Of Sports Medicine And Physiotherapy","+ 91  8976631954","4.7","11","Guru Nanak Dev University","Amritsar"
" Ved Nath Ayurvedic medicines","+ 91  9682900456","3.7","3","Amritsar Bus Stand","Amritsar"
"Medicine Point","+ 91  9968327265","4.8","2","Khalsa College","Amritsar"
"Cure Medical Hall","+ 91  018320372830","2.8","7","Amritsar Gpo","Amritsar"
"K K Industry - Gents Lohi Shawls Manufacturer","+ 91  9464481911","4.0","1","Op Veer Ban Shivala,Near Golen Tample ","Amritsar"
"Cure Medical Hall","+ 91  01838447604","2.8","7","Amritsar Gpo","Amritsar"
"Department Of Sports Medicine And Physiotherapy","+ 91  8918433805","4.7","11","Guru Nanak Dev University","Amritsar"
"OYO 67570 Hotel Heritage Inn 2 Saver","+ 91  9128038825","3.8","29","Near Golden Temple","Amritsar"
"Gs Medicine Store","+ 91  18316562363","","0","","Amritsar"
"Dhillon Medicine Center","+ 91  7813185747","3.8","108","New Pawan Nagar","Amritsar"
"Satguru Medicine Agencies","+ 91  9555834743","5.0","6","","Amritsar"
"Gs Medicine Store","+ 91  1833605394","","0","","Amritsar"
"Chawla Chicken","+ 91  18380652257","3.9","498","Lawrence Road","Amritsar"
"Kendriya Vidyalaya No 3","","4.4","57","Naraingarh Amritsar","Amritsar"
"Seasons 5 Family Salon & Spa","+ 91  9126458367","4.7","18","Ranjit Avenue","Amritsar"
" Ved Nath Ayurvedic medicines","+ 91  9643209088","3.7","3","Amritsar Bus Stand","Amritsar"
"Chawla 2","+ 91  18383098149","4.1","494","Ranjeet Avenue Block A","Amritsar"
"Sunny Medicine Point","+ 91  18334792702","4.9","11","Ranjit Avenue","Amritsar"
"Satguru Medicine Agencies","+ 91  9598011674","5.0","6","","Amritsar"
"Chawlas 2","+ 91  018315223451","3.9","379","Ranjit Avenue","Amritsar"
"SPACE 5","+ 91  9126033033","4.7","24","Ranjit Avenue","Amritsar"
"Sunny Medicine Point","+ 91  18366543771","4.9","11","Ranjit Avenue","Amritsar"
" Ved Nath Ayurvedic medicines","+ 91  9671212653","3.7","3","Amritsar Bus Stand","Amritsar"
"Medicine Point","+ 91  9973774013","4.8","2","Khalsa College","Amritsar"
"Cure Medical Hall","+ 91  01833029665","2.8","7","Amritsar Gpo","Amritsar"
"Medicine Point","+ 91  9957506950","4.8","2","Khalsa College","Amritsar"
"Chawlas 2 Fine Dine","+ 91  18366605931","3.9","448","Ranjit Avenue","Amritsar"
" Ved Nath Ayurvedic medicines","+ 91  9625304589","3.7","3","Amritsar Bus Stand","Amritsar"
"Darshan Machinery Manufacturer","+ 91  6266970458","","0","Sultanwind","Amritsar"
"Bajrang Printing Machine Manufacturers","+ 91  18339688977","4.9","28","Mandir Wala Bazar,","Gobind Nagar"
" Ved Nath Ayurvedic medicines","+ 91  9667217956","3.7","3","Amritsar Bus Stand","Amritsar"
"Dhillon Medicine Center","+ 91  7850228569","3.8","108","New Pawan Nagar","Amritsar"
"Doctor Medicine Store","+ 91  9814912550","","0","Islamabad Nagar","Amritsar"
"Pee Kay Textiles Manufacturer","+ 91  9943894774","5.0","8","","Amritsar"
"Dhillon Medicine Center","+ 91  7845199366","3.8","108","New Pawan Nagar","Amritsar"
"Simran 5 Kakkars","+ 91  9879652691","5.0","2","Near Jallianwala Bagh","Amritsar"
"Dhillon Medicine Center","+ 91  7842961276","3.8","108","New Pawan Nagar","Amritsar"
"Department Of Sports Medicine And Physiotherapy","+ 91  8985196786","4.7","11","Guru Nanak Dev University","Amritsar"
"Ready 4 Dance & Ready 4 Gym","+ 91  9859926974","3.7","9","Hathi Gate","Amritsar"
"Medicine Point","+ 91  9953884694","4.8","2","Khalsa College","Amritsar"
"Hotel Welcome Inn 2 (OYO 9727)","+ 91  9176393859","3.9","96","Rani Ka Bagh","Amritsar"
"Doctor Medicine Store","+ 91  9832545390","","0","Islamabad Nagar","Amritsar"
"Gs Medicine Store","+ 91  18357793171","","0","","Amritsar"
"G S Medicine Centre","+ 91  018398332238","4.1","8","Hall Bazar","Amritsar"
"Rk 2 (OYO 31000)","+ 91  912148701","2.0","3","Golden Temple","Amritsar"
"Gs Medicine Store","+ 91  18345030955","","0","","Amritsar"
"Snack Bar 2","","4.6","104","","Amritsar"
