"Name","Phone","Rating","Votes","Locality","City"
"Cure Medical Hall","+ 91  018357272225","2.8","7","Amritsar Gpo","Amritsar"
"Medicine Point","+ 91  9938482823","4.8","2","Khalsa College","Amritsar"
"Sunny Medicine Point","+ 91  18356985930","4.9","11","Ranjit Avenue","Amritsar"
"Pee Kay Textiles Manufacturer","+ 91  9991327681","5.0","8","","Amritsar"
"Dhillon Medicine Center","+ 91  7811523069","3.8","108","New Pawan Nagar","Amritsar"
" Ved Nath Ayurvedic medicines","+ 91  965462223","3.7","3","Amritsar Bus Stand","Amritsar"
"Akash Tablet (Customer Care)","+ 91  18333508406","3.7","33","Amritsar Gpo","Amritsar"
"Gs Medicine Store","+ 91  18322881099","","0","","Amritsar"
"Department Of Sports Medicine And Physiotherapy","+ 91  8972068572","4.7","11","Guru Nanak Dev University","Amritsar"
"Kendriya Vidyalaya No 3","","4.4","57","Naraingarh Amritsar","Amritsar"
"Akash Tablet (Customer Care)","+ 91  18313318559","3.7","33","Amritsar Gpo","Amritsar"
"Gs Medicine Store","+ 91  1834202617","","0","","Amritsar"
"Seasons 5 Family Salon & Spa","+ 91  9170239646","4.7","18","Ranjit Avenue","Amritsar"
"Gadgets 4 Geeks","+ 91  7228091123","","0","Joshi Nagar","Amritsar"
"Chawla 2","+ 91  18338472257","4.1","494","Ranjeet Avenue Block A","Amritsar"
"Medicine Point","+ 91  9996501256","4.8","2","Khalsa College","Amritsar"
"Cure Medical Hall","+ 91  018377496271","2.8","7","Amritsar Gpo","Amritsar"
" Ved Nath Ayurvedic medicines","+ 91  9645899959","3.7","3","Amritsar Bus Stand","Amritsar"
"Gs Medicine Store","+ 91  18362689528","","0","","Amritsar"
"K K Industry - Gents Lohi Shawls Manufacturer","+ 91  9479811745","4.0","1","Op Veer Ban Shivala,Near Golen Tample ","Amritsar"
"Department Of Sports Medicine And Physiotherapy","+ 91  8966233229","4.7","11","Guru Nanak Dev University","Amritsar"
"Akash Tablet (Customer Care)","+ 91  18390084687","3.7","33","Amritsar Gpo","Amritsar"
"Chawlas 2","+ 91  018310188633","3.9","379","Ranjit Avenue","Amritsar"
"Dhillon Medicine Center","+ 91  7838674798","3.8","108","New Pawan Nagar","Amritsar"
"Gs Medicine Store","+ 91  18399109977","","0","","Amritsar"
"Department Of Sports Medicine And Physiotherapy","+ 91  8996112703","4.7","11","Guru Nanak Dev University","Amritsar"
"Simran 5 Kakkars","+ 91  9895797931","5.0","2","Near Jallianwala Bagh","Amritsar"
"Satguru Medicine Agencies","+ 91  9586221654","5.0","6","","Amritsar"
"Doctor Medicine Store","+ 91  9894400559","","0","Islamabad Nagar","Amritsar"
"Darshan Machinery Manufacturer","+ 91  6250931420","","0","Sultanwind","Amritsar"
"Chawlas 2 Fine Dine","+ 91  18334736569","3.9","448","Ranjit Avenue","Amritsar"
"Medicine Point","+ 91  9914320534","4.8","2","Khalsa College","Amritsar"
"SPACE 5","+ 91  9196515787","4.7","24","Ranjit Avenue","Amritsar"
" Ved Nath Ayurvedic medicines","+ 91  9688181033","3.7","3","Amritsar Bus Stand","Amritsar"
"Dhillon Medicine Center","+ 91  7878527522","3.8","108","New Pawan Nagar","Amritsar"
" Ved Nath Ayurvedic medicines","+ 91  9639714117","3.7","3","Amritsar Bus Stand","Amritsar"
"Rk 2 (OYO 31000)","+ 91  9125935687","2.0","3","Golden Temple","Amritsar"
" Ved Nath Ayurvedic medicines","+ 91  9624836242","3.7","3","Amritsar Bus Stand","Amritsar"
"Dhillon Medicine Center","+ 91  7888180953","3.8","108","New Pawan Nagar","Amritsar"
"Chawla Chicken","+ 91  1837460063","3.9","498","Lawrence Road","Amritsar"
"Cure Medical Hall","+ 91  018391113673","2.8","7","Amritsar Gpo","Amritsar"
"Doctor Medicine Store","+ 91  9834970192","","0","Islamabad Nagar","Amritsar"
"Medicine Point","+ 91  9930558049","4.8","2","Khalsa College","Amritsar"
"Satguru Medicine Agencies","+ 91  9596860877","5.0","6","","Amritsar"
"Doctor Medicine Store","+ 91  9884326377","","0","Islamabad Nagar","Amritsar"
"Akash Tablet (Customer Care)","+ 91  18387349370","3.7","33","Amritsar Gpo","Amritsar"
"Akash Tablet (Customer Care)","+ 91  18395706380","3.7","33","Amritsar Gpo","Amritsar"
"Medicine Point","+ 91  9920623924","4.8","2","Khalsa College","Amritsar"
"G S Medicine Centre","+ 91  018392910138","4.1","8","Hall Bazar","Amritsar"
"Bajrang Printing Machine Manufacturers","+ 91  18317983296","4.9","28","Mandir Wala Bazar,","Gobind Nagar"
