"Name","Phone","Rating","Votes","Locality","City"
"Pharma General Traders","+ 91  18329225400","","0","Katra Sher Singh","Amritsar"
"The Jain Homeopathic Pharma","+ 91  18327381916","5.0","3","Amritsar Gpo","Amritsar"
"Jolly Pharma","+ 91  9822704739","","0","Amritsar Gpo","Amritsar"
"Pharma General Traders","+ 91  18371936223","","0","Katra Sher Singh","Amritsar"
"Ahuja Book Distributor","+ 91  9417289186","3.5","2","Hall Bazar","Amritsar"
"Jolly Pharma","+ 91  9827971012","","0","Amritsar Gpo","Amritsar"
"Radhika Pharma Distributors","+ 91  18341873260","5.0","5","Ranjit Avenue","Amritsar"
"Shri Krishna Pharma","+ 91  18311598415","","0","Amritsar Gpo","Amritsar"
"The Jain Homeopathic Pharma","+ 91  18333016719","5.0","3","Amritsar Gpo","Amritsar"
"Gadgets 4 Geeks","+ 91  7233181101","","0","Joshi Nagar","Amritsar"
"Pharma Machines & Polymers","+ 91  018375542960","3.5","1","Amritsar Gpo","Amritsar"
"Jolly Pharma","+ 91  9814979202","","0","Amritsar Gpo","Amritsar"
"A K Pharma & Surgical Distributors","","","0","Hall Bazar","Amritsar"
"Kendriya Vidyalaya No 3","","4.4","57","Naraingarh Amritsar","Amritsar"
"Seasons 5 Family Salon & Spa","+ 91  9137418953","4.7","18","Ranjit Avenue","Amritsar"
"Chawlas 2","+ 91  018318426593","3.9","379","Ranjit Avenue","Amritsar"
"Shri Krishna Pharma","+ 91  18392402720","","0","Amritsar Gpo","Amritsar"
"Himachal Drug Pharma","+ 91  018347712081","0.5","1","Bz Gandawala","Amritsar"
"Sahni And Sahni Pharma Distributors","+ 91  9374729050","","0","Katra Sher Singh","Amritsar"
"Chawla Chicken","+ 91  18375475188","3.9","498","Lawrence Road","Amritsar"
"A B D Publisher S Distributors","8981203","","0","Hall Bazar","Amritsar"
"Himachal Drug Pharma","+ 91  018362979490","0.5","1","Bz Gandawala","Amritsar"
"Ready 4 Dance & Ready 4 Gym","+ 91  9898442167","3.7","9","Hathi Gate","Amritsar"
"Pharma General Traders","+ 91  18397927966","","0","Katra Sher Singh","Amritsar"
"Health Care Pharma","+ 91  9729617194","5.0","6","Opposite Radha Karishna Mandir Katra Kanhaya","Amritsar"
"Pharma General Traders","+ 91  18384321100","","0","Katra Sher Singh","Amritsar"
"Hunt 4 Careers","+ 91  018362552390","4.8","6","Ranjit Avenue","Amritsar"
"Chawla 2","+ 91  18331921555","4.1","494","Ranjeet Avenue Block A","Amritsar"
"Mamta Pharma Sales","+ 91  991347939","3.7","6","Medical Enclave","Amritsar"
"OYO 67570 Hotel Heritage Inn 2 Saver","+ 91  9177764927","3.8","29","Near Golden Temple","Amritsar"
"The Jain Homeopathic Pharma","+ 91  18382491492","5.0","3","Amritsar Gpo","Amritsar"
"Shri Krishna Pharma","+ 91  18318959136","","0","Amritsar Gpo","Amritsar"
"SPACE 5","+ 91  914763443","4.7","24","Ranjit Avenue","Amritsar"
"Chawlas 2 Fine Dine","+ 91  1837816335","3.9","448","Ranjit Avenue","Amritsar"
"Piyush Pharma","+ 91  18375275747","4.7","6","Katra Sher Singh","Amritsar"
"Shri Krishna Pharma","+ 91  18376679655","","0","Amritsar Gpo","Amritsar"
"The Jain Homeopathic Pharma","+ 91  18346092031","5.0","3","Amritsar Gpo","Amritsar"
"Health Care Pharma","+ 91  9767638848","5.0","6","Opposite Radha Karishna Mandir Katra Kanhaya","Amritsar"
"Simran 5 Kakkars","+ 91  9896581944","5.0","2","Near Jallianwala Bagh","Amritsar"
"Sohal Collection Shop 3","+ 91  9822334060","3.2","8","Ajnala","Amritsar"
"Snack Bar 2","","4.6","104","","Amritsar"
"Jolly Pharma","+ 91  9854862870","","0","Amritsar Gpo","Amritsar"
"Jolly Pharma","+ 91  986464933","","0","Amritsar Gpo","Amritsar"
"Rk 2 (OYO 31000)","+ 91  9180368938","2.0","3","Golden Temple","Amritsar"
"Health Care Pharma","+ 91  9787282763","5.0","6","Opposite Radha Karishna Mandir Katra Kanhaya","Amritsar"
"Season 5 Family Salon Spa & Institute Salon","+ 91  965831872","5.0","1","Ajit Nagar","Amritsar"
"The Jain Homeopathic Pharma","+ 91  18389525924","5.0","3","Amritsar Gpo","Amritsar"
"Himachal Drug Pharma","+ 91  018358334973","0.5","1","Bz Gandawala","Amritsar"
"Himachal Drug Pharma","+ 91  018373346231","0.5","1","Bz Gandawala","Amritsar"
"Pharma General Traders","+ 91  18389450914","","0","Katra Sher Singh","Amritsar"
