"Name","Phone","Rating","Votes","Locality","City"
"Mehra Grocery Store","+ 91  9894382586","5.0","2","Chowari","Chamba"
"Kapil Confectionery And Daily Need Store","+ 91  9810002352","","0","Chamba HO","Chamba"
"Bhardwaj General Store","+ 91  9868921152","","0","Sanwal","Chamba"
"Kasturi Lal Mahajan  & Sons","+ 91  9434864283","","0","Banikhet","Chamba"
"Rattan Chand Surinder Kumar General Merchants","+ 91  8248198787","","0","Chowari","Chamba"
"Vro Enterprises","+ 91  9157431986","3.9","56","Kalyan City","Mumbai"
"Daily Need Store","+ 91  9870156104","","0","Banikhet","Chamba"
"Tej Ram Mahajan & Sons Karyana Store","+ 91  9743171549","4.2","8","Chamba Ho","Chamba"
"Soga Karyana Store","+ 91  8229667436","4.5","1","Chowari","Chamba"
"Brij General Store","+ 91  9896623103","","0","Banikhet","Chamba"
"Panday Departmental Store","+ 91  9850659487","","0","Nearby Sheetla Bridge ","Chamba"
"Vakil Provisional & General store","+ 91  18944075244","","0","Chamba Ho","Chamba"
"Swaroopanand & Sons Karyana & Hardware Store","+ 91  9894853964","4.8","12","","Chamba"
"Unique Store","","5.0","1","Chamba Ho","Chamba"
"New Auto Mart","+ 91  8818167858","","0","Sultanpur","Chamba"
"Rahul Complex","+ 91  9858839047","3.7","24","Chowari","Chamba"
"Kirpa Ram And Brothers","+ 91  9838296184","3.5","58","Mehla","Chamba"
"Ag Enterprise","+ 91  9841768429","","0","Chowari","Chamba"
"Upkaar Dairy","+ 91  9352640185","4.5","14","Civil Lines","Ludhiana"
"Aryan General Srore","+ 91  943780500","","0","Nearby Landing Point Lahada","Chamba"
"Jeernowaar Dairy Farm","+ 91  18966005025","","0","Chamba Ho","Chamba"
"MS Prakash Dutt Praveen Kumar","+ 91  9896675155","","0","Chamba HO","Chamba"
"Hitesh Sharma Kariyana Store","+ 91  9688622606","4.0","4","","Chamba"
"Sukhlal Subhash Anand","+ 91  18934035516","","0","Jansali","Chamba"
"Mohalla Kashmiri","+ 91  988317461","4.0","3","Jansali","Chamba"
"Sunset View","+ 91  9459867029","4.5","6","Kakira","Chamba"
"Dheeraj Grocery Shop","+ 91  9466864182","5.0","10","","Chamba"
"Js Thakur Sweet Shop","+ 91  9340865544","","0","Near Shitla Bridge","Chamba"
"Kunwaan General Store","+ 91  9844433771","","0","Chamba Ho","Chamba"
"Ghasitu Mal Nem Raj","+ 91  18932692860","","0","Chamba Ho","Chamba"
"Sharma Dairy","+ 91  981634070","1.0","2","Kakroti","Chamba"
"Kumar General Store","+ 91  9458916333","","0","Chamba Ho","Chamba"
