"Name","Phone","Rating","Votes","Locality","City"
"Tarlok Sweet Shop","+ 91  9438824145","3.8","15","Jansali","Chamba"
"Rishu Electronics Shop","+ 91  9465732689","4.0","6","","Chamba"
"Jarial Dairy Manufacture Product","+ 91  8233919734","5.0","7","Samote","Chamba"
"Monika Dairy Farm Devidehra","+ 91  8878916956","5.0","11","","Chamba"
"Monika Dairy Farm Devidehra","+ 91  8888992122","5.0","11","","Chamba"
"Sk & Jk Brothers Shop","+ 91  8621273498","5.0","1","Dand","Chamba"
"Sharma Dairy","+ 91  9881070447","1.0","2","Kakroti","Chamba"
"Raju Electronics 2","+ 91  9628366595","","0","Sach","Chamba"
"Sharma Dairy","+ 91  986256166","1.0","2","Kakroti","Chamba"
"Jarial Dairy Manufacture Product","+ 91  8217382904","5.0","7","Samote","Chamba"
"Sharma Dairy","+ 91  9858049972","1.0","2","Kakroti","Chamba"
"Friends Coffee Shop","+ 91  9756553553","4.8","8","","Chamba"
"Jeernowaar Dairy Farm","+ 91  1898971242","","0","Chamba Ho","Chamba"
"Rana Cafe Shop","+ 91  7837682501","3.3","19","Surangani","Chamba"
"Kailash Nath Stationery Shop","+ 91  9451257779","3.8","80","","Chamba"
"Jarial Dairy Manufacture Product","+ 91  8213106973","5.0","7","Samote","Chamba"
"Monika Dairy Farm Devidehra","+ 91  8868025619","5.0","11","","Chamba"
"Jarial Dairy Manufacture Product","+ 91  8296242790","5.0","7","Samote","Chamba"
"Jeernowaar Dairy Farm","+ 91  18915415688","","0","Chamba Ho","Chamba"
"Monika Dairy Farm Devidehra","+ 91  8817941033","5.0","11","","Chamba"
"Kakira Sharma Bakery Shop","+ 91  9815058872","4.0","9","Kakira","Chamba"
"Sher Singh Shop","+ 91  813953326","4.4","7","Bharmour","Chamba"
"Gps Bihali 2","+ 91  9498242942","","0","Jungra","Chamba"
"Sharma Dairy","+ 91  9881501967","1.0","2","Kakroti","Chamba"
"Jeernowaar Dairy Farm","+ 91  1897098207","","0","Chamba Ho","Chamba"
"Monika Dairy Farm Devidehra","+ 91  8863490577","5.0","11","","Chamba"
"Jeernowaar Dairy Farm","+ 91  18999091817","","0","Chamba Ho","Chamba"
"Chauhans Shop","+ 91  8838005966","5.0","9","","Chamba"
