"Name","Phone","Rating","Votes","Locality","City"
"Latif Medical Store","+ 91  9828049514","4.0","2","","Chamba"
"Pallavi Sharma","+ 91  9427161149","","0","Chamba Ho","Chamba"
"Grover Medical Store","+ 91  9457277503","","0","","Chamba"
"Dhall Medical Store","","0.5","1","Chamba Ho","Chamba"
"Manan Medical Store","+ 91  7868363059","1.0","2","Samleu","Chamba"
"Jan Aushadhi Store","+ 91  9469156747","","0","","Chamba"
"Jan Aushadhi Store","+ 91  7077194282","","0","Jansali","Chamba"
"Sharma Sons Chemist","+ 91  9456093055","5.0","28","Chowari","Chamba"
"Goswami Medical Store","+ 91  9825779138","","0","Sheetla Bridge ","Chamba"
"bhushan Medical Store","+ 91  01896633874","","0","Kakira","Chamba"
"Maha Bani Medical Store","+ 91  8275066867","5.0","2","Chamba HO","Chamba"
"Parshi","+ 91  9447874736","2.0","2","","Chamba"
"Shiv Medical Store","+ 91  9454566097","","0","Bathri-Bazar","Chamba"
"Garg Medical Store","+ 91  8625631296","3.0","2","Sihunta","Chamba"
"Gupta Medicos","+ 91  9484384771","","0","","Chamba"
"Baba Shri Chander Medical Store","+ 91  9461155923","","0","","Chamba"
"Jk Sharma Medical Store","+ 91  9815239866","5.0","2","Surangani","Chamba"
"Gaurav Medical Store","+ 91  9417064590","5.0","7","Chowari","Chamba"
"Kaushal Medical Hall","+ 91  8819715548","","0","Hardaspura","Chamba"
"Piyush Medical Store","+ 91  9890999523","4.7","8","Tissa","Chamba"
"Bhartiya Pradhan Mantri Jan Oshdi Kendera","+ 91  9882149816","","0","Tissa","Chamba"
"Maa Banni Medical Store","+ 91  985146874","4.8","4","Pandit Jawahar Lal Nehru College  Chamba","Chamba"
"Sharma Medical Store","+ 91  9461614030","4.0","1","","Chamba"
