"Name","Phone","Rating","Votes","Locality","City"
"Ajay Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Randhawa Bricks 2","+ 91  9475469959","5.0","3","Qadian","Gurdaspur"
"Bawa Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Harsh Deep Guru Parsadam Herbal Medicine","+ 91  8422749223","4.5","4","Sarti","Gurdaspur"
"Harsh Deep Guru Parsadam Herbal Medicine","+ 91  8486251475","4.5","4","Sarti","Gurdaspur"
"4 Wheel Drive india","+ 91  9862425587","3.5","11","Sarna","Gurdaspur"
"Medicine Centre Aliwal","+ 91  8589409567","","0","Aliwal","Gurdaspur"
"Ganga Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Harsh Deep Guru Parsadam Herbal Medicine","+ 91  843295785","4.5","4","Sarti","Gurdaspur"
"Fibre 2 Fabric","+ 91  8367034223","5.0","5","Dina Nagar","Gurdaspur"
"S K Auto Dealer","+ 91  18737305963","3.5","4","Batala","Gurdaspur"
"Lalit Medicine Centre","+ 91  9977642128","3.3","8","Qadian","Gurdaspur"
"Satnam Matharoo Property Dealer","+ 91  9847162986","5.0","6","Batala","Gurdaspur"
"Kapoor Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Bawa Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Kapoor Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Harsh Deep Guru Parsadam Herbal Medicine","+ 91  8460206059","4.5","4","Sarti","Gurdaspur"
"Ganga Medicine Center","+ 91  9878262549","5.0","7","","Gurdaspur"
"J P Medicine Centre","","","0","Aliwal","Gurdaspur"
"House No 5","+ 91  9932012401","5.0","15","Batala","Gurdaspur"
"J P Medicine Centre","","","0","Aliwal","Gurdaspur"
"B S Auto Work And Dealer","+ 91  9937371880","3.0","2","Batala","Gurdaspur"
"Ganga Medicine Center","+ 91  9883415963","5.0","7","","Gurdaspur"
"Lakhwinder Auto Dealer","+ 91  9440519007","5.0","3","Batala","Gurdaspur"
"Grandway-2 Hotel","+ 91  018722015899","4.0","163","Batala City","Gurdaspur"
"Medicine Centre Aliwal","+ 91  8558378549","","0","Aliwal","Gurdaspur"
"Lalit Medicine Centre","+ 91  9931502946","3.3","8","Qadian","Gurdaspur"
"Janta Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Kapoor Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Medicine Centre Aliwal","+ 91  8579128156","","0","Aliwal","Gurdaspur"
"Oxygen 2 Gym","+ 91  7998192142","5.0","2","","Gurdaspur"
"Ajay Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Medicine Centre Aliwal","+ 91  8588028781","","0","Aliwal","Gurdaspur"
"Ganga Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Ganga Medicine Center","+ 91  9844844707","5.0","7","","Gurdaspur"
"Ganga Medicine Center","+ 91  9896222704","5.0","7","","Gurdaspur"
"Sai Step 2 Abroad","+ 91  18718526963","5.0","2","Dina Nagar","Gurdaspur"
"Harsh Deep Guru Parsadam Herbal Medicine","+ 91  8487084049","4.5","4","Sarti","Gurdaspur"
"Kapoor Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Lalit Medicine Centre","+ 91  9928767543","3.3","8","Qadian","Gurdaspur"
"Ganga Medicine Center","+ 91  9828656313","5.0","7","","Gurdaspur"
"J P Medicine Centre","","","0","Aliwal","Gurdaspur"
"Lalit Medicine Centre","+ 91  991833574","3.3","8","Qadian","Gurdaspur"
"Davinder Singh Tractor Dealer","+ 91  984062140","4.0","2","","Gurdaspur"
"Ganga Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Ajay Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Kapoor Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Lalit Medicine Centre","+ 91  998116198","3.3","8","Qadian","Gurdaspur"
"V K General Store & Property Dealer","+ 91  9972354078","3.8","6","Gurdaspur Ho","Gurdaspur"
"Bawa Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
