"Name","Phone","Rating","Votes","Locality","City"
"Ganga Medicine Center","+ 91  9871211756","5.0","7","","Gurdaspur"
"Kapoor Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Davinder Singh Tractor Dealer","+ 91  9861137648","4.0","2","","Gurdaspur"
"Ganga Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Kapoor Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Kapoor Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"J P Medicine Centre","","","0","Aliwal","Gurdaspur"
"Harsh Deep Guru Parsadam Herbal Medicine","+ 91  8433146601","4.5","4","Sarti","Gurdaspur"
"Ganga Medicine Center","+ 91  9843276851","5.0","7","","Gurdaspur"
"Lakhwinder Auto Dealer","+ 91  9470727917","5.0","3","Batala","Gurdaspur"
"J P Medicine Centre","","","0","Aliwal","Gurdaspur"
"S K Auto Dealer","+ 91  18759125567","3.5","4","Batala","Gurdaspur"
"Bawa Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Janta Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Harsh Deep Guru Parsadam Herbal Medicine","+ 91  8414074812","4.5","4","Sarti","Gurdaspur"
"Ganga Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Lalit Medicine Centre","+ 91  9965465614","3.3","8","Qadian","Gurdaspur"
"Oxygen 2 Gym","+ 91  793400843","5.0","2","","Gurdaspur"
"Medicine Centre Aliwal","+ 91  8571547250","","0","Aliwal","Gurdaspur"
"Harsh Deep Guru Parsadam Herbal Medicine","+ 91  8434988966","4.5","4","Sarti","Gurdaspur"
"Bawa Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Janta Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Medicine Centre Aliwal","+ 91  8566070557","","0","Aliwal","Gurdaspur"
"Lalit Medicine Centre","+ 91  9978930217","3.3","8","Qadian","Gurdaspur"
"Ajay Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Sai Step 2 Abroad","+ 91  18766331396","5.0","2","Dina Nagar","Gurdaspur"
"Lalit Medicine Centre","+ 91  9921526938","3.3","8","Qadian","Gurdaspur"
"Randhawa Bricks 2","+ 91  9499084278","5.0","3","Qadian","Gurdaspur"
"Harsh Deep Guru Parsadam Herbal Medicine","+ 91  8418186950","4.5","4","Sarti","Gurdaspur"
"Ajay Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Fibre 2 Fabric","+ 91  8361444876","5.0","5","Dina Nagar","Gurdaspur"
"Lalit Medicine Centre","+ 91  9937233436","3.3","8","Qadian","Gurdaspur"
"4 Wheel Drive india","+ 91  9890542725","3.5","11","Sarna","Gurdaspur"
"Satnam Matharoo Property Dealer","+ 91  985372929","5.0","6","Batala","Gurdaspur"
"Grandway-2 Hotel","+ 91  018757500255","4.0","163","Batala City","Gurdaspur"
"Ganga Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"J P Medicine Centre","","","0","Aliwal","Gurdaspur"
"Ganga Medicine Center","+ 91  9830558322","5.0","7","","Gurdaspur"
"Ganga Medicine Center","+ 91  9857011044","5.0","7","","Gurdaspur"
"Lalit Medicine Centre","+ 91  9964388788","3.3","8","Qadian","Gurdaspur"
"Bawa Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Kapoor Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Harsh Deep Guru Parsadam Herbal Medicine","+ 91  8471779069","4.5","4","Sarti","Gurdaspur"
"V K General Store & Property Dealer","+ 91  9991399811","3.8","6","Gurdaspur Ho","Gurdaspur"
"Ajay Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"Kapoor Medicine Centre","","","0","Gurdaspur Ho","Gurdaspur"
"B S Auto Work And Dealer","+ 91  9957548668","3.0","2","Batala","Gurdaspur"
"Medicine Centre Aliwal","+ 91  8595647826","","0","Aliwal","Gurdaspur"
"House No 5","+ 91  9947813082","5.0","15","Batala","Gurdaspur"
"Ganga Medicine Center","+ 91  9895251814","5.0","7","","Gurdaspur"
