"Name","Phone","Rating","Votes","Locality","City"
"Ashirwad Prayer Tower","+ 91  9830167733","","0","Kartarpur","Jalandhar"
"Capitol Medicine Centre","+ 91  1813153514","","0","Reru","Jalandhar"
"Banga Medical Store","+ 91  9457052734","3.0","2","Chogetti","Jalandhar"
"Yogi Herbs & Accupunture Centre","+ 91  9855934155","5.0","4","","Jalandhar"
"Arora Medicine Traders","+ 91  1815480486","4.8","5","Civil Lines","Jalandhar"
"Parmar Medical Store","+ 91  9436033885","5.0","3","Nurpur","Jalandhar"
"Kartar Medical Hall","+ 91  9891705020","","0","Maqsudan","Jalandhar"
"Bhanot Medical Hall","+ 91  9896063002","","0","Near Hotel Vijay Resort","Jalandhar"
"Jasmeet chemist shop","+ 91  9471771511","","0","Jalandhar City","Jalandhar"
"Friends Property Dealer","+ 91  7685952266","4.8","14","Adarsh Nagar","Jalandhar"
"Manoj Medical Hall","+ 91  18128223049","","0","Jalandhar City","Jalandhar"
"Sekhon Medical Stores","+ 91  9862363336","","0","Sarai Khas","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9829030735","5.0","232","Shahkot","Jalandhar"
"Sukhdayak Medicos","+ 91  8544283396","5.0","2","Maqsudan","Jalandhar"
"Bhogal Medicine Centre","+ 91  9828412875","","0","Jalandhar","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18150448767","4.7","3","Jalandhar City","Jalandhar"
"Sonu Medicos","+ 91  9853215991","1.0","1","Jalandhar City","Jalandhar"
"Durga chemist shop","+ 91  7375463463","","0","Jalandhar City","Jalandhar"
"Sai Medical Store","+ 91  18112708153","5.0","2","Kot Kishan Chand","Jalandhar"
"Nanda Medicos","+ 91  9425038384","3.0","5","Sodal Road","Jalandhar"
"Puri Medical Store","+ 91  18135318824","5.0","1","Basti Bawa Khel","Jalandhar"
"Amco medicose","+ 91  9411132107","5.0","1","Jalandhar City","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18184014789","4.5","9","Preet Nagar","Jalandhar"
"Rana Medical Centre","+ 91  7698274768","","0","Jalandhar City","Jalandhar"
"Amrit Medicos","+ 91  9820598010","1.0","2","Aman Nagar","Jalandhar"
"Handa Medicos","+ 91  9692528676","","0","Jalandhar City","Jalandhar"
"Vijay Medical Complex& Sharma Clinical Laboratory","+ 91  9975511601","","0","Jalandhar City","Jalandhar"
"Moga Sokra Pharmacy","+ 91  18161418366","3.0","4","Kot Kishan Chand","Jalandhar"
"Bhardwaj Medicos","+ 91  9844538089","5.0","6","Jalandhar City","Jalandhar"
"Sandeep Medicos","+ 91  9877681487","5.0","4","Basti Bawa Khel","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18156750800","4.7","3","Jalandhar City","Jalandhar"
"Kumar Medical Store","+ 91  18161618875","5.0","2","Jalandhar City","Jalandhar"
"Anil Walia Property Dealer","+ 91  9199564961","4.0","6","Jalandhar City","Jalandhar"
"Anu Medical Store","+ 91  9835383139","","0","","Jalandhar"
"Suraj Medical Store","+ 91  8047473962","4.4","7","Raj Nagar","Jalandhar"
"Nanda Mediways","+ 91  9811827684","4.0","2","Preet Nagar","Jalandhar"
"Prince Medical Store","+ 91  9992346600","5.0","4","Jalandhar City","Jalandhar"
"Goso Homeo Store","+ 91  9890192278","1.0","2","Sodal Road","Jalandhar"
"Chopra medicine centre","+ 91  9972392340","4.3","3","Jalandhar City","Jalandhar"
"Sahib Medicos","+ 91  8423569339","","0","Hoshiarpur Road","Jalandhar"
"Kiran Medicos","+ 91  8190360510","","0","Suranussi","Jalandhar"
"Glaxy Chemists & Druggists","+ 91  9696969937","3.0","2","Jalandhar City","Jalandhar"
"Sayam Medicos","+ 91  9799776528","","0","Aman Nagar","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18129276324","4.7","3","Jalandhar City","Jalandhar"
"Satyam Property Dealer","+ 91  9856154473","4.8","4","Jalandhar City","Jalandhar"
"Dhingra Medicos","+ 91  018143639399","","0","Jalandhar","Jalandhar"
"B.k.g Medicos And Laboratory","+ 91  18198718233","4.8","6","Bhogpur","Jalandhar"
"Arora medicos","+ 91  947138445","","0","Jalandhar City","Jalandhar"
"Ludhiana Buss Stand","+ 91  9979179515","","0","Aman Nagar","Jalandhar"
"Ishwar Medical Store","+ 91  9082347693","5.0","3","","Jalandhar"
"Dhingra Pharmaceutical Agency","+ 91  018120126894","","0","Dilkush Market","Jalandhar"
"Satgur Medicos","+ 91  9751517572","4.6","5","","Jalandhar"
"Malhotra Medicos","+ 91  985381416","","0","Beaspind","Jalandhar"
"Gupta chemist shop","+ 91  9984333792","4.3","2","Jalandhar City","Jalandhar"
"Maa Jagdabay Agencies","","","0","Industrial Town","Jalandhar"
"Arora Medicine Traders","+ 91  18139966725","4.8","5","Civil Lines","Jalandhar"
"Nanda Medical Store","+ 91  994957259","4.6","5","Sodal Road","Jalandhar"
"Khurana Medicos","+ 91  9449017998","1.0","2","Jalandhar City","Jalandhar"
"Medicine Centre","+ 91  018112472555","4.5","2","Ashok Nagar","Jalandhar"
"Mahalakshmi Medicos","+ 91  9898333448","3.3","7","Raj Nagar","Jalandhar"
"Medicine Counter","+ 91  9711239443","","0","Jalandhar City","Jalandhar"
"Sharma Medicos","+ 91  9874056510","3.8","2","Jalandhar City","Jalandhar"
"BAINS Medicos","+ 91  997536659","","0","Chomon","Jalandhar"
"Bajaj medical chember","+ 91  8619976848","","0","Maqsudan","Jalandhar"
"Pasricha Medical Hall","+ 91  9883330129","","0","Jalandhar City","Jalandhar"
"Amit Medical Store","+ 91  9849657013","","0","Jalandhar City","Jalandhar"
"Raj Medical Store","+ 91  9884115493","","0","G T Road","Jalandhar"
"Satyam Medicare","+ 91  812628605","5.0","5","","Jalandhar"
"Balwinder Medical Hall","+ 91  987133368","5.0","2","Jalandhar City","Jalandhar"
"Khanna Medical Agencies","+ 91  9460035678","5.0","2","Jalandhar City","Jalandhar"
"Balu Medicine Center","+ 91  921309109","3.0","8","Hoshiarpur Road","Jalandhar"
"Anil Walia Property Dealer","+ 91  9139083562","4.0","6","Jalandhar City","Jalandhar"
"R.K. Medicos & Clinical Lab","+ 91  9983693157","5.0","6","Bhogpur","Jalandhar"
"Bajwa Medicines And General Store","+ 91  9879813762","4.1","10","Hoshiarpur Road","Jalandhar"
"Vijay Medical Hall","+ 91  9523054501","","0","Aadampaur","Jalandhar"
"Jagdambay Medicos","+ 91  9877779351","4.7","6","","Jalandhar"
"A D Distributors","+ 91  018124687342","","0","Dilkusha Markeet","Jalandhar"
"Kaushal Medial Hall","+ 91  8253944712","","0","Hoshiarpur Road","Jalandhar"
"kampania medicine shop","+ 91  9898998659","","0","Jalandhar City","Jalandhar"
"Sanjeevani Medicos","+ 91  9837384244","","0","Jalandhar City","Jalandhar"
"medicine medico merchant","+ 91  7599891971","","0","GTB Avenue","Jalandhar"
"Imperial Medical Store","+ 91  9888782016","4.0","6","Jalandhar City","Jalandhar"
"Satyam Property Dealer","+ 91  9889342126","4.8","4","Jalandhar City","Jalandhar"
"Unique Medico","","","0","Sodal Road","Jalandhar"
"Sharma Medicos","+ 91  9064444555","4.5","4","","Jalandhar"
"Supreme Medicare","+ 91  18175602536","","0","Chandan Nagar","Jalandhar"
"Satyam Property Dealer","+ 91  9899891540","4.8","4","Jalandhar City","Jalandhar"
"Shri Gauri Shankar Medicals","+ 91  98824459","5.0","10","Near Shri Gauri Shankar Mandir","Jalandhar"
"Sarita Medicos Store","+ 91  9864063662","","0","Maqsudan","Jalandhar"
"Friends Property Dealer","+ 91  7659351871","4.8","14","Adarsh Nagar","Jalandhar"
"NEW HAPPY MEDICOs","+ 91  9828792159","4.6","5","Jalandhar City","Jalandhar"
"Rana Medicine Centre","+ 91  7663114076","","0","Jalandhar City","Jalandhar"
"Ram Medicos","+ 91  9824468446","5.0","2","NEAR SBI ATM  MES ROAD","Jalandhar"
"Kamal Hospital & Maternity Home","+ 91  18181640373","4.2","102","Jalandhar City","Jalandhar"
"Reru Medical Store","+ 91  9777620076","","0","Reru","Jalandhar"
"Sanjay Medicos","+ 91  9042936021","5.0","2","Jalandhar","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9871232109","5.0","232","Shahkot","Jalandhar"
"Maa Jagdambay Agencies","+ 91  9894545977","1.0","2","Jalandhar City","Jalandhar"
"Shri Anand Medicine Centre","+ 91  9873791639","","0","Industrial Town","Jalandhar"
"Rama Medicate Centre","+ 91  9859003929","","0","Maqsudan","Jalandhar"
"Medicine Centre","+ 91  018177344259","4.5","2","Ashok Nagar","Jalandhar"
"Medicine Counter","+ 91  971969032","","0","Jalandhar City","Jalandhar"
"Friends Property Dealer","+ 91  7693505599","4.8","14","Adarsh Nagar","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9812619277","5.0","232","Shahkot","Jalandhar"
"Dr. Bawa Clinic","+ 91  9834106228","5.0","2","Bhogpur Jalandhar","Jalandhar"
"Health Care Medicos","+ 91  8671917279","","0","Aman Nagar","Jalandhar"
"medicine medico merchant","+ 91  7539872366","","0","GTB Avenue","Jalandhar"
"Kamal Medicine Centre","+ 91  18190683359","3.0","4","Sodal Road","Jalandhar"
"Gill Medicos","+ 91  9877007619","5.0","4","Near By Patanjli Store ","Jalandhar"
"Bhatti Medical Hall","+ 91  9854223373","4.7","8","Kartarpur","Jalandhar"
"Gavish Pharma Agencies","+ 91  18191621393","","0","Jalandhar City","Jalandhar"
"Swami Medical Store","+ 91  9497879433","1.3","33","Kishangarh","Jalandhar"
"Kakkar Medical Hall","+ 91  018168358117","5.0","3","Jalandhar City","Jalandhar"
"Mukesh Medicos","+ 91  9476973907","5.0","2","Jalandhar City","Jalandhar"
"Walia Medicos","+ 91  9887308302","4.2","5","","Jalandhar"
"Ganpati Pharmaceuticals","+ 91  9032255062","4.0","1","Maqsudan","Jalandhar"
"Medicine Counter","+ 91  9789603996","","0","Jalandhar City","Jalandhar"
"J.K. Medicos","+ 91  9824348106","","0","Jalandhar City","Jalandhar"
"Nhs Hospital","+ 91  18133030856","4.2","226","Jalandhar","Jalandhar"
"Jan Aushadhi Store","+ 91  8850127189","5.0","3","Kartarpur","Jalandhar"
"Vijay Medicine Centre","+ 91  9384739404","5.0","2","Kot Kishan Chand","Jalandhar"
"Kumar Medical Store","+ 91  9081050838","","0","Adampur Doaba","Jalandhar"
"Khinda Medicine Centre","+ 91  9949047707","5.0","4","Jalandhar City","Jalandhar"
"Relan Medical Hall","+ 91  018150515189","5.0","2","Charanjitpura","Jalandhar"
"Malhotra Medicos","+ 91  9868415540","3.5","2","Alawalpur","Jalandhar"
"Hanspal Medicos","+ 91  9827893432","5.0","4","Bhogpur","Jalandhar"
"Friends Medical Hall","+ 91  9490663402","4.5","2","Jalandhar City","Jalandhar"
"K.k Pharma Medical Store","+ 91  9025912404","","0","Kartarpur","Jalandhar"
"Vicky Medicos","+ 91  9472352295","4.8","2","Arya Nagar","Jalandhar"
"National Medical Hall","+ 91  8155356857","5.0","3","Jalandhar City","Jalandhar"
"Rattan Medical Hall","+ 91  8074480365","","0","Maqsudan","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18127906554","4.5","9","Preet Nagar","Jalandhar"
"Bedi chemist shop","+ 91  9464819566","","0","Jalandhar City","Jalandhar"
"Dhingra Medicine Center","+ 91  18173980463","4.8","13","Hoshiarpur Road","Jalandhar"
"Chumber Medicos Kathar","+ 91  8296469132","","0","","Jalandhar"
"Kalia Chemists","+ 91  18117511040","5.0","3","Jalandhar City","Jalandhar"
"Rattan Medical Hall","+ 91  018185308927","4.0","1","Maqsudan","Jalandhar"
"Soni Medical Hall","+ 91  18127911225","5.0","4","Bhogpur","Jalandhar"
"Bawa Medical Hall","+ 91  9459600547","","0","Jalandhar City","Jalandhar"
"Harerama Chemist & Druggist","+ 91  9812372239","3.0","2","Sodal Road","Jalandhar"
"Health Care Trading Corporation","+ 91  9438103745","5.0","2","Hoshiarpur Road","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18197240249","4.5","9","Preet Nagar","Jalandhar"
"Rakesh Medicos ","+ 91  9858620114","","0","Kabir Nagar","Jalandhar"
"Moga Sokda Medical First Aid Center","+ 91  8290390609","","0","Kandola","Jalandhar"
"Hamraj Medical Chemist","+ 91  9880480619","","0","Hoshiarpur Road","Jalandhar"
"Anand Medical Hall And Anand Clinic","+ 91  18195368249","","0","Jalandhar City","Jalandhar"
"Popular Chemist","+ 91  18194607562","4.3","12","Jalandhar City","Jalandhar"
"Raina medicine centre","+ 91  9469601038","","0","Jalandhar City","Jalandhar"
"Maa Jagdambay Medicos","+ 91  18137934499","1.0","2","Prem Nagar","Jalandhar"
"Narang Medicos","+ 91  9410137792","3.5","4","Jalandhar City","Jalandhar"
"Pawan Medical Hall","+ 91  18187730096","5.0","2","Kartarpur","Jalandhar"
"Suryal Medical Agencies","+ 91  18110594345","5.0","4","Central Town","Jalandhar"
"Parkash Medicos","+ 91  18170211059","","0","Chandan Nagar","Jalandhar"
"Prem Medical Store","+ 91  018122873061","4.2","7","Jalandhar City","Jalandhar"
"Delhi Medicine Center","+ 91  9848546148","","0","Adampur Ad","Jalandhar"
"Marsons Drugs & Medical Store","+ 91  18141877909","5.0","2","Jalandhar City","Jalandhar"
"Arsh Medicos","+ 91  9856141878","","0","","Jalandhar"
"Krishna Medical Store","+ 91  9498788735","1.0","2","Industrial Town","Jalandhar"
"Shanty Medical Store","+ 91  9895714359","","0","Jalandhar City","Jalandhar"
"Chawla Medical Hall","+ 91  9875581921","4.0","6","Central Town","Jalandhar"
"Maa jagdambay agencies","+ 91  9691497476","1.0","2","Jalandhar City","Jalandhar"
"Dogra Medicos","+ 91  18173106166","3.3","7","Gopal Nagar","Jalandhar"
"New Jyoti Medical Hall","+ 91  18134203422","","0","Chogetti","Jalandhar"
"Life Line Medicos","+ 91  18119203757","4.5","8","Preet Nagar","Jalandhar"
"Puri Medicos","+ 91  7666592578","","0","Jalandhar","Jalandhar"
"Gupta Chemist","+ 91  7663190969","5.0","2","Jalandhar City","Jalandhar"
"Medicine Centre","+ 91  018141220273","4.5","2","Ashok Nagar","Jalandhar"
"City Medical Store","+ 91  8574747360","4.5","3","Jalandhar City","Jalandhar"
"Sharma Pharmacy","+ 91  8617220743","2.0","2","Sodal Road","Jalandhar"
"Kumar Medical Hall","+ 91  18170115530","5.0","1","Jandu Singha","Jalandhar"
"Verma Medicos","","","0","Jalandhar City","Jalandhar"
"Sareen Medical Agencies","+ 91  18143983276","","0","Jalandhar City","Jalandhar"
"Usha Medicine Centre","+ 91  9878241883","5.0","1","Jalandhar City","Jalandhar"
"Lucky Medical Store","+ 91  18179964456","","0","Opposite G N Khalsa College","Jalandhar"
"Gagan Medical Store","+ 91  9824256377","","0","Basti Bawa Khel","Jalandhar"
"Zeelab Pharmacy","+ 91  9868861165","","0","Near Udham Singh Chowk","Jalandhar"
"Munish Medicos","+ 91  95938852","5.0","2","Kartarpur","Jalandhar"
"Nippun Pharma","+ 91  9499008850","","0","Near-SODAL mandir ","Jalandhar"
"Anil Walia Property Dealer","+ 91  9183968109","4.0","6","Jalandhar City","Jalandhar"
"Rabboni Medical STORE","+ 91  9844016463","4.7","6","Adampur Jalandhar","Jalandhar"
"Sant Medical Hall","+ 91  018170474765","","0","Jalandhar City","Jalandhar"
"Anand Medical Store","+ 91  9845957743","5.0","2","Adampur Doaba","Jalandhar"
"Hans medicos","+ 91  9922593656","3.3","2","Jalandhar City","Jalandhar"
"Arora Medicine Traders","+ 91  18130862653","4.8","5","Civil Lines","Jalandhar"
"Vijay Medical Hall","+ 91  18125580808","4.3","6","Jalandhar City","Jalandhar"
"Sareen Medical Hall","+ 91  18168115434","5.0","4","Bhogpur","Jalandhar"
"Prince Medicare","+ 91  9851151333","","0","Sodal Road","Jalandhar"
"medicine medico merchant","+ 91  7594182133","","0","GTB Avenue","Jalandhar"
"Kahlon medical HALL","","","0","Kartarpur","Jalandhar"
"A K Medicine Centre","+ 91  18166574856","","0","Jalandhar City","Jalandhar"
"Durga Medical Hall","+ 91  985996208","","0","Jalandhar City","Jalandhar"
"Cawla Medical Centre","+ 91  9810343377","","0","","Jalandhar"
"Kartar Medicos","+ 91  8685265816","","0","Jalandhar City","Jalandhar"
"Acc Medicare","+ 91  9824367964","4.6","20","Opposite Kamal Hospital","Jalandhar"
"Suri Medical Store","+ 91  98528455","4.7","6","Adampur Doaba","Jalandhar"
"Lucky Medicos","+ 91  9886225017","","0","Jalandhar City","Jalandhar"
"Punjab Medicos","+ 91  9890214786","","0","Kartarpur","Jalandhar"
"Kartar Medicos ","+ 91  861358925","","0","Railway Road","Jalandhar"
"Kalpa Ayurvedic Avshadhalaya","+ 91  018143585710","5.0","8","Adarsh Nagar","Jalandhar"
"Shree Anand Medicos","+ 91  9348618062","4.5","4","Aman Nagar","Jalandhar"
