"Name","Phone","Rating","Votes","Locality","City"
"United India Insurance Co Ltd B0 2","+ 91  13573864618","","0","Saharanpur Chowk","Dehradun"
"New Royal Medicine Centre","+ 91  135 90147455","","0","Dehradun City","Dehradun"
"Niraj Ayuervedic Medicine","+ 91  8162302758","4.0","2","Dehradun City","Dehradun"
"Anurag Property Dealer","+ 91  9132865926","4.3","9","Dehradun City","Dehradun"
"Medicine Centre","+ 91  13510113344","3.0","2","Dehradun City","Dehradun"
"Cu-V-Kar Genetic Medicine Pvt. Ltd.","","5.0","2","Bhaniawala","Dehradun"
"Medicine Centre","+ 91  13592508718","3.0","2","Dehradun City","Dehradun"
"Upes Boys Hostel Tower 3 Khandoli Campus","+ 91  9986391515","4.0","67","Pondha","Dehradun"
"Cu-V-Kar Genetic Medicine Pvt. Ltd.","","5.0","2","Bhaniawala","Dehradun"
"5 Hill Valley","+ 91  9886058574","3.8","45","Prem Nagar","Dehradun"
"Detox Herbal Medicine","+ 91  7031770952","5.0","1","Dehradun Cantt","Dehradun"
"Medicine Centre","+ 91  13516930194","3.0","2","Dehradun City","Dehradun"
"Wheels 2 Go","+ 91  9113162668","4.8","85","Dehradun City","Dehradun"
"Cu-V-Kar Genetic Medicine Pvt. Ltd.","","5.0","2","Bhaniawala","Dehradun"
"Aastha Medicine Center","+ 91  9719029729","4.0","2","Dehradun City","Dehradun"
"New Royal Medicine Centre","+ 91  135 62382921","","0","Dehradun City","Dehradun"
"Medicine Carton Manufacture","+ 91  9196551924","","0","","Dehradun"
"Health N Care Medicine Center","+ 91  9630386266","5.0","2","Opposite Monal Farm","Balawala"
"Chawla Chicken","+ 91  8911954221","3.7","86","Race Course","Dehradun"
"3 Pyramids","+ 91  8042607858","3.8","463","Dehradun City","Dehradun"
"4 Colour Print Soultions","+ 91  013512658778","3.9","15","Dehradun City","Dehradun"
"Chawlas2","+ 91  901278212","2.7","50","Rajpur Road","Dehradun"
"Aastha Medicine Center","+ 91  978634872","4.0","2","Dehradun City","Dehradun"
"State Bank Of India   Region 4","+ 91  13574846548","5.0","1","Dehradun City","Dehradun"
"Cu-V-Kar Genetic Medicine Pvt. Ltd.","","5.0","2","Bhaniawala","Dehradun"
"Medicine Centre","+ 91  13559703568","3.0","2","Dehradun City","Dehradun"
"Detox Herbal Medicine","+ 91  7072920528","5.0","1","Dehradun Cantt","Dehradun"
"Head 2 Toe Unisex Spa","+ 91  7876396788","3.8","2","Dehradun City","Dehradun"
"Joshi Medicine","+ 91  9898235662","4.9","16","Prem Nagar","Dehradun"
"New Royal Medicine Centre","+ 91  135 38710637","","0","Dehradun City","Dehradun"
"City Scrap Buyers & Dealers Pvt Ltd","+ 91  9130770944","4.9","9","Dehradun City","Dehradun"
"B S Rawat Property Dealer","+ 91  9798035389","4.9","17","Rani Pokhari","Dehradun"
"New Royal Medicine Centre","+ 91  135 26981540","","0","Dehradun City","Dehradun"
"5 Keys Studio","+ 91  7040538066","4.8","5","Karanpur","Dehradun"
"Detox Herbal Medicine","+ 91  706007290","5.0","1","Dehradun Cantt","Dehradun"
"Doon AC Dealers & AC Repair and Services","+ 91  7891536322","5.0","2","Dehradun City","Dehradun"
"Medicine Carton Manufacture","+ 91  9198593373","","0","","Dehradun"
"Cu-V-Kar Genetic Medicine Pvt. Ltd.","","5.0","2","Bhaniawala","Dehradun"
"Aastha Medicine Center","+ 91  9780884192","4.0","2","Dehradun City","Dehradun"
"Medicine Centre","+ 91  13541592515","3.0","2","Dehradun City","Dehradun"
"New Royal Medicine Centre","+ 91  135 8079639","","0","Dehradun City","Dehradun"
"Four Point By Sheraton","+ 91  013511063586","4.1","4321","Rajpur Road","Dehradun"
"Niraj Ayuervedic Medicine","+ 91  8180456842","4.0","2","Dehradun City","Dehradun"
"Shivalik Property Dealers","+ 91  9767712463","4.6","22","","Dehradun"
"HDFC Bank Ltd","+ 91  9351793079","","0","Arahat Bazar","Dehradun"
"Niraj Ayuervedic Medicine","+ 91  8127461747","4.0","2","Dehradun City","Dehradun"
"Auto Lounge Vespa Aprilia Dealer","+ 91  9659090864","","0","Vikas Nagar ","Dehradun"
"The 3 Pines Cafe","+ 91  9121653737","3.9","54","Dehradun City","Dehradun"
"Wheels 2 Go","+ 91  013599924232","4.8","85","Dehradun City","Dehradun"
"Himalaya Health & Fitness-Gym Equipments Dealers In Uttarakhand","+ 91  9147085706","4.0","6","Dehradun City","Dehradun"
