"Name","Phone","Rating","Votes","Locality","City"
"Shiv Medical Store","+ 91  9480385722","","0","Darlaghat","Solan"
"Krishna Medicos","+ 91  9860506938","","0","Bhud","Solan"
"Sai Medical Store","+ 91  9869366735","4.0","4","","Solan"
"Medicos The Barog","+ 91  8310802976","","0","Barog","Solan"
"Aitus Health Care","+ 91  8953440156","","0","Baddi","Solan"
"Chaudhary Medicos ","+ 91  9849383857","","0","Baddi","Solan"
"Nirankari Medical Store","+ 91  17928585971","4.8","10","Darlaghat","Solan"
"Lakshmi Medicals","+ 91  17977637322","","0","Lakkar Bazar","Solan"
"Kapil Medical Store","+ 91  9811526918","4.5","2","Baddi","Solan"
"Shree Bala Ji Medical Store","+ 91  9734781620","","0","Baddi","Solan"
"Univentis Medicare Ltd","+ 91  7850769408","4.8","6","Baddi","Solan"
"Jan Aushadhi Store","+ 91  9478176576","","0","Lakkar Bazar","Solan"
"Om Sai Medical Store","+ 91  9570724636","","0","Baddi","Solan"
"Amar Medicos","+ 91  985811990","5.0","1","","Solan"
"Sharma Medical Store","+ 91  9464406230","4.0","2","Chail","Solan"
"Babloo Medical Store","+ 91  9897318783","4.5","2","Baddi","Solan"
"Sahni Medicines","+ 91  9720501463","4.5","5","","Solan"
"A V Medical Store","+ 91  8277216391","","0","Solan","Solan"
"SYNERGY PHARMACEUTICALS","+ 91  7096951159","","0","Saproon","Solan"
"Alliance Biotech","+ 91  9814318824","3.2","3","Baddi","Solan"
"Anil Medicos","+ 91  9720013652","","0","Baddi","Solan"
"R M Medical Hall","+ 91  1794145768","4.6","9","Anand Vihar Colony","Solan"
"Sandeep Medical Hall","+ 91  8097715980","","0","Lakkar Bazar","Solan"
"Mgs Divineherbs Pharma","+ 91  9846706281","","0","","Solan"
"Flumine Pharmaceuticals Pvt Ltd","+ 91  8232965237","","0","Barotiwala","Solan"
"Health Care Medicals","+ 91  8672323565","","0","Baddi","Solan"
"Paridhi Remedies","+ 91  7866619315","5.0","4","Baddi","Solan"
"Tanishq Healthcare","+ 91  9830224173","5.0","2","Dharampur","Solan"
"Harjot Medical Store","+ 91  9871263549","","0","Nalagarh","Solan"
"Nitika Kumari","+ 91  9859480129","","0","Saproon","Solan"
"Sharma Medicos","+ 91  7856353136","","0","Baddi","Solan"
"Shiv Gouri Medical Store","+ 91  9482313250","","0","Baddi","Solan"
"Bantoo Medicos ","+ 91  9487196034","","0","Baddi","Solan"
"Sethi Medicos","+ 91  17921440127","4.7","56","Jawahar Park","Solan"
"Kapil Dhiman","+ 91  937436163","5.0","1","Chambaghat","Solan"
"Sharma Medicos","+ 91  017923352825","","0","Solan","Solan"
"Sharma Medicos ","+ 91  9819886063","","0","Nalagarh","Solan"
"Sahni Medicines","+ 91  9789862148","4.5","5","","Solan"
"Om Sai Medicos","+ 91  864286301","4.0","1","Baddi","Solan"
"Laxmi Medical Store","+ 91  9718446573","4.5","2","Baddi","Solan"
"Kainth Medicos ","+ 91  9475007275","5.0","1","Jainagar","Solan"
"Gupta Medical Store","+ 91  9821952088","","0","Baddi","Solan"
"Ravi Medicos","+ 91  9848093222","","0","Baddi","Solan"
"Tusha Pharma","+ 91  9826503619","","0","Baddi","Solan"
"Dhiman Madicos","+ 91  9786568012","","0","Bhud","Solan"
"Verma Medical Store","+ 91  938364426","5.0","1","Nalagarh","Solan"
"Innova Cap Tab","+ 91  1795373631","4.3","15","Baddi","Solan"
"M R Medicos","+ 91  9490311616","5.0","8","Kunihar","Solan"
"Sarkash Medicos","+ 91  9897312933","","0","Baddi","Solan"
"Power Systems (authorised Dealer Of Exide Industries Ltd.","+ 91  17998928631","4.8","3","Baddi","Solan"
"Kundals Medicos ","+ 91  9851596892","","0","Baddi","Solan"
"Madhu Medicos","+ 91  7821042818","4.9","6","Sultanpur","Solan"
"Jai Medical Store","+ 91  8294435546","","0","Baddi","Solan"
"Raj Dawakhana","+ 91  9898463300","","0","Baddi","Solan"
"Shadi Ram Seed Dealer","+ 91  9611535046","0.5","1","Kasauli","Solan"
"Nayar Medical Store","+ 91  017975959736","3.7","7","Dharampur","Solan"
"Rama Medicos ","+ 91  9860182193","5.0","2","Dharampur","Solan"
"Albino Pharma","","","0","Baddi","Solan"
"Health Care Medical","+ 91  9842031017","","0","Baddi","Solan"
"Jaggi Medical Store","+ 91  9845826957","","0","Baddi","Solan"
"SYNERGY PHARMACEUTICALS","+ 91  9535936247","","0","NEAR SHIN MANDIR ","Solan"
"Goyal Medicos","+ 91  17964116852","","0","Chowk Bazar","Solan"
"Manjula Medical Store","+ 91  9897394771","","0","Baddi","Solan"
"Niharika Medical Store","+ 91  9847073458","","0","Deoghat","Solan"
"Amandeep Singh","+ 91  9884445583","","0","Baddi","Solan"
"Chaudhary Remedies","+ 91  947161949","","0","Kunihar","Solan"
"Sharma Medical Store","+ 91  9847170110","","0","Bhud","Solan"
"Anurag Medical Store","+ 91  9774723096","1.0","2","Dhundan","Solan"
"Mukesh Medicos","+ 91  986422632","","0","Solan Ho","Solan"
"Ishan Medicals","+ 91  17987906324","3.9","6","Anand Vihar Colony","Solan"
"","+ 91  9269244269","3.0","2","Baddi","null"
"Park Pharmaceuticals","+ 91  8812073877","5.0","2","","Solan"
"Sharma Medical Store","+ 91  946087346","5.0","11","","Solan"
"Asa Biotech","+ 91  17910337384","4.5","1","Baddi","Solan"
"Kaushal Medical Hall","+ 91  17950692662","5.0","2","Baddi","Solan"
"Good Life Medicos","+ 91  7012683711","5.0","4","Solan HO","Solan"
"Luxmi Medicals","+ 91  17950843294","3.0","1","Lakkar Bazar","Solan"
"Ravi Medicos","+ 91  9450268462","","0","Kunihar","Solan"
"Ebony Pharma","+ 91  926353837","","0","Baddi","Solan"
"Jaihind Medical Store","+ 91  17932395935","","0","Subathu","Solan"
"Gurukirpa Medical Store","+ 91  9815988011","5.0","3","","Solan"
"Narsingh Medicos Stores","","4.0","1","Lakkar Bazar","Solan"
"Cosmas Pharmacals","+ 91  9468765045","4.0","1","Barotiwala","Solan"
"Pavitra Medicos","+ 91  9453989532","","0","Lakkar Bazar","Solan"
"Harshika Medicals","+ 91  9848732661","4.3","3","Jaunaji","Solan"
"Mediserve","+ 91  7887125084","","0","Anand Vihar Colony","Solan"
"Sanjeevani Medical Hall","+ 91  9866825098","","0","Baddi","Solan"
"Kundlas Medicos ","+ 91  982074625","","0","Baddi","Solan"
"Able Pharma","+ 91  9849439253","4.0","2","Baddi","Solan"
"Durga Medical Store","+ 91  17963275725","5.0","2","","Solan"
"Viraat Health Care","+ 91  946767438","5.0","1","Kunihar","Solan"
"Khan Medical Store","+ 91  9258443110","","0","Baddi","Solan"
"Dynamic Pharmaceuticals","+ 91  17961083104","4.0","2","Lakkar Bazar","Solan"
"Ravi Medicos ","+ 91  9849513074","","0","Baddi","Solan"
"Venus Medicos","+ 91  17994284986","3.7","9","Chambaghat","Solan"
"Swaroop Medicos Chail","+ 91  9843972059","","0","Chail","Solan"
"Friends Corner Mobile Dealer","+ 91  981743421","","0","","Solan"
"Chauhan Ayurvedic Medicines","+ 91  17967742965","","0","Solan Ho","Solan"
"Raju Medicos","+ 91  8875638190","","0","Baddi","Solan"
"Sharma Medical Store","+ 91  9838989578","","0","Baddi","Solan"
"Good Life Medicine","+ 91  8573435933","","0","Solan","Solan"
"Sita Ram Medical Store","+ 91  9375276250","4.5","1","Baddi","Solan"
"Sandeep Medical Hall","+ 91  9881151485","3.0","2","Solan Ho","Solan"
"Park Pharmaceuticals","+ 91  9266145052","4.0","3","Kasauli Solan","Solan"
"Sodhi Medicals","+ 91  9281209591","","0","Baddi","Solan"
"Shri Balaji Medicos","+ 91  9815068504","4.0","2","Baddi","Solan"
"Kapil Medical Store","+ 91  9890162902","5.0","1","","Solan"
"Aggarwal Medical Hall","+ 91  17941592574","2.9","4","Jawahar Park","Solan"
"Sai Medical Agencies","+ 91  8652160383","","0","","Solan"
"Eicher Trucks And Buses Dealer Swami Auto Care Company","+ 91  9285459481","","0","Baddi","Solan"
"Dwivedi Property Dealers","+ 91  9853598329","","0","Nalagarh","Solan"
"Ansh Pharma Traders","+ 91  17969893015","","0","Solan Ho","Solan"
"Om Medicos","+ 91  9878277943","","0","Baddi","Solan"
"Maa Shoolini Medical Store","+ 91  9815660414","","0","Solan HO","Solan"
"Barna Mal Lila Mal","+ 91  17949957181","2.0","2","Dharampur","Solan"
"Shoolini Chemists","+ 91  17940037836","4.3","2","Solan Ho","Solan"
"Aarge Drugs","+ 91  17974787847","","0","Solan Ho","Solan"
"Choudhary Medical Shop","+ 91  97239715","","0","Baddi","Solan"
"Sohni Medicos","+ 91  9279285638","","0","Solan Ho","Solan"
"Sahni Medicos","+ 91  017922499887","3.2","11","Jawahar Park","Solan"
"Varun Medical Store","+ 91  9815457087","","0","Lakkar Bazar","Solan"
"Chaudhary Medical Store","+ 91  9078298678","5.0","4","Baddi","Solan"
"Saameer Medicos","+ 91  986971203","","0","Anand Vihar Colony","Solan"
"Dass Medical Store","+ 91  9651790710","5.0","4","Baddi","Solan"
"R. M. Medical Hall","+ 91  17957686492","4.5","1","Anand Vihar Colony","Solan"
"Esha Verma","+ 91  8935094557","","0","Solan Ho","Solan"
"Pavitra Medicos","+ 91  17966404508","3.5","2","Lakkar Bazar","Solan"
"Mukand Medical Stores","+ 91  01791453958","","0","Arki","Solan"
"Nar Sinh Medicos","+ 91  9356289953","","0","Lakkar Bazar","Solan"
"Uday Sharma","+ 91  1792226536","","0","Solan Brewery","Solan"
"R K Medical Store","+ 91  9883577124","5.0","4","","Solan"
"Kaushal Medical Store","+ 91  9881006581","3.8","18","Bhud","Solan"
"R K Medicos","+ 91  017924618138","4.0","1","Solan Ho","Solan"
"Akshay Medicos","+ 91  946999025","","0","Solan Ho","Solan"
"Sidhi Vinayak Medical Agency","+ 91  948111612","4.7","2","Solan Ho","Solan"
"Bhardwaj Medical Store","+ 91  9462104444","","0","Baddi","Solan"
"Kapsons Pharmacy","+ 91  9832365774","4.0","1","Solan HO","Solan"
"Jyoti Madical","+ 91  7095904430","","0","Near Main Chowk ","OPP.CSC Nalagarh"
"Chandel Medical Store","+ 91  976769647","3.8","9","Nalagarh","Solan"
"Mehta Medical Store","+ 91  8629003074","","0","Baddi","Solan"
"G C Ind","+ 91  9898680716","","0","Baddi","Solan"
"Life Line Medical","+ 91  8699635678","","0","Baddi","Solan"
