"Name","Phone","Rating","Votes","Locality","City"
"Gaba Medicine and Cosmetics","+ 91  9811150677","5.0","232","Shahkot","Jalandhar"
"Dream 2 Destination Consultancy","+ 91  9138963957","5.0","4","Jalandhar City","Jalandhar"
"Mahajan Medicine Traders","+ 91  18144287986","","0","Jalandhar City","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9853711877","5.0","232","Shahkot","Jalandhar"
"Medicine Centre","+ 91  018132362823","4.5","2","Ashok Nagar","Jalandhar"
"Medicine Counter","+ 91  976853543","","0","Jalandhar City","Jalandhar"
"Medicine Centre","+ 91  018160064384","4.5","2","Ashok Nagar","Jalandhar"
"Promise Ultrasound & Fetal Medicine Centre","+ 91  18123586323","4.8","61","Jalandhar City","Jalandhar"
"Arora Medicine Traders","+ 91  18118824194","4.8","5","Civil Lines","Jalandhar"
"Mahajan Medicine Traders","+ 91  18185546839","","0","Jalandhar City","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9810364090","5.0","232","Shahkot","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18184691434","4.7","3","Jalandhar City","Jalandhar"
"Pets 2 Home","+ 91  9188769788","3.8","38","Model Town","Jalandhar"
"Arora Medicine Traders","+ 91  18174383835","4.8","5","Civil Lines","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  181641297","4.5","9","Preet Nagar","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18186758966","4.5","9","Preet Nagar","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18135178799","4.7","3","Jalandhar City","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18119868693","4.5","9","Preet Nagar","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  1817330939","4.5","9","Preet Nagar","Jalandhar"
"medicine medico merchant","+ 91  7516953134","","0","GTB Avenue","Jalandhar"
"Medicine Counter","+ 91  9713304757","","0","Jalandhar City","Jalandhar"
"Arora Medicine Traders","+ 91  1813564458","4.8","5","Civil Lines","Jalandhar"
"Promise Ultrasound & Fetal Medicine Centre","+ 91  18134219241","4.8","61","Jalandhar City","Jalandhar"
"Medicine medicos trand","+ 91  7585817293","","0","GTB Avenue","Jalandhar"
"Anil Walia Property Dealer","+ 91  919962131","4.0","6","Jalandhar City","Jalandhar"
"Friends Property Dealer","+ 91  7625145600","4.8","14","Adarsh Nagar","Jalandhar"
"Medicine Counter","+ 91  9721686789","","0","Jalandhar City","Jalandhar"
"Kendriya Vidyalaya No 4","+ 91  18170676057","2.8","2","Jalandhar City","Jalandhar"
"Medicine Counter","+ 91  9710875373","","0","Jalandhar City","Jalandhar"
"medicine medico merchant","+ 91  7515885769","","0","GTB Avenue","Jalandhar"
"medicine medico merchant","+ 91  7529620322","","0","GTB Avenue","Jalandhar"
"Medicine medicos trand","+ 91  7599551467","","0","GTB Avenue","Jalandhar"
"Medicine Centre","+ 91  018152709765","4.5","2","Ashok Nagar","Jalandhar"
"medicine medico merchant","+ 91  7542513346","","0","GTB Avenue","Jalandhar"
"Police Station Div No. 4","+ 91  18125012565","2.7","18","Jalandhar City","Jalandhar"
"Arora Medicine Traders","+ 91  18173189248","4.8","5","Civil Lines","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9825773569","5.0","232","Shahkot","Jalandhar"
"M.g Medicine Center","+ 91  9853553236","5.0","1","Hardayal Nagar","Jalandhar"
"medicine medico merchant","+ 91  7572085919","","0","GTB Avenue","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9887559728","5.0","232","Shahkot","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18153726372","4.7","3","Jalandhar City","Jalandhar"
"M.g Medicine Center","+ 91  9817955129","5.0","1","Hardayal Nagar","Jalandhar"
"Arora Medicine Traders","+ 91  18128896867","4.8","5","Civil Lines","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  181727830","4.7","3","Jalandhar City","Jalandhar"
"Fat 2 Fit Gym","+ 91  9623021007","3.8","54","Jalandhar Cantt","Jalandhar"
"Medicine Centre","+ 91  018141731744","4.5","2","Ashok Nagar","Jalandhar"
"Satyam Property Dealer","+ 91  989204584","4.8","4","Jalandhar City","Jalandhar"
"Medicine Centre","+ 91  018128034425","4.5","2","Ashok Nagar","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  1814786950","4.7","3","Jalandhar City","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18195636295","4.5","9","Preet Nagar","Jalandhar"
