"Name","Phone","Rating","Votes","Locality","City"
"2 By 2 Logistics","+ 91  8453288218","","0","Sidcul Sector 6","Haridwar"
"Joint 2 Buns","+ 91  9781562717","5.0","1","","Haridwar"
"Pooja Sweets Sec-5","+ 91  9013450731","4.2","31","BHEL","Haridwar"
"Fairdeal Chemist","+ 91  13310538420","3.7","6","Jwalapur","Haridwar"
"Sri ganesh bahawalpur dharmshala (shabha) Reg.part-2","+ 91  13393724688","3.6","7","Haridwar H O","Haridwar"
"Anuj Saini Chemist Home","+ 91  8077753322","4.0","2","Shiv Mandir","Haridwar"
"Bulls Gym 4 All","+ 91  893120991","2.5","1","Haridwar H O","Haridwar"
"Aftab Siddiqui Villa Laksari Ward No 4","+ 91  8954885566","","0","Laksar","Haridwar"
"Anganwadi  Bahadarpur Jatt 5","+ 91  9746382622","","0","Bahadrabad","Haridwar"
"P1-2 Solar Plant","+ 91  9746743614","5.0","6","","Haridwar"
"Aangnawadi Ekkad Kala 4","+ 91  9661972231","","0","Bahadrabad","Haridwar"
"3 Star Cfl Enterprises","+ 91  7246339047","","0","Near Shiv Mandir","Haridwar"
"3 Star Salon","+ 91  7092934358","","0","Kankhal","Haridwar"
"Anganwadi  Aithal 3","+ 91  9692453584","","0","Laksar","Haridwar"
"Anganwadi  Alipur 3","+ 91  933598693","","0","Bahadrabad","Haridwar"
"Anganwadi  Alawalpur 3","+ 91  9775281559","","0","Bhagwanpur","Haridwar"
"Anganwadi  Boggnla 5","+ 91  9211221870","","0","Bahadrabad","Haridwar"
"Anganwadi  Alawalpur 4","+ 91  9092555880","","0","Bhagwanpur","Haridwar"
"4 Brothers Fast Food","+ 91  9354635693","4.1","107","BHEL","Haridwar"
"Anganwadi  Badshapur 4","+ 91  9412478456","","0","Bahadrabad","Haridwar"
"Gurukirpa Chemist","+ 91  9970445098","3.5","4","Shivalik Nagar","Haridwar"
"Anganwadi  Adrashnagar 3","+ 91  9684681879","","0","Bahadrabad","Haridwar"
"City Chemist","+ 91  1335431786","4.3","6","Jwalapur","Haridwar"
"Anganwadi  Akhodha Kala 3","+ 91  9271232891","","0","Laksar","Haridwar"
"Divya Pharmacy-2","+ 91  925656122","2.8","2","Haridwar H O","Haridwar"
"Anganwadi  Banjarewala 5","+ 91  9749494387","","0","Bhagwanpur","Haridwar"
"5 Start Flower Decoration","+ 91  9262255056","","0","Sultanpur","Haridwar"
"Sunrise Containers Ltd Unit - 2","+ 91  13381149657","3.3","3","BHEL","Haridwar"
"Chawlas 2 Restaurant","+ 91  733658696","3.7","34","Sidcul Petagon Mall","Haridwar"
"Anganwadi  Kassanban 5","+ 91  9965928159","5.0","1","Arya Nagar","Haridwar"
"Next 2 (radisson Blu Hotel)","+ 91  13377970168","4.1","63","Shivalik Nagar","Haridwar"
"Dare 2 Fit Unisex Gym","+ 91  9827926047","5.0","2","Kankhal","Haridwar"
"Kapil Chemist","+ 91  9694107778","3.3","2","Kankhal","Haridwar"
"Sharma Chemist Store","+ 91  9031788863","","0","Jwalapur","Haridwar"
"Arora Chemist","","","0","Jwalapur","Haridwar"
"Kumar Chemist","+ 91  9514446323","","0","Haridwar","Haridwar"
"Anganwadi  Aithal 4","+ 91  9919822815","","0","Laksar","Haridwar"
"Anganwadi  Mohd.Pur Jtt 3","+ 91  9652891397","","0","Narsan Kalan","Haridwar"
"Anganwadi  Bhalaswagaj 5","+ 91  9860805551","","0","Bhagwanpur","Haridwar"
"Anganwadi  Akhodha Kudhra 5","+ 91  9747633472","","0","Laksar","Haridwar"
"Anganwadi  Alawalpur 5","+ 91  9393491941","","0","Bhagwanpur","Haridwar"
"Slurrp-2 Minute Memories","","3.2","13","Khanna Nagar","Haridwar"
"Apka Chemist","+ 91  9432560734","","0","Haridwar H O","Haridwar"
"Kumar Chemist","+ 91  8545755194","3.5","1","Haridwar H O","Haridwar"
"Anganwadi  Adrashnagar 4","+ 91  9324961687","","0","Badshahpur","Haridwar"
"Anganwadi  Bahadarpur Jatt 4","+ 91  97283024","","0","Badshahpur","Haridwar"
"Anganwadi  Ganga Nagar 3","+ 91  9040484271","","0","Bhagwanpur","Haridwar"
"Anganwadi  Ganga Nagar 4","+ 91  9345358117","","0","Bhagwanpur","Haridwar"
"Anganwadi  Akhodha Kudhra 3","+ 91  9331064464","","0","Laksar","Haridwar"
"Anganwadi  Bahadrabad 5","+ 91  9096741927","","0","Badshahpur","Haridwar"
