"Name","Phone","Rating","Votes","Locality","City"
"Dr. Sekhar Maity","+ 91  9991829670","","0","Siddha","Midnapore"
"Bengal Chemist & Druggist Association","+ 91  32266872278","2.5","2","","Midnapore"
"Sahoo Medical Stores","+ 91  979676748","","0","Baishnabchak","Midnapore"
"Sajiboni Medical","+ 91  9483755918","","0","Deuli","Midnapore"
"Shree Krishna Pharmacy","+ 91  978159784","","0","Tamluk","Midnapore"
"Kabita Medical","+ 91  982681992","","0","Kolaghat","Midnapore"
"Suntu Pharmacy","+ 91  9922288618","","0","Pulsita","Midnapore"
"Samanta Medical","+ 91  9446407245","4.4","11","Dakshin Mechgram","Midnapore"
"Jibandeep","+ 91  9715171729","","0","Baishnabchak","Midnapore"
"Pramila Medical Stores","+ 91  9879118627","4.0","2","Payag","Midnapore"
"Rohan Medical Store","+ 91  9654748003","5.0","2","Kolaghat","Midnapore"
"Karuna Medical Hall","+ 91  9778196772","","0","Pulsita","Midnapore"
"Sadhana Pharmacy","+ 91  9442937254","","0","Kolaghat","Midnapore"
"Deys Medical Stores","+ 91  9714036868","","0","Baishnabchak","Midnapore"
"Bharat Medical","+ 91  707194278","3.6","3","Kolaghat","Midnapore"
"Shri Krishna Pharmacy","+ 91  9182447809","","0","Khukurdaha","Midnapore"
"Bengal Chemist & Druggist Association","+ 91  32212978624","2.5","2","","Midnapore"
"Bengal Chemist & Druggist Association","+ 91  32271949526","2.5","2","","Midnapore"
"Bengal Chemist & Druggist Association","+ 91  32259281176","2.5","2","","Midnapore"
"Bengal Chemist & Druggist Association","+ 91  3228825545","2.5","2","","Midnapore"
"PULSE Chemist & Druggist","+ 91  9742439426","","0","Jhargram","Midnapore"
"PULSE Chemist & Druggist","+ 91  9789682226","","0","Jhargram","Midnapore"
"New Maiti Fertilizer","+ 91  9742465500","","0","Deulia","Midnapore"
"Manna Medical","+ 91  9179931018","","0","Narayanchak","Midnapore"
"PULSE Chemist & Druggist","+ 91  9738918962","","0","Jhargram","Midnapore"
"New May De Nova","+ 91  9990344804","4.8","5","","Midnapore"
"Bengal Chemist & Druggist Association","+ 91  32230036730","2.5","2","","Midnapore"
"Manna Homeo Pharmacy","+ 91  9165629724","3.5","9","","Midnapore"
"Health Care Medicine House","+ 91  7517529294","3.6","3","Gopalnagar","Midnapore"
"Jain Medical","+ 91  8349235093","4.0","4","Raksa Chak","Midnapore"
"Mondal Seba Sadan","+ 91  8991955389","","0","Dabuapukur","Midnapore"
"PULSE Chemist & Druggist","+ 91  9727149809","","0","Jhargram","Midnapore"
"T.K.Benary","+ 91  9010291996","","0","Khukurdaha","Midnapore"
"Ever Shine","+ 91  9778834529","","0","Khukurdaha","Midnapore"
"Bimala Medicine Center","+ 91  9976892519","5.0","2","","Midnapore"
"Popular Pharmacy","+ 91  9763146486","3.3","6","Mecheda","Midnapore"
"New Bharat Medical","+ 91  9436847697","","0","Sankar Ara Badamtala","Midnapore"
"Narendra Seba Sadan","+ 91  3222561452","","0","Raghunath Bari High School","Midnapore"
"Bengal Chemist & Druggist Association","+ 91  32255735146","2.5","2","","Midnapore"
"PULSE Chemist & Druggist","+ 91  9711742208","","0","Jhargram","Midnapore"
"PULSE Chemist & Druggist","+ 91  9722311053","","0","Jhargram","Midnapore"
"Rabin Medical","+ 91  9821502111","","0","Pulsita","Midnapore"
"Nani Medical Store","+ 91  9514492234","","0","Khukurdaha","Midnapore"
"General Medical Stores","+ 91  32230722786","","0","Tamluk","Midnapore"
"Namita Medical Stores","+ 91  9172058804","4.3","2","Tamluk","Midnapore"
"Bibekanbanda Medical Hall","+ 91  9452743529","","0","Bhogpur","Midnapore"
"New Medicine Corner","+ 91  9947545702","3.0","4","Khanyadihi","Midnapore"
"Mangaldeep Medical Stores","+ 91  996965771","3.5","4","Kolaghat","Midnapore"
"Saha Medical Shop","+ 91  9675830545","","0","Kolaghat","Midnapore"
"Ganesh Pharmacy","+ 91  32269856186","","0","Tamluk","Midnapore"
"New Life Medical Store","+ 91  946590731","4.0","8","","Midnapore"
"Suraksha Medical Hall","+ 91  9767429634","","0","Kolaghat Bazar","Midnapore"
"Maity Medical","+ 91  9922198572","","0","Pulsita","Midnapore"
"Chinmoyee Medical Store","+ 91  9791127812","3.0","2","Sankarara","Midnapore"
"Annapurna Medical Stores","+ 91  9742110579","","0","Tamluk","Midnapore"
"Rani Medical Center","+ 91  32297313213","","0","Khukurdaha","Midnapore"
"Ktpp Medical","+ 91  32258585202","4.3","14","Raksa Chak","Midnapore"
"Snehalata Medical Stores","+ 91  9042802396","","0","Khukurdaha","Midnapore"
"Bengal Chemist & Druggist Association","+ 91  32292062335","2.5","2","","Midnapore"
"Bengal Chemist & Druggist Association","+ 91  32268543740","2.5","2","","Midnapore"
