"Name","Phone","Rating","Votes","Locality","City"
"Jeernowaar Dairy Farm","+ 91  18946393959","","0","Chamba Ho","Chamba"
"Gps Bihali 2","+ 91  9466172328","","0","Jungra","Chamba"
"Shining Property Dealer","+ 91  9850661702","","0","Chhatrari","Chamba"
"Sharma Dairy","+ 91  9874262988","1.0","2","Kakroti","Chamba"
"Vinkal Readymade Garment Dealer","+ 91  704350165","","0","Banikhet","Chamba"
"Jarial Dairy Manufacture Product","+ 91  821675731","5.0","7","Samote","Chamba"
"Monika Dairy Farm Devidehra","+ 91  8894467051","5.0","11","","Chamba"
"Raju Electronics 2","+ 91  9625096674","","0","Sach","Chamba"
"Sharma Dairy","+ 91  9866198416","1.0","2","Kakroti","Chamba"
"Jeernowaar Dairy Farm","+ 91  18982364497","","0","Chamba Ho","Chamba"
"Monika Dairy Farm Devidehra","+ 91  8813592290","5.0","11","","Chamba"
"Gulab Property Dealer","+ 91  9469779283","5.0","1","Chamba Ho","Chamba"
"Monika Dairy Farm Devidehra","+ 91  8860427417","5.0","11","","Chamba"
"Jarial Dairy Manufacture Product","+ 91  824421404","5.0","7","Samote","Chamba"
"Sharma Dairy","+ 91  9890396446","1.0","2","Kakroti","Chamba"
"Sharma Dairy","+ 91  9836969743","1.0","2","Kakroti","Chamba"
"Jeernowaar Dairy Farm","+ 91  18956223359","","0","Chamba Ho","Chamba"
"Vicky Tyres Dealer","+ 91  8662829159","","0","Chamba Ho","Chamba"
"Jarial Dairy Manufacture Product","+ 91  821715792","5.0","7","Samote","Chamba"
"Monika Dairy Farm Devidehra","+ 91  8839024243","5.0","11","","Chamba"
"Jarial Dairy Manufacture Product","+ 91  8250901014","5.0","7","Samote","Chamba"
"Jeernowaar Dairy Farm","+ 91  1891629885","","0","Chamba Ho","Chamba"
"Jeernowaar Dairy Farm","+ 91  18975764169","","0","Chamba Ho","Chamba"
"Men & women garments dealer","+ 91  9849675000","","0","Khajjiar","Chamba"
"Sharma Dairy","+ 91  9820828051","1.0","2","Kakroti","Chamba"
"Jarial Dairy Manufacture Product","+ 91  8218711270","5.0","7","Samote","Chamba"
"Monika Dairy Farm Devidehra","+ 91  888140276","5.0","11","","Chamba"
