"Name","Phone","Rating","Votes","Locality","City"
"Sk & Jk Brothers Shop","+ 91  8622718901","5.0","1","Dand","Chamba"
"Monika Dairy Farm Devidehra","+ 91  8862655253","5.0","11","","Chamba"
"Raju Electronics 2","+ 91  9635692933","","0","Sach","Chamba"
"Sharma Dairy","+ 91  9854289176","1.0","2","Kakroti","Chamba"
"Friends Coffee Shop","+ 91  9720771815","4.8","8","","Chamba"
"Tarlok Sweet Shop","+ 91  9462903021","3.8","15","Jansali","Chamba"
"Jarial Dairy Manufacture Product","+ 91  8258579134","5.0","7","Samote","Chamba"
"Kakira Sharma Bakery Shop","+ 91  9849130713","4.0","9","Kakira","Chamba"
"Chauhans Shop","+ 91  8854689853","5.0","9","","Chamba"
"Jarial Dairy Manufacture Product","+ 91  8218244451","5.0","7","Samote","Chamba"
"Jeernowaar Dairy Farm","+ 91  18918263561","","0","Chamba Ho","Chamba"
"Gps Bihali 2","+ 91  9414463360","","0","Jungra","Chamba"
"Monika Dairy Farm Devidehra","+ 91  8841444719","5.0","11","","Chamba"
"Sher Singh Shop","+ 91  8156282047","4.4","7","Bharmour","Chamba"
"Sharma Dairy","+ 91  9810361707","1.0","2","Kakroti","Chamba"
"Jarial Dairy Manufacture Product","+ 91  8269512858","5.0","7","Samote","Chamba"
"Jeernowaar Dairy Farm","+ 91  18971557082","","0","Chamba Ho","Chamba"
"Sharma Dairy","+ 91  9869650155","1.0","2","Kakroti","Chamba"
"Monika Dairy Farm Devidehra","+ 91  8825321106","5.0","11","","Chamba"
"Jeernowaar Dairy Farm","+ 91  18970999147","","0","Chamba Ho","Chamba"
"Rana Cafe Shop","+ 91  783661861","3.3","19","Surangani","Chamba"
"Jeernowaar Dairy Farm","+ 91  18938673076","","0","Chamba Ho","Chamba"
"Kailash Nath Stationery Shop","+ 91  9415430456","3.8","80","","Chamba"
"Monika Dairy Farm Devidehra","+ 91  8873642649","5.0","11","","Chamba"
"Sharma Dairy","+ 91  9889975065","1.0","2","Kakroti","Chamba"
"Jarial Dairy Manufacture Product","+ 91  8228171600","5.0","7","Samote","Chamba"
"Rishu Electronics Shop","+ 91  9449162405","4.0","6","","Chamba"
"Monika Dairy Farm Devidehra","+ 91  8824375632","5.0","11","","Chamba"
