"Name","Phone","Rating","Votes","Locality","City"
"Pharmahopers.com","+ 91  9167285922","4.6","113","Panchkula Sector 11","Chandigarh"
"Kiama Lifesciences","+ 91  9165410749","5.0","6","Panchkula Industrial Area Phase 2","Chandigarh"
"Rabisan India Electro Homeo Pharma","+ 91  9411426309","4.4","16","Sultanpur","Chamba"
"Pcd Pharma Franchise By Boffin Biotech Pvt Ltd","+ 91  80133176","4.6","13","Near Balaji Battery","Sirmaur"
"Cynak Healthcare","+ 91  913110499","4.7","3","Sonipat Sector 14","Sonepat"
"Joshi Beverages Soda Manufacturer","+ 91  8669353461","","0","","Chamba"
"Pcd Pharma Franchise By Sb Lifesciences","+ 91  9125700859","4.1","51","Panchkula Industrial Area Phase 2","Chandigarh"
"Spruhaa Healthcare","+ 91  9158604239","4.3","4","Vashi Sector 17","Mumbai"
"Alish Life Savings Impex Pvt Ltd","+ 91  9163322054","3.4","13","Andheri West","Mumbai"
"Deebee Brothers","+ 91  9179336843","4.7","15","Vasna","Ahmedabad"
"Pharma Pcd Franchise By Prk Biotech","+ 91  9192776112","3.4","11","Mani Majra","Chandigarh"
"Pharma Pcd Franchise By Arrier Biotech","+ 91  17255227364","4.2","102","Mani Majra","Chandigarh"
"Sri Herb Asia Biotech","+ 91  917017068","3.9","14","Balkalan","Amritsar"
"Pharma Franchisee & Manufacturing by Saksham Pharmaceuticals India Ltd","+ 91  912074339","4.3","38","Rajiv Nagar","Delhi"
"Jsr Group","+ 91  9415156682","4.2","69","Amritsar Gpo","Amritsar"
"Joshi Beverages Soda Manufacturer","+ 91  8663365531","","0","","Chamba"
"Servocare Lifesciences Pvt. Ltd.","+ 91  9163364888","4.0","63","Panchkula Industrial Area Phase 1","Chandigarh"
"Healthkind Labs Pvt Ltd","+ 91  9124258498","4.4","7","","Chandigarh"
"Shri Sai Balaji Pharmatech Pvt. Ltd.","+ 91  9173705126","4.2","27","Mdc Sector 5","Chandigarh"
"Bio Search Organics","+ 91  9164794390","4.5","51","Ferozepur Road","Ludhiana"
"Sukh Darshan Pharmacy Pvt. Ltd.","+ 91  9170929299","4.3","14","Rai","Sonepat"
"V Revive Medicure Pvt. Ltd.","+ 91  9138062979","4.4","28","Chandigarh","Chandigarh"
