"Name","Phone","Rating","Votes","Locality","City"
"Dev Lifesciences Pvt Ltd","+ 91  9349801806","4.2","193","Vasai West","Mumbai"
"Kolkata Ravi Specialities Pharma PVT.LTD","+ 91  9192116757","5.0","1","","Kolkata"
"Ravi Worldwide Medicines Pvt.Ltd","+ 91  9171189976","5.0","1","Karol Bagh","Delhi"
"Veecube Healthcare Pvt. Ltd.","+ 91  9162252564","4.4","17","Panchkula Industrial Area Phase 1","Chandigarh"
"Servocare Lifesciences Pvt. Ltd.","+ 91  9147994445","4.0","63","Panchkula Industrial Area Phase 1","Chandigarh"
"Alish Life Savings Impex Pvt Ltd","+ 91  91888353","3.4","13","Andheri West","Mumbai"
"Pcd Pharma Franchise By Sb Lifesciences","+ 91  9120035009","4.1","51","Panchkula Industrial Area Phase 2","Chandigarh"
"Pharma Pcd Franchise By Arrier Biotech","+ 91  17290145962","4.2","102","Mani Majra","Chandigarh"
"Events Pharmaceuticals Pvt Ltd","+ 91  9132440436","3.4","8","Ambala City","Ambala"
"Ravi Specialities Pharma Pvt Ltd","+ 91  043177100423","4.3","73","Ramalinganagar South","Trichy"
"Bio Search Organics","+ 91  9144261032","4.5","51","Ferozepur Road","Ludhiana"
"Alpic Biotech LTD","+ 91  9443412595","3.7","12","Makarba","Ahmedabad"
"Arth Sales Agency","+ 91  9980624958","3.7","46","Vesu","Surat"
"Pharma Franchise By Janus Biotech India Pvt Ltd","+ 91  9167325284","4.4","27","Raipur Kalan","Chandigarh"
"Imphal - Ravi Specialities Pharma Pvt Ltd","+ 91  9158384617","5.0","1","","Imphal"
"Ganraj Medico","+ 91  9156413186","4.6","17","Vazirabad","Nanded"
"Flanca Life Sciences","+ 91  9162122535","4.3","24","Chandigarh","Chandigarh"
"Pharma Franchisee & Manufacturing by Saksham Pharmaceuticals India Ltd","+ 91  9130838839","4.3","38","Rajiv Nagar","Delhi"
"Pharmahopers.com","+ 91  9166945682","4.6","113","Panchkula Sector 11","Chandigarh"
