"Name","Phone","Rating","Votes","Locality","City"
"Thakur Home Stay","+ 91  9865081109","4.2","26","Bonderi","Chamba"
"Baba Homes Stay & Restaurant","+ 91  8672383746","3.8","6","","Chamba"
"nagindera home stay","+ 91  9815422929","3.9","114","Dalhousie Cantt","Chamba"
"Jyoti Home Stay","+ 91  018982326935","3.4","75","Banikhet","Chamba"
"Delivery Courier","+ 91  9890471063","3.1","26","Jansali","Chamba"
"Delivery Pvt Ltd","+ 91  8249275802","4.6","23","Tadong","Chamba"
"nagindera home stay","+ 91  9895713629","3.9","114","Dalhousie Cantt","Chamba"
"Thakur Home Stay","+ 91  9867451674","4.2","26","Bonderi","Chamba"
"Mannat Home Stay","+ 91  9836563584","4.1","106","Bairagarh","Chamba"
"Himalayan Orchard Huts Home Stay","+ 91  18959657570","4.9","147","Baat","Chamba"
"Delizia Home Stay And Restaurant","+ 91  912358064","3.8","16","","Chamba"
"Baba Homes Stay & Restaurant","+ 91  8664387183","3.8","6","","Chamba"
"Negi Home Stay","+ 91  788249299","5.0","8","","Chamba"
"Bharmour Home Stay","+ 91  98984246","3.8","119","Bharmour","Chamba"
"Thakur Home Stay","+ 91  9862576990","4.2","26","Bonderi","Chamba"
"Bharmour Home Stay","+ 91  9814092757","3.8","119","Bharmour","Chamba"
"Casa Feliz Home Stays","+ 91  9850064559","4.2","39","Banikhet","Chamba"
"Casa Feliz Home Stays","+ 91  9845805192","4.2","39","Banikhet","Chamba"
"Delizia Home Stay And Restaurant","+ 91  9162062602","3.8","16","","Chamba"
"Himalayan Orchard Huts Home Stay","+ 91  18923756210","4.9","147","Baat","Chamba"
"Casa Feliz Home Stays","+ 91  9861948989","4.2","39","Banikhet","Chamba"
"Thakur Home Stay","+ 91  9896237790","4.2","26","Bonderi","Chamba"
"Mannat Home Stay","+ 91  9821520697","4.1","106","Bairagarh","Chamba"
"Jyoti Home Stay","+ 91  018936233655","3.4","75","Banikhet","Chamba"
"Negi Home Stay","+ 91  7898620983","5.0","8","","Chamba"
"Mannat Home Stay","+ 91  9828895919","4.1","106","Bairagarh","Chamba"
"Mannat Home Stay","+ 91  9852403381","4.1","106","Bairagarh","Chamba"
"Jyoti Home Stay","+ 91  018989343625","3.4","75","Banikhet","Chamba"
"Delizia Home Stay And Restaurant","+ 91  9128917952","3.8","16","","Chamba"
"Negi Home Stay","+ 91  7890391700","5.0","8","","Chamba"
"Bharmour Home Stay","+ 91  9834226475","3.8","119","Bharmour","Chamba"
"Thakur Home Stay","+ 91  9818606064","4.2","26","Bonderi","Chamba"
"Baba Homes Stay & Restaurant","+ 91  8670680262","3.8","6","","Chamba"
"Himalayan Orchard Huts Home Stay","+ 91  18911821226","4.9","147","Baat","Chamba"
"Baba Homes Stay & Restaurant","+ 91  8696873890","3.8","6","","Chamba"
"Himalayan Orchard Huts Home Stay","+ 91  18943471516","4.9","147","Baat","Chamba"
"nagindera home stay","+ 91  9810858555","3.9","114","Dalhousie Cantt","Chamba"
"Bharmour Home Stay","+ 91  9845464732","3.8","119","Bharmour","Chamba"
"nagindera home stay","+ 91  9861376980","3.9","114","Dalhousie Cantt","Chamba"
"Casa Feliz Home Stays","+ 91  9826382757","4.2","39","Banikhet","Chamba"
"nagindera home stay","+ 91  9817261565","3.9","114","Dalhousie Cantt","Chamba"
"Bharmour Home Stay","+ 91  9864524785","3.8","119","Bharmour","Chamba"
"Jyoti Home Stay","+ 91  018995476119","3.4","75","Banikhet","Chamba"
"Baba Homes Stay & Restaurant","+ 91  8647359633","3.8","6","","Chamba"
"Jyoti Home Stay","+ 91  018991250674","3.4","75","Banikhet","Chamba"
"Delizia Home Stay And Restaurant","+ 91  9171408687","3.8","16","","Chamba"
"Mannat Home Stay","+ 91  9872903765","4.1","106","Bairagarh","Chamba"
"Casa Feliz Home Stays","+ 91  9849667153","4.2","39","Banikhet","Chamba"
"Himalayan Orchard Huts Home Stay","+ 91  18991010337","4.9","147","Baat","Chamba"
"Negi Home Stay","+ 91  7846589821","5.0","8","","Chamba"
