"Name","Phone","Rating","Votes","Locality","City"
"OYO Home 13701 Exotic 3 BHK","+ 91  9137245111","4.3","88","","Dharamshala"
"Dr. Mayurs Energy Medicine","+ 91  9948800980","","0","","Dharamshala"
"Dr. Mayurs Energy Medicine","+ 91  9996979304","","0","","Dharamshala"
"Dr. Kelsang Dhonden Tibetan Herbal Medicine Clinic","+ 91  9810065028","4.2","16","Mcleod Ganj","Dharamshala"
"R S M Medicines","+ 91  7096219581","4.2","11","Dari","Dharamshala"
"Dr. Kelsang Dhonden Tibetan Herbal Medicine Clinic","+ 91  9825610467","4.2","16","Mcleod Ganj","Dharamshala"
"Face 2 Face","+ 91  9236016632","3.6","25","Dharamsala","Dharamshala"
"Varun Hpscsc Medicine Shop","+ 91  9420737387","5.0","4","","Dharamshala"
"Dolls 4 Tibet","+ 91  9810996240","","0","Dharamsala","Dharamshala"
"R S M Medicines","+ 91  7063793795","4.2","11","Dari","Dharamshala"
"Dr. Mayurs Energy Medicine Clinic","+ 91  9927068187","","0","","Dharamshala"
"R S M Medicines","+ 91  7065050401","4.2","11","Dari","Dharamshala"
"Himachal Medicine Traders","+ 91  18936134728","","0","Dharamsala","Dharamshala"
"Dr. Mayurs Energy Medicine Clinic","+ 91  9931952574","","0","","Dharamshala"
"PUNJAB KENWOOD FURNITURE MANUFACTURER","+ 91  9625973635","","0","HOTEL PAVILION","Dharamshala"
"Himachal Medicine Traders","+ 91  18991933751","","0","Dharamsala","Dharamshala"
"5 Tara Dhaba","+ 91  7877351554","","0","Mcleod Ganj","Dharamshala"
"Himachal Medicine Traders","+ 91  18937136905","","0","Dharamsala","Dharamshala"
"R S M Medicines","+ 91  7074434615","4.2","11","Dari","Dharamshala"
"OYO Home 13801 Cozy 3 RK Hill View","+ 91  9198357580","4.1","51","","Dharamshala"
"OYO Home 16700 Exotic 2 BHK","+ 91  9167399953","4.6","101","","Dharamshala"
"Dr. Kelsang Dhonden Tibetan Herbal Medicine Clinic","+ 91  9883864003","4.2","16","Mcleod Ganj","Dharamshala"
"Guleria Villa-3 Bhk Luxury Homestay With Pool","","4.2","3","Dharamsala","Dharamshala"
"Dr. Kelsang Dhonden Tibetan Herbal Medicine Clinic","+ 91  9896871465","4.2","16","Mcleod Ganj","Dharamshala"
"Varun Hpscsc Medicine Shop","+ 91  9472608660","5.0","4","","Dharamshala"
"Varun Hpscsc Medicine Shop","+ 91  9412624327","5.0","4","","Dharamshala"
"Varun Hpscsc Medicine Shop","+ 91  9440199801","5.0","4","","Dharamshala"
"Dr. Mayurs Energy Medicine","+ 91  9947290627","","0","","Dharamshala"
"OYO Home 14492 Exotic 2 BHK","+ 91  9197485486","3.9","16","Near Kandi","Dharamshala"
"Dr. Mayurs Energy Medicine Clinic","+ 91  9923262102","","0","","Dharamshala"
"Varun Hpscsc Medicine Shop","+ 91  9453260200","5.0","4","","Dharamshala"
"Face 2 Face Unisex Beauty Salon","+ 91  7829995382","4.2","10","Hpbose Dharamshala","Dharamshala"
"Mini Ride 2 Wheeler Rental Service System","+ 91  9466292631","5.0","22","Kotwali Bazaar Dharamshala","Dharamshala"
"OYO Home 14853 Spacious 3 BHK","+ 91  9120720716","4.5","14","Near Toll Tax","Dharamshala"
"Dr. Mayurs Energy Medicine Clinic","+ 91  9928789729","","0","","Dharamshala"
"Cafe 3 Brew","+ 91  8657811336","3.8","45","","Dharamshala"
"R S M Medicines","+ 91  7088506857","4.2","11","Dari","Dharamshala"
"Dr. Mayurs Energy Medicine","+ 91  9993400964","","0","","Dharamshala"
"Dr. Kelsang Dhonden Tibetan Herbal Medicine Clinic","+ 91  989280349","4.2","16","Mcleod Ganj","Dharamshala"
"OYO Home 14742 Exotic Katoch Villa 2 BHK","+ 91  9122529097","4.1","81","Near Gorkha Bhawan","Dharamshala"
"OYO Home 15905 Heritage 2 BHK","+ 91  9127338163","4.2","76","Near to Shiv Mandir","Dharamshala"
