"Name","Phone","Rating","Votes","Locality","City"
"Medicine Chemist & Drugists","+ 91  9950672509","","0","Vikhroli East","Mumbai"
"Medicine Centre & Gen Stores","+ 91  8679130350","","0","Mumbra","Mumbai"
"Medicine Point Chemist","+ 91  22 1577949","4.3","15","Bandra West","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 28232055","4.0","29","Andheri West","Mumbai"
"Medicine Chemist & Drugists","+ 91  9983859404","","0","Vikhroli East","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 91030704","3.4","4","Mogra Pada-andheri East","Mumbai"
"Medicine Point Chemist","+ 91  22 70259166","4.3","15","Bandra West","Mumbai"
"Medicine Online Shop","+ 91  847322701","4.8","26","Andheri East","Mumbai"
"Medicine Point Chemist","+ 91  22 16603784","4.3","15","Bandra West","Mumbai"
"Medicine Chemist & Drugists","+ 91  992820529","","0","Vikhroli East","Mumbai"
"The Medicine Shoppe","+ 91  022 99784559","3.8","4","Andheri West","Mumbai"
"Medicine Centre & Gen Stores","+ 91  869471884","","0","Mumbra","Mumbai"
"Medicine Point Chemist","+ 91  22 15651426","4.3","15","Bandra West","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 7459296","4.0","29","Andheri West","Mumbai"
"Medicine Centre & Gen Stores","+ 91  8669294637","","0","Mumbra","Mumbai"
"Medicine Point Chemist","+ 91  9868727270","","0","Bandra West","Mumbai"
"Medicine Centre","+ 91  751843260","","0","Mumbra","Mumbai"
"Medicine Point Chemist","+ 91  9896081396","","0","Bandra West","Mumbai"
"Medicine Centre","+ 91  757436220","","0","Mumbra","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 36134744","4.0","29","Andheri West","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 3753222","3.4","4","Mogra Pada-andheri East","Mumbai"
"Medicine Online Shop","+ 91  8480627739","4.8","26","Andheri East","Mumbai"
"Medicine Centre & Gen Stores","+ 91  8681201999","","0","Mumbra","Mumbai"
"The Medicine Shoppe","+ 91  022 99281509","3.8","4","Andheri West","Mumbai"
"The Medicine Shoppe","+ 91  022 195498","3.8","4","Andheri West","Mumbai"
"Medicine Centre","+ 91  7551369025","","0","Mumbra","Mumbai"
"Medicine Point Chemist","+ 91  22 46351793","4.3","15","Bandra West","Mumbai"
"Medicine Point Chemist","+ 91  22 45773809","4.3","15","Bandra West","Mumbai"
"Medicine Online Shop","+ 91  8435305166","4.8","26","Andheri East","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 80635758","4.0","29","Andheri West","Mumbai"
"Medicine Point Chemist","+ 91  9830448761","","0","Bandra West","Mumbai"
"Medicine Centre & Gen Stores","+ 91  8645068569","","0","Mumbra","Mumbai"
"The Medicine Shoppe","+ 91  022 13415872","3.8","4","Andheri West","Mumbai"
"Medicine Point Chemist","+ 91  9869054839","","0","Bandra West","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 40509532","4.0","29","Andheri West","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 84034329","3.4","4","Mogra Pada-andheri East","Mumbai"
"Medicine Point Chemist","+ 91  9883753921","","0","Bandra West","Mumbai"
"Medicine Centre","+ 91  757682917","","0","Mumbra","Mumbai"
"Medicine Online Shop","+ 91  8417348527","4.8","26","Andheri East","Mumbai"
"Medicine Point Chemist","+ 91  22 73815553","4.3","15","Bandra West","Mumbai"
"Medicine Centre","+ 91  7554234850","","0","Mumbra","Mumbai"
"Medicine Point Chemist","+ 91  22 60730138","4.3","15","Bandra West","Mumbai"
"Medicine Chemist & Drugists","+ 91  9963103337","","0","Vikhroli East","Mumbai"
"Medicine Chemist & Drugists","+ 91  9990749066","","0","Vikhroli East","Mumbai"
"Medicine Point Chemist","+ 91  22 12233938","4.3","15","Bandra West","Mumbai"
"Medicine Point Chemist","+ 91  22 99035644","4.3","15","Bandra West","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 90586184","3.4","4","Mogra Pada-andheri East","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 26489331","3.4","4","Mogra Pada-andheri East","Mumbai"
"The Medicine Shoppe","+ 91  022 48349885","3.8","4","Andheri West","Mumbai"
"Medicine Online Shop","+ 91  8473761491","4.8","26","Andheri East","Mumbai"
