"Name","Phone","Rating","Votes","Locality","City"
"Prime Pharmachem","+ 91  22 10077307","2.5","2","Kalbadevi","Mumbai"
"Ukay Remedy Pvt Ltd","+ 91  2277465531","4.8","3","Vasai East","Mumbai"
"Cynak Healthcare","+ 91  9193287856","4.7","3","Sonipat Sector 14","Sonepat"
"Malsam Trading Company","+ 91  9821037180","5.0","1","Mumbra","Mumbai"
"Bharat Serums And Vaccines Ltd","+ 91  22 439927","5.0","1","Nariman Point","Mumbai"
"Pcd Pharma Franchise By Sb Lifesciences","+ 91  9163534004","4.1","51","Panchkula Industrial Area Phase 2","Chandigarh"
"Lupin Laboratories Ltd","","4.1","6","Nariman Point","Mumbai"
"Aster Pharma","+ 91  7545098089","3.4","8","Thane East","Mumbai"
"Vikas Pharmaceutical Laboratories","+ 91  22 66269166","4.8","6","Goregaon East","Mumbai"
"R V Health Care","+ 91  8275385950","4.2","8","Andheri East","Mumbai"
"Medicine Centre","+ 91  7590380161","","0","Mumbra","Mumbai"
"Emcure Pharmaceuticals Ltd","+ 91  22 34414169","4.0","13","Nariman Point","Mumbai"
"Anaye Lifecare LLP","+ 91  9197073684","5.0","4","Kandivali West","Mumbai"
"Avon Pharma Machines Pvt Ltd","+ 91  025089780154","5.0","2","Vasai East","Mumbai"
"Monopoly Pcd Pharma Franchise By Disecure Pharma","+ 91  918188934","4.8","33","Jabalpur Ho","Jabalpur"
"H B Pharma","+ 91  9129978632","3.5","2","Bhadgaon Jalgaon","Jalgaon"
"Garrison Pharma (india)ltd","+ 91  9956350536","4.8","2","Vasai West","Mumbai"
"Ritesh Chemical Industry","+ 91  22 70243615","3.9","7","Andheri West","Mumbai"
"Pfizer Ltd","","3.4","6","Nariman Point","Mumbai"
"Synchem Chemicals India Ltd","","2.0","1","Nariman Point","Mumbai"
"Pharma Franchise By Janus Biotech India Pvt Ltd","+ 91  9146066312","4.4","27","Raipur Kalan","Chandigarh"
"Avalon Pharma Pvt. Ltd","+ 91  22 13286293","3.0","1","Princess Street","Mumbai"
"Pradipkumar Pharma Pvt. Ltd","+ 91  22 8694432","5.0","1","Lohar Chawl","Mumbai"
"Om Pharmaceutical Industries","+ 91  25080442877","3.2","3","Vasai West","Mumbai"
"Arco Pharma Pvt Ltd","+ 91  2276675433","4.0","1","Vasai East","Mumbai"
"Inventia Healthcare Ltd","+ 91  22 44131251","4.0","33","Andheri East","Mumbai"
"Torrent Pharmaceuticals Ltd","+ 91  022 25754353","3.5","25","Andheri East","Mumbai"
"Deebee Brothers","+ 91  9152338181","4.7","15","Vasna","Ahmedabad"
"Time Pharma","+ 91  2211952453","3.0","2","Vasai East","Mumbai"
"NEM Laboratories PVT. LTD","+ 91  025043590492","2.0","1","Vasai East","Mumbai"
"Amol Pharmaceuticals Pvt Ltd","+ 91  022 38508625","5.0","3","Andheri East","Mumbai"
"Geno Pharmaceuticals Ltd.","+ 91  22 98061178","3.0","1","Mumbai Central","Mumbai"
"Alish Life Savings Impex Pvt Ltd","+ 91  9136116380","3.4","13","Andheri West","Mumbai"
"Noel Pharmaceuticals (Factory)","","2.3","3","Prabhadevi","Mumbai"
"Meridian Enterprises Pvt Ltd (H O)","+ 91  22 44520412","4.5","11","Nariman Point","Mumbai"
"Uni Med India","+ 91  22 75963209","4.5","8","Andheri East","Mumbai"
"Wanbury Ltd (Corporate Office)","+ 91  22 63760045","3.9","86","Vashi","Mumbai"
"Calyx Chemicals & Pharmaceuticals Ltd","+ 91  025191116490","3.6","31","Dombivli Industrial Area-dombivli East","Mumbai"
"Pharma Pcd Franchise By Arrier Biotech","+ 91  1725515241","4.2","102","Mani Majra","Chandigarh"
"Art Exim Pvt Ltd","+ 91  22 27252189","4.0","14","Vashi Sector 30a","Mumbai"
"Healthkind Labs Pvt Ltd","+ 91  9115235943","4.4","7","","Chandigarh"
"Alpic Biotech LTD","+ 91  949345124","3.7","12","Makarba","Ahmedabad"
"Flagship Biotech International Pvt Ltd","+ 91  22 66098967","3.5","2","Mahape","Mumbai"
"Hoechst Marion Roussel Ltd","+ 91  22 68557339","3.0","2","Worli","Mumbai"
"Raptakos Bret & Co Ltd","+ 91  22 14434908","4.0","1","Worli","Mumbai"
"Inventia Healthcare Pvt Ltd","+ 91  25143091342","3.6","46","Ambernath MIDC","Mumbai"
"Synthiko Formulations & Pharma Pvt Ltd","+ 91  022 36640184","3.3","10","Andheri East","Mumbai"
"Abbott Healthcare Pvt Ltd","+ 91  9866505445","4.0","1","Mulund West","Mumbai"
"Medico Remedies Pvt Ltd","+ 91  8334019347","","0","Andheri West","Mumbai"
