"Name","Phone","Rating","Votes","Locality","City"
"Medicine Online Shop","+ 91  8419923763","4.8","26","Andheri East","Mumbai"
"The Medicine Shoppe","+ 91  022 65616845","3.8","4","Andheri West","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 97216902","3.4","4","Mogra Pada-andheri East","Mumbai"
"Medicine Centre","+ 91  7552351833","","0","Mumbra","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 30228228","3.4","4","Mogra Pada-andheri East","Mumbai"
"Medicine Point Chemist","+ 91  9832538915","","0","Bandra West","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 80993528","4.0","29","Andheri West","Mumbai"
"Medicine Centre & Gen Stores","+ 91  8642119690","","0","Mumbra","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 70599017","3.4","4","Mogra Pada-andheri East","Mumbai"
"Medicine Centre","+ 91  7539816698","","0","Mumbra","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 80864874","4.0","29","Andheri West","Mumbai"
"The Medicine Shoppe","+ 91  022 62830091","3.8","4","Andheri West","Mumbai"
"Medicine Chemist & Drugists","+ 91  9946529587","","0","Vikhroli East","Mumbai"
"Medicine Point Chemist","+ 91  22 34962976","4.3","15","Bandra West","Mumbai"
"Medicine Chemist & Drugists","+ 91  9948085959","","0","Vikhroli East","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 75795674","4.0","29","Andheri West","Mumbai"
"Medicine Centre & Gen Stores","+ 91  8614744603","","0","Mumbra","Mumbai"
"Medicine Point Chemist","+ 91  22 3094960","4.3","15","Bandra West","Mumbai"
"Medicine Point Chemist","+ 91  9811227541","","0","Bandra West","Mumbai"
"Medicine Online Shop","+ 91  8445435575","4.8","26","Andheri East","Mumbai"
"Medicine Centre","+ 91  7529040451","","0","Mumbra","Mumbai"
"Medicine Chemist & Drugists","+ 91  9985778550","","0","Vikhroli East","Mumbai"
"The Medicine Shoppe","+ 91  022 97413162","3.8","4","Andheri West","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 84577850","3.4","4","Mogra Pada-andheri East","Mumbai"
"Medicine Point Chemist","+ 91  22 54127930","4.3","15","Bandra West","Mumbai"
"Medicine Chemist & Drugists","+ 91  9959317639","","0","Vikhroli East","Mumbai"
"Emedicine Galaxy Pvt Ltd (close down)","+ 91  22 1676269","3.4","4","Mogra Pada-andheri East","Mumbai"
"Medicine Point Chemist","+ 91  22 4057029","4.3","15","Bandra West","Mumbai"
"Medicine Online Shop","+ 91  8481707526","4.8","26","Andheri East","Mumbai"
"Medicine Centre & Gen Stores","+ 91  863387441","","0","Mumbra","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 2743564","4.0","29","Andheri West","Mumbai"
"Medicine Point Chemist","+ 91  9849746290","","0","Bandra West","Mumbai"
"The Medicine Shoppe","+ 91  022 33034621","3.8","4","Andheri West","Mumbai"
"Medicine Point Chemist","+ 91  22 95802554","4.3","15","Bandra West","Mumbai"
"Medicine Box Chemist Pvt Ltd","+ 91  22 19055947","4.0","29","Andheri West","Mumbai"
"Medicine Point Chemist","+ 91  22 24270702","4.3","15","Bandra West","Mumbai"
"Medicine Centre","+ 91  7555979639","","0","Mumbra","Mumbai"
"Medicine Chemist & Drugists","+ 91  9943339995","","0","Vikhroli East","Mumbai"
"Medicine Point Chemist","+ 91  981422762","","0","Bandra West","Mumbai"
"Medicine Point Chemist","+ 91  22 17327936","4.3","15","Bandra West","Mumbai"
"Medicine Point Chemist","+ 91  22 51331852","4.3","15","Bandra West","Mumbai"
"The Medicine Shoppe","+ 91  022 77691567","3.8","4","Andheri West","Mumbai"
"Medicine Point Chemist","+ 91  9888134702","","0","Bandra West","Mumbai"
"Medicine Centre & Gen Stores","+ 91  867506372","","0","Mumbra","Mumbai"
"Medicine Centre","+ 91  752839548","","0","Mumbra","Mumbai"
"Medicine Point Chemist","+ 91  22 37578749","4.3","15","Bandra West","Mumbai"
"Medicine Point Chemist","+ 91  22 82137397","4.3","15","Bandra West","Mumbai"
"Medicine Online Shop","+ 91  8439612471","4.8","26","Andheri East","Mumbai"
"Medicine Online Shop","+ 91  8461291568","4.8","26","Andheri East","Mumbai"
"Medicine Centre & Gen Stores","+ 91  8624990521","","0","Mumbra","Mumbai"
