"Name","Phone","Rating","Votes","Locality","City"
"Sai Shardha Wholesale And Retail Shop","+ 91  7932020690","","0","Chembur West","Mumbai"
"Dheeraj Plumbing Wholesale And Retail Shop","+ 91  9883697373","5.0","3","Near Cng Gas,Opposite Of","Mumbai"
"Dheeraj Plumbing Wholesale And Retail Shop","+ 91  9888668062","5.0","3","Near Cng Gas,Opposite Of","Mumbai"
"Apala Bazar Wholesale & Retail Shop","+ 91  9598193637","","0","Mankhurd","Mumbai"
"Gobind Drugs Retail Chemist Shop","+ 91  9642364441","","0","","Mumbai"
"Gobind Drugs Retail Chemist Shop","+ 91  9675225524","","0","","Mumbai"
"Sai Shardha Wholesale And Retail Shop","+ 91  7934331800","","0","Chembur West","Mumbai"
"Max Fashion Retail Shop (Metro Junction Mall)","+ 91  9876065025","4.0","1310","Kalyan East","Mumbai"
"Shreeji Mobile Shop Assoceris Wholesale And Retail","+ 91  9652894505","","0","Bhayandar East","Mumbai"
"Om Sai Wholesale & Retail Shop","+ 91  7994854893","","0","","Mumbai"
"Om Sai Wholesale & Retail Shop","+ 91  7944702937","","0","","Mumbai"
"Apala Bazar Wholesale & Retail Shop","+ 91  9520712939","","0","Mankhurd","Mumbai"
"Shreeji Mobile Shop Assoceris Wholesale And Retail","+ 91  9646211635","","0","Bhayandar East","Mumbai"
"Balaji Wholesale Shop & Retail Shop","+ 91  8885516017","3.5","4","Ulhasnagar No 5","Mumbai"
"Balaji Wholesale Shop & Retail Shop","+ 91  8852873696","3.5","4","Ulhasnagar No 5","Mumbai"
"Om Sai Wholesale & Retail Shop","+ 91  7941277625","","0","","Mumbai"
"Apala Bazar Wholesale & Retail Shop","+ 91  9597709759","","0","Mankhurd","Mumbai"
"Pooja Nx wholesale and retail shop","+ 91  9844126554","5.0","1","Grant Road","Mumbai"
"Pooja Nx wholesale and retail shop","+ 91  9889041179","5.0","1","Grant Road","Mumbai"
"Om Farsan Wholesale And Retail Shop","+ 91  7255839090","","0","Mulund East","Mumbai"
"Balaji Wholesale Shop & Retail Shop","+ 91  8836708128","3.5","4","Ulhasnagar No 5","Mumbai"
"Dheeraj Plumbing Wholesale And Retail Shop","+ 91  9824068843","5.0","3","Near Cng Gas,Opposite Of","Mumbai"
"Om Farsan Wholesale And Retail Shop","+ 91  7239871965","","0","Mulund East","Mumbai"
"Max Fashion Retail Shop (Metro Junction Mall)","+ 91  9881342597","4.0","1310","Kalyan East","Mumbai"
"Pooja Nx wholesale and retail shop","+ 91  9824543195","5.0","1","Grant Road","Mumbai"
"Dheeraj Plumbing Wholesale And Retail Shop","+ 91  9825759247","5.0","3","Near Cng Gas,Opposite Of","Mumbai"
"Shreeji Mobile Shop Assoceris Wholesale And Retail","+ 91  9639447290","","0","Bhayandar East","Mumbai"
"Pooja Nx wholesale and retail shop","+ 91  9826362849","5.0","1","Grant Road","Mumbai"
"Om Sai Wholesale & Retail Shop","+ 91  7970638609","","0","","Mumbai"
"Balaji Wholesale Shop & Retail Shop","+ 91  8866375641","3.5","4","Ulhasnagar No 5","Mumbai"
"Om Farsan Wholesale And Retail Shop","+ 91  7211944762","","0","Mulund East","Mumbai"
"Apala Bazar Wholesale & Retail Shop","+ 91  9554922109","","0","Mankhurd","Mumbai"
"Om Farsan Wholesale And Retail Shop","+ 91  7238933426","","0","Mulund East","Mumbai"
"Pooja Nx wholesale and retail shop","+ 91  9899282212","5.0","1","Grant Road","Mumbai"
"Gobind Drugs Retail Chemist Shop","+ 91  9670162481","","0","","Mumbai"
"Max Fashion Retail Shop (Metro Junction Mall)","+ 91  9836698927","4.0","1310","Kalyan East","Mumbai"
"Dheeraj Plumbing Wholesale And Retail Shop","+ 91  9888954396","5.0","3","Near Cng Gas,Opposite Of","Mumbai"
"Apala Bazar Wholesale & Retail Shop","+ 91  9587807434","","0","Mankhurd","Mumbai"
"Om Sai Wholesale & Retail Shop","+ 91  797091132","","0","","Mumbai"
"Balaji Wholesale Shop & Retail Shop","+ 91  8816321449","3.5","4","Ulhasnagar No 5","Mumbai"
"Sai Shardha Wholesale And Retail Shop","+ 91  7945116880","","0","Chembur West","Mumbai"
"Gobind Drugs Retail Chemist Shop","+ 91  9619552609","","0","","Mumbai"
"Shreeji Mobile Shop Assoceris Wholesale And Retail","+ 91  9674361071","","0","Bhayandar East","Mumbai"
"Gobind Drugs Retail Chemist Shop","+ 91  9619763940","","0","","Mumbai"
"Om Farsan Wholesale And Retail Shop","+ 91  7279726389","","0","Mulund East","Mumbai"
"Sai Shardha Wholesale And Retail Shop","+ 91  7977484056","","0","Chembur West","Mumbai"
"Shreeji Mobile Shop Assoceris Wholesale And Retail","+ 91  9648382909","","0","Bhayandar East","Mumbai"
"Max Fashion Retail Shop (Metro Junction Mall)","+ 91  9863598464","4.0","1310","Kalyan East","Mumbai"
"Sai Shardha Wholesale And Retail Shop","+ 91  7967392731","","0","Chembur West","Mumbai"
"Max Fashion Retail Shop (Metro Junction Mall)","+ 91  983274879","4.0","1310","Kalyan East","Mumbai"
