"Name","Phone","Rating","Votes","Locality","City"
"Neeta Pushkar Mela Resort","+ 91  9859188263","3.2","1411","Bhiwandi","Mumbai"
"Dr. Pushkar Likhite (Likhite Hospital)","+ 91  22 92388056","4.6","19","Panvel City","Mumbai"
"Pushkar Furnitures","+ 91  25170769017","4.0","1","Ulhasnagar No 2","Mumbai"
"Pushkar Shipping Services Pvt Ltd","+ 91  22 9978220","3.6","5","Andheri East","Mumbai"
"Dr. Pushkar Pradhan","+ 91  2226229984","4.3","11","Dombivli East","Mumbai"
"Pushkar Furnitures","+ 91  25126312423","4.0","1","Ulhasnagar No 2","Mumbai"
"Dr. Pushkar Waghs Clinic","+ 91  251593714","4.8","11","Dombivli East","Mumbai"
"Dr. Pushkar Shikarkhane (Shushrusha Citizens Co Operative Hospital Ltd)","+ 91  022 4511512","4.5","2","Dadar West","Mumbai"
"Pushkar Shipping Services Pvt Ltd","+ 91  22 3663391","3.6","5","Andheri East","Mumbai"
"Dr. Pushkar Waghs Clinic","+ 91  25182174839","4.8","11","Dombivli East","Mumbai"
"Pushkar Bridal","+ 91  22 47350636","4.7","438","Borivali West","Mumbai"
"Neeta Pushkar Mela Resort","+ 91  9824101331","3.2","1411","Bhiwandi","Mumbai"
"Dr. Pushkar Waghs Clinic","+ 91  25189639306","4.8","11","Dombivli East","Mumbai"
"Dr. Pushkar Shikarkhane (Shushrusha Citizens Co Operative Hospital Ltd)","+ 91  022 52280125","4.5","2","Dadar West","Mumbai"
"Dr. Pushkar D Manke","+ 91  22 14161124","5.0","2","Andheri East","Mumbai"
"Dr. Pushkar Likhite (Likhite Hospital)","+ 91  22 28806374","4.6","19","Panvel City","Mumbai"
"Pushkar Shipping Services Pvt Ltd","+ 91  22 90270135","3.6","5","Andheri East","Mumbai"
"Pushkar Shipping Services Pvt Ltd","+ 91  22 27594767","3.6","5","Andheri East","Mumbai"
"Dr. Pushkar Shikarkhane (Shushrusha Citizens Co Operative Hospital Ltd)","+ 91  022 98695814","4.5","2","Dadar West","Mumbai"
"Dr. Pushkar D Manke","+ 91  22 96268015","5.0","2","Andheri East","Mumbai"
"Pushkar Furnitures","+ 91  25190889871","4.0","1","Ulhasnagar No 2","Mumbai"
"Dr. Pushkar Shikarkhane (Shushrusha Citizens Co Operative Hospital Ltd)","+ 91  022 29243311","4.5","2","Dadar West","Mumbai"
"Dr. Pushkar D Manke","+ 91  22 60890431","5.0","2","Andheri East","Mumbai"
"Pushkar Bridal","+ 91  22 7537610","4.7","438","Borivali West","Mumbai"
"Dr. Pushkar Pradhan","+ 91  2252335056","4.3","11","Dombivli East","Mumbai"
"Pushkar Bridal","+ 91  22 18301509","4.7","438","Borivali West","Mumbai"
"Pushkar Furnitures","+ 91  25110654215","4.0","1","Ulhasnagar No 2","Mumbai"
"Dr. Pushkar Pradhan","+ 91  2227961318","4.3","11","Dombivli East","Mumbai"
"Dr. Pushkar D Manke","+ 91  22 39587125","5.0","2","Andheri East","Mumbai"
"Pushkar Furnitures","+ 91  25120998822","4.0","1","Ulhasnagar No 2","Mumbai"
"Pushkar Shipping Services Pvt Ltd","+ 91  22 61481406","3.6","5","Andheri East","Mumbai"
"Pushkar Swimming Pool & Party Area","+ 91  7418117195","4.2","62","Badlapur","Mumbai"
"Neeta Pushkar Mela Resort","+ 91  9835930478","3.2","1411","Bhiwandi","Mumbai"
"Pushkar Bridal","+ 91  22 89964164","4.7","438","Borivali West","Mumbai"
"Pushkar Swimming Pool & Party Area","+ 91  7427097158","4.2","62","Badlapur","Mumbai"
"Dr. Pushkar Likhite (Likhite Hospital)","+ 91  22 57731700","4.6","19","Panvel City","Mumbai"
"Pushkar Swimming Pool & Party Area","+ 91  749180353","4.2","62","Badlapur","Mumbai"
"Dr. Pushkar Shikarkhane (Shushrusha Citizens Co Operative Hospital Ltd)","+ 91  022 1569308","4.5","2","Dadar West","Mumbai"
"Pushkar Swimming Pool & Party Area","+ 91  7497721475","4.2","62","Badlapur","Mumbai"
"Dr. Pushkar Waghs Clinic","+ 91  2511480935","4.8","11","Dombivli East","Mumbai"
"Dr. Pushkar D Manke","+ 91  22 39715620","5.0","2","Andheri East","Mumbai"
"Dr. Pushkar Pradhan","+ 91  2290444716","4.3","11","Dombivli East","Mumbai"
"Dr. Pushkar Pradhan","+ 91  2260436085","4.3","11","Dombivli East","Mumbai"
"Neeta Pushkar Mela Resort","+ 91  9815154207","3.2","1411","Bhiwandi","Mumbai"
"Dr. Pushkar Likhite (Likhite Hospital)","+ 91  22 30716915","4.6","19","Panvel City","Mumbai"
"Dr. Pushkar Likhite (Likhite Hospital)","+ 91  22 53973675","4.6","19","Panvel City","Mumbai"
"Pushkar Bridal","+ 91  22 8861309","4.7","438","Borivali West","Mumbai"
"Dr. Pushkar Waghs Clinic","+ 91  25172682274","4.8","11","Dombivli East","Mumbai"
"Neeta Pushkar Mela Resort","+ 91  9840068617","3.2","1411","Bhiwandi","Mumbai"
"Pushkar Swimming Pool & Party Area","+ 91  7425330484","4.2","62","Badlapur","Mumbai"
