"Name","Phone","Rating","Votes","Locality","City"
"Moudgil Dairy Farm","+ 91  9726136290","3.8","16","Purhiran","Hoshiarpur"
"Shri Guru Amardas Dairy Farm","+ 91  9418276997","5.0","16","Mukerian","Hoshiarpur"
"K C Dairy Farm","+ 91  9560221829","5.0","4","","Hoshiarpur"
"Mandeep Dairy Farm","+ 91  9412464998","5.0","2","","Hoshiarpur"
"A2z Dairy And Agro Farm","+ 91  8330772004","","0","","Hoshiarpur"
"Jhutty Stud And Dairy Farm","+ 91  9491439001","5.0","6","Bajrawar","Hoshiarpur"
"Thandi Dairy Farm","+ 91  9994766423","5.0","1","Garhshanker","Hoshiarpur"
"Dairy farm taran (Closed down)","","","0","Hoshiarpur Ho","Hoshiarpur"
"KC Dairy Farm","+ 91  9513693684","5.0","1","Dasuya","Hoshiarpur"
"P N Dairy Farm","+ 91  887640073","5.0","12","Gera","Hoshiarpur"
