"Name","Phone","Rating","Votes","Locality","City"
"Natureway canteen","+ 91  9473419","2.3","8","Ghogra","Hoshiarpur"
"Malhotra Grocery Store","+ 91  9198078245","5.0","2","Jalalpur","Hoshiarpur"
"Gidda General Store","+ 91  8424002271","5.0","9","","Hoshiarpur"
"Punjab Mill Store","+ 91  18889231053","","0","Hoshiarpur Ho","Hoshiarpur"
"Gill Dairy","+ 91  8929497808","5.0","9","","Hoshiarpur"
"Hari Cold Store","+ 91  188289344629","3.0","1","Hoshiarpur Ho","Hoshiarpur"
"Rai Sahib Farm House","+ 91  9451069634","3.6","11","","Hoshiarpur"
"Sharma Super Store","+ 91  9893479988","5.0","2","Harse Mansar","Hoshiarpur"
"MyCows Dairy Sweets and Pastry Shop","+ 91  9877361575","3.8","51","","Hoshiarpur"
"Sham Gernal Store","+ 91  9843333714","","0","Bassi Daulat Khan","Hoshiarpur"
"Rajputana Provision Store","+ 91  7074291477","","0","Model Town Hoshiarpur","Hoshiarpur"
"Sharma Dairy","+ 91  9971869472","","0","Hoshiarpur HO","Hoshiarpur"
"Surinder Mohan Naresh Kumar","+ 91  18816579253","","0","Hoshiarpur Ho","Hoshiarpur"
"nela singh omkar singh dairy farm","+ 91  8654919980","","0","HOshiarpur HO","Hoshiarpur"
"Mangi Motor","+ 91  9424166697","","0","Khanpur","Hoshiarpur"
"Namdhari Dairy","+ 91  8592092268","3.6","28","Khichian","Hoshiarpur"
"Salgotra Grocery Store","+ 91  9752091763","4.3","2","Dasuya","Hoshiarpur"
"Osho Provision Store","+ 91  18829968481","3.8","51","Hoshiarpur Ho","Hoshiarpur"
"Namdhari Super Store","+ 91  9850371169","4.3","22","Mukerian","Hoshiarpur"
"Dev Kriana Store","+ 91  9821471888","4.1","18","","Hoshiarpur"
"Moolnivasi General Store","+ 91  9475862462","3.2","17","Padrana","Hoshiarpur"
"Easy Day Express","+ 91  9953182589","3.9","309","Hoshiarpur Ho","Hoshiarpur"
"Karam Chand Mohan LAL And Sons","+ 91  18834126212","","0","Hoshiarpur Ho","Hoshiarpur"
"Yamini Provision Store","+ 91  18850529167","","0","Hoshiarpur Ho","Hoshiarpur"
"R.K Savdeshi Kandra","+ 91  7886791773","4.8","7","Sham Chaurasi","Hoshiarpur"
"Tarsem Lal & Sons Kirana Store","+ 91  9818580017","","0","","Hoshiarpur"
"Punjsons Enterprises Hoshiarpur","+ 91  7398742749","3.0","6","Hoshiarpur HO","Hoshiarpur"
"Vijaya Vallabh Provision Stores","+ 91  18837655590","","0","Hoshiarpur Ho","Hoshiarpur"
"Bakshi Shop","+ 91  9432641895","4.3","16","","Hoshiarpur"
"Umesh Arora Goldy Dairy","+ 91  8787059587","4.7","6","Old Talwara","Hoshiarpur"
"Shinde Di Dairy..","+ 91  9859144302","4.3","42","","Hoshiarpur"
"Kuldeep And Rohan Kariaana Store","+ 91  9499958390","3.7","25","Datarpur","Hoshiarpur"
"Patanjali Distributor store","+ 91  9897178632","4.4","14","Dasuya","Hoshiarpur"
