"Name","Phone","Rating","Votes","Locality","City"
"Pharma Franchise By Janus Biotech India Pvt Ltd","+ 91  9170435033","4.4","27","Raipur Kalan","Chandigarh"
"Deebee Brothers","+ 91  9114093568","4.7","15","Vasna","Ahmedabad"
"Dr. Asha Sharma","+ 91  18857800785","","0","Bharwain Road","Hoshiarpur"
"Rd Manufacturers","+ 91  9991290047","5.0","10","Kotfathui","Hoshiarpur"
"Healthkind Labs Pvt Ltd","+ 91  9140895219","4.4","7","","Chandigarh"
"Vaid Darshan Lal Ayurvedic Medicine Shop","+ 91  9486762237","5.0","2","","Hoshiarpur"
"Medicine Supplier","+ 91  7046788966","","0","Dasuya","Hoshiarpur"
"Sood Medicines Traders","+ 91  18881655852","","0","Hoshiarpur Ho","Hoshiarpur"
"Kiama Lifesciences","+ 91  9137796009","5.0","6","Panchkula Industrial Area Phase 2","Chandigarh"
"Events Pharmaceuticals Pvt Ltd","+ 91  9166635895","3.4","8","Ambala City","Ambala"
"Aastha Medicine Traders","+ 91  9997119947","5.0","2","","Hoshiarpur"
"Aastha Medicine Traders","+ 91  9996417209","5.0","2","","Hoshiarpur"
"Pcd Pharma Franchise By Boffin Biotech Pvt Ltd","+ 91  8079140335","4.6","13","Near Balaji Battery","Sirmaur"
"New Discount Medicines","+ 91  9929339532","4.5","2","Opp:-Sanik Rest House","Hoshiarpur"
"Sood Medicine Traders","+ 91  18836106109","4.8","3","Hoshiarpur Ho","Hoshiarpur"
"Pharma Pcd Franchise By Prk Biotech","+ 91  9122775088","3.4","11","Mani Majra","Chandigarh"
"Spruhaa Healthcare","+ 91  9165732325","4.3","4","Vashi Sector 17","Mumbai"
"S Bhupinder Singh Homeopathic Medicines","+ 91  9482727444","5.0","5","Baich","Hoshiarpur"
"S Bhupinder Singh Homeopathic Medicines","+ 91  944591408","5.0","5","Baich","Hoshiarpur"
"V Revive Medicure Pvt. Ltd.","+ 91  9188791565","4.4","28","Chandigarh","Chandigarh"
"PEARL Medicine Centre","+ 91  18875492035","4.6","13","Dasuya","Hoshiarpur"
"Servocare Lifesciences Pvt. Ltd.","+ 91  915494151","4.0","63","Panchkula Industrial Area Phase 1","Chandigarh"
"Cynak Healthcare","+ 91  9134484970","4.7","3","Sonipat Sector 14","Sonepat"
"Axon Healthcare Ltd.","+ 91  18889560402","","0","Hoshiarpur Ho","Hoshiarpur"
"Dev Lifesciences Pvt Ltd","+ 91  9354233061","4.2","193","Vasai West","Mumbai"
"Pharma Franchisee & Manufacturing by Saksham Pharmaceuticals India Ltd","+ 91  9158993198","4.3","38","Rajiv Nagar","Delhi"
"Sood Medicines Traders","+ 91  18833192927","","0","Hoshiarpur Ho","Hoshiarpur"
"Aggarwal Medicine Center","+ 91  982164473","4.4","10","","Hoshiarpur"
"Rd Manufacturers","+ 91  9919725461","5.0","10","Kotfathui","Hoshiarpur"
"Jsr Group","+ 91  9436751183","4.2","69","Amritsar Gpo","Amritsar"
"Vaid Darshan Lal Ayurvedic Medicine Shop","+ 91  9448799689","5.0","2","","Hoshiarpur"
"Rd Manufacturers","+ 91  9925617805","5.0","10","Kotfathui","Hoshiarpur"
"Bio Search Organics","+ 91  9137111394","4.5","51","Ferozepur Road","Ludhiana"
"Vaid Darshan Lal Ayurvedic Medicine Shop","+ 91  9498568216","5.0","2","","Hoshiarpur"
"Sood Medicines Traders","+ 91  18833353711","","0","Hoshiarpur Ho","Hoshiarpur"
"Sukh Darshan Pharmacy Pvt. Ltd.","+ 91  9177186845","4.3","14","Rai","Sonepat"
"Dr. Paramjit Singh","+ 91  18886438523","","0","Hoshiarpur Ho","Hoshiarpur"
"Sood Medicine Traders","+ 91  18846270600","4.8","3","Hoshiarpur Ho","Hoshiarpur"
"Aggarwal Medicine Center","+ 91  9885271201","4.4","10","","Hoshiarpur"
"S Bhupinder Singh Homeopathic Medicines","+ 91  9492159462","5.0","5","Baich","Hoshiarpur"
"Flanca Life Sciences","+ 91  9116385227","4.3","24","Chandigarh","Chandigarh"
"Alish Life Savings Impex Pvt Ltd","+ 91  9140651098","3.4","13","Andheri West","Mumbai"
"Medicine Supplier","+ 91  7017555236","","0","Dasuya","Hoshiarpur"
"Veecube Healthcare Pvt. Ltd.","+ 91  9199347047","4.4","17","Panchkula Industrial Area Phase 1","Chandigarh"
"Shri Sai Balaji Pharmatech Pvt. Ltd.","+ 91  9172857136","4.2","27","Mdc Sector 5","Chandigarh"
"Sood Medicine Traders","+ 91  18833084925","4.8","3","Hoshiarpur Ho","Hoshiarpur"
"New Discount Medicines","+ 91  9943293310","4.5","2","Opp:-Sanik Rest House","Hoshiarpur"
"Pharma Pcd Franchise By Arrier Biotech","+ 91  17233656628","4.2","102","Mani Majra","Chandigarh"
"Aggarwal Medicine Center","+ 91  9848931789","4.4","10","","Hoshiarpur"
"Pharmahopers.com","+ 91  9176570310","4.6","113","Panchkula Sector 11","Chandigarh"
"New Discount Medicines","+ 91  9956128764","4.5","2","Opp:-Sanik Rest House","Hoshiarpur"
"Pcd Pharma Franchise By Sb Lifesciences","+ 91  9127596734","4.1","51","Panchkula Industrial Area Phase 2","Chandigarh"
"Dr. Ajit Kumar Gupta","+ 91  18819593096","","0","Hoshiarpur Ho","Hoshiarpur"
"Dr. Amarjit Chadda","+ 91  18825013772","","0","Hoshiarpur Ho","Hoshiarpur"
"Medicine Supplier","+ 91  7069400558","","0","Dasuya","Hoshiarpur"
"PEARL Medicine Centre","+ 91  18867551468","4.6","13","Dasuya","Hoshiarpur"
"Dr. Kamal","+ 91  18889655708","","0","Hoshiarpur Ho","Hoshiarpur"
"Aastha Medicine Traders","+ 91  9928205636","5.0","2","","Hoshiarpur"
"Sri Herb Asia Biotech","+ 91  9130543611","3.9","14","Balkalan","Amritsar"
"PEARL Medicine Centre","+ 91  1888017154","4.6","13","Dasuya","Hoshiarpur"
