"Name","Phone","Rating","Votes","Locality","City"
"Ritesh Chemical Industry","+ 91  22 64682054","3.9","7","Andheri West","Mumbai"
"Medicine Supplier","+ 91  7041745586","","0","Dasuya","Hoshiarpur"
"Aastha Medicine Traders","+ 91  9971607097","5.0","2","","Hoshiarpur"
"Healthkind Labs Pvt Ltd","+ 91  9161244714","4.4","7","","Chandigarh"
"Aggarwal Medicine Center","+ 91  9814391703","4.4","10","","Hoshiarpur"
"PEARL Medicine Centre","+ 91  18840584624","4.6","13","Dasuya","Hoshiarpur"
"Alpic Biotech LTD","+ 91  9489155545","3.7","12","Makarba","Ahmedabad"
"Pcd Pharma Franchise By Boffin Biotech Pvt Ltd","+ 91  8031492077","4.6","13","Near Balaji Battery","Sirmaur"
"PEARL Medicine Centre","+ 91  1883105353","4.6","13","Dasuya","Hoshiarpur"
"Aggarwal Medicine Center","+ 91  9823043500","4.4","10","","Hoshiarpur"
"Spruhaa Healthcare","+ 91  9158100529","4.3","4","Vashi Sector 17","Mumbai"
"Deebee Brothers","+ 91  9124803185","4.7","15","Vasna","Ahmedabad"
"Vaid Darshan Lal Ayurvedic Medicine Shop","+ 91  9481996138","5.0","2","","Hoshiarpur"
"S Bhupinder Singh Homeopathic Medicines","+ 91  9454420018","5.0","5","Baich","Hoshiarpur"
"New Discount Medicines","+ 91  9983223527","4.5","2","Opp:-Sanik Rest House","Hoshiarpur"
"S Bhupinder Singh Homeopathic Medicines","+ 91  94452078","5.0","5","Baich","Hoshiarpur"
"Sood Medicines Traders","+ 91  18859379310","","0","Hoshiarpur Ho","Hoshiarpur"
"Sood Medicine Traders","+ 91  18823801678","4.8","3","Hoshiarpur Ho","Hoshiarpur"
"Rd Manufacturers","+ 91  9988941764","5.0","10","Kotfathui","Hoshiarpur"
"Rd Manufacturers","+ 91  9937455034","5.0","10","Kotfathui","Hoshiarpur"
"Shri Sai Balaji Pharmatech Pvt. Ltd.","+ 91  9151916409","4.2","27","Mdc Sector 5","Chandigarh"
"Sood Medicines Traders","+ 91  18889597468","","0","Hoshiarpur Ho","Hoshiarpur"
"New Discount Medicines","+ 91  9937217870","4.5","2","Opp:-Sanik Rest House","Hoshiarpur"
"Vaid Darshan Lal Ayurvedic Medicine Shop","+ 91  9478493589","5.0","2","","Hoshiarpur"
"Dortmund Laboratories Pvt Ltd","+ 91  025143077597","3.0","17","Dombivli East","Mumbai"
"Sood Medicine Traders","+ 91  18886441128","4.8","3","Hoshiarpur Ho","Hoshiarpur"
"Terrace Pharmaceutical","+ 91  9869991088","","0","","Hoshiarpur"
"Medicine Supplier","+ 91  7071497293","","0","Dasuya","Hoshiarpur"
"Monopoly Pcd Pharma Franchise By Disecure Pharma","+ 91  919548613","4.8","33","Jabalpur Ho","Jabalpur"
"Aastha Medicine Traders","+ 91  9939071404","5.0","2","","Hoshiarpur"
