"Name","Phone","Rating","Votes","Locality","City"
"Medicine Supplier","+ 91  7033646093","","0","Dasuya","Hoshiarpur"
"Hoshiarpur Nursing Home","+ 91  9184250008","5.0","1","HOshiarpur HO","Hoshiarpur"
"DHFL Home Loan","1889391776","5.0","1","Model Town Hoshiarpur","Hoshiarpur"
"Delivery Pvt Ltd","+ 91  9878678740","4.1","18","Dasuya","Hoshiarpur"
"Sood Medicine Traders","+ 91  18873427598","4.8","3","Hoshiarpur Ho","Hoshiarpur"
"Sood Medicines Traders","+ 91  18888048275","","0","Hoshiarpur Ho","Hoshiarpur"
"Sood Medicines Traders","+ 91  18857225426","","0","Hoshiarpur Ho","Hoshiarpur"
"Medicine Supplier","+ 91  709961025","","0","Dasuya","Hoshiarpur"
"The Home Town Studio","+ 91  7681410037","4.9","27","Urmar Tanda","Hoshiarpur"
"DHFL Home Loan","1849443922","5.0","1","Model Town Hoshiarpur","Hoshiarpur"
"1) Neeraj Beauty Clinic & HOBBY Institute 2) Neeraj Beauty Clinic","+ 91  916289886","4.2","49","HOshiarpur HO","Hoshiarpur"
"Gulati Hospital & Maternity Home","+ 91  018818322328","3.3","5","Hoshiarpur Ho","Hoshiarpur"
"DHFL Home Loan","1834559951","5.0","1","Model Town Hoshiarpur","Hoshiarpur"
"Sood Medicine Traders","+ 91  18819138919","4.8","3","Hoshiarpur Ho","Hoshiarpur"
"Hotel Holiday Home & Restaurant","+ 91  9473483326","3.9","127","","Hoshiarpur"
"Medicine Supplier","+ 91  7047278241","","0","Dasuya","Hoshiarpur"
"DHFL Home Loan","1850496676","5.0","1","Model Town Hoshiarpur","Hoshiarpur"
"Sood Medicine Traders","+ 91  18887758428","4.8","3","Hoshiarpur Ho","Hoshiarpur"
"Nanda Nursing Home","+ 91  0188444674","3.9","7","Model Town Hoshiarpur","Hoshiarpur"
"Hoshiarpur Nursing Home","+ 91  9133231607","5.0","1","HOshiarpur HO","Hoshiarpur"
"Toddlers Home Study Hall","+ 91  18842300282","4.1","42","Model Town","Hoshiarpur"
"Hotel Holiday Home & Restaurant","+ 91  9453689611","3.9","127","","Hoshiarpur"
"Vestige Products Home Delivery","+ 91  9427085284","5.0","1","PRABHAT CHOWK","Hoshiarpur"
"Gulati Hospital & Maternity Home","+ 91  018823911351","3.3","5","Hoshiarpur Ho","Hoshiarpur"
"Nanda Nursing Home","+ 91  018840987609","3.9","7","Model Town Hoshiarpur","Hoshiarpur"
"Sood Medicine Traders","+ 91  18833289502","4.8","3","Hoshiarpur Ho","Hoshiarpur"
"Nanda Nursing Home","+ 91  018893971783","3.9","7","Model Town Hoshiarpur","Hoshiarpur"
"Delivery Garhshanker","+ 91  9013600561","3.0","10","Garhshanker","Hoshiarpur"
"The Home Town Studio","+ 91  7633714861","4.9","27","Urmar Tanda","Hoshiarpur"
"Sood Medicines Traders","+ 91  18848251425","","0","Hoshiarpur Ho","Hoshiarpur"
"Gulati Hospital & Maternity Home","+ 91  018866085533","3.3","5","Hoshiarpur Ho","Hoshiarpur"
"Hotel Holiday Home & Restaurant","+ 91  9430462561","3.9","127","","Hoshiarpur"
"Toddlers Home Study Hall","+ 91  18833303275","4.1","42","Model Town","Hoshiarpur"
"Hotel Holiday Home & Restaurant","+ 91  9413573310","3.9","127","","Hoshiarpur"
"Sood Medicine Traders","+ 91  18887691180","4.8","3","Hoshiarpur Ho","Hoshiarpur"
"Gulati Hospital & Maternity Home","+ 91  018870137080","3.3","5","Hoshiarpur Ho","Hoshiarpur"
"Nanda Nursing Home","+ 91  01887738539","3.9","7","Model Town Hoshiarpur","Hoshiarpur"
"Sood Medicines Traders","+ 91  18876688198","","0","Hoshiarpur Ho","Hoshiarpur"
"Sec 3 Lucky Chaat","+ 91  9859999221","3.9","115","","Hoshiarpur"
"Medicine Supplier","+ 91  7090731174","","0","Dasuya","Hoshiarpur"
"Medicine Supplier","+ 91  7091609637","","0","Dasuya","Hoshiarpur"
"Gulati Hospital & Maternity Home","+ 91  018811819656","3.3","5","Hoshiarpur Ho","Hoshiarpur"
"Delivery Pvt Ltd","+ 91  991854790","4.0","2","Mukerian","Hoshiarpur"
"Hoshiarpur Nursing Home","+ 91  916049952","5.0","1","HOshiarpur HO","Hoshiarpur"
"Nanda Nursing Home","+ 91  018854442625","3.9","7","Model Town Hoshiarpur","Hoshiarpur"
"Hoshiarpur Nursing Home","+ 91  9120627185","5.0","1","HOshiarpur HO","Hoshiarpur"
"DHFL Home Loan","1822327390","5.0","1","Model Town Hoshiarpur","Hoshiarpur"
"Hotel Holiday Home & Restaurant","+ 91  9498013363","3.9","127","","Hoshiarpur"
"Sehgal Auto Honda 2 Wheelers","+ 91  18842191994","4.8","5","Mukerian","Hoshiarpur"
"Toddlers Home Study Hall","+ 91  18884810864","4.1","42","Model Town","Hoshiarpur"
