"Name","Phone","Rating","Votes","Locality","City"
"Mohit Milk Bar","+ 91  9888383155","","0","Maqsudan","Jalandhar"
"Sohan Dairy","+ 91  9899343587","","0","Jalandhar City","Jalandhar"
"Deep Dairy","+ 91  9879890709","","0","Jalandhar City","Jalandhar"
"Vro Enterprises","+ 91  9131599981","3.9","56","Kalyan City","Mumbai"
"Upkaar Dairy","+ 91  9315309749","4.5","14","Civil Lines","Ludhiana"
"Metro Milk Products Pvt Ltd","+ 91  986679558","4.3","10","Jalandhar City","Jalandhar"
"Rubber And Rubber Products-Manufacturers And Suppliers","+ 91  18155920277","","0","Jalandhar City","Jalandhar"
"Vij Dairy","+ 91  9896834889","5.0","2","Charanjitpura","Jalandhar"
"Ashoka Milk Bar","+ 91  9878293662","","0","Adarsh Nagar","Jalandhar"
"Harsimran Singh Jaura","+ 91  9921299233","","0","Jalandhar City","Jalandhar"
"Ananda Dairy Products Supplier","+ 91  9918187758","5.0","3","Urban Estate","Jalandhar"
"Dairy Fresh","+ 91  8498739830","","0","Jandiala","Jalandhar"
"Royal Dairy","+ 91  981777882","","0","Opposite Baba Balak Nath Mandir","Jalandhar"
"Dairy (milk Product)","+ 91  9591530694","3.6","23","Alawalpur","Jalandhar"
"Sahil Narang Dairy Products","+ 91  9889539979","2.5","2","Jalandhar City","Jalandhar"
"Aulakh Farm","+ 91  9757055100","","0","","Jalandhar"
"Dhan Guru Ram Dass Sweets","+ 91  9719954729","4.1","208","Jalandhar City","Jalandhar"
"Brij Gokul Dairy","+ 91  9756496132","4.8","6","Mithapur","Jalandhar"
"Kanhaiyya Malganga Milk & Agro Product Pvt.ltd","+ 91  024821559094","4.2","185","Nighoj","Ahmednagar"
"Des Dairy","+ 91  9855497605","5.0","2","Railway Road","Jalandhar"
"King Dairy","","","0","Kishanpur","Jalandhar"
"Pukhraj Aleo Vera Healthcare Product","+ 91  9026688362","","0","Jalandhar City","Jalandhar"
"Sardar Ji Dairy Products Farm Rajia","+ 91  97282941","","0","","Jalandhar"
"Saumya Dairy Product","+ 91  7986748489","","0","Alawalpur","Jalandhar"
"Gaba Dairy & Bakerz","+ 91  9815707725","","0","Jalandhar City","Jalandhar"
"Gurnoor Dairy Farms","+ 91  9321591496","","0","Jalandhar City","Jalandhar"
"Green Planet Bio Products","+ 91  1817984099","4.1","92","Jalandhar","Jalandhar"
