"Name","Phone","Rating","Votes","Locality","City"
"Handa Dairy Farm","+ 91  18150243992","4.4","10","Avtar Nagar","Jalandhar"
"Pammidi Dairy","+ 91  18168104403","","0","Grain Market","Jalandhar"
"Brij Gokul Dairy","+ 91  9767262889","4.8","6","Mithapur","Jalandhar"
"Handa Dairy Farm","+ 91  18166917077","4.4","10","Avtar Nagar","Jalandhar"
"Chawla Dairy","+ 91  9886314041","5.0","2","Model House","Jalandhar"
"SAT Kartar Sweet Shop","+ 91  9816409971","4.0","539","New Model House","Jalandhar"
"Dairy Craft","+ 91  9886399165","","0","Basti Nau","Jalandhar"
"Chawla Dairy","+ 91  9823566149","5.0","2","Model House","Jalandhar"
"Dairy Fresh","+ 91  8431624080","","0","Jandiala","Jalandhar"
"Dhan Guru Ram Dass Sweets","+ 91  9732576753","4.1","208","Jalandhar City","Jalandhar"
"Bansal Dairy","+ 91  18174948669","4.1","105","Jalandhar Cantt","Jalandhar"
"Khalsa Dairy","+ 91  9810995877","4.5","4","Nakodar","Jalandhar"
"Tarsem Sweet Shop","+ 91  1815116872","4.0","433","Maqsudan","Jalandhar"
"Bansal Dairy","+ 91  18160372548","4.1","105","Jalandhar Cantt","Jalandhar"
"Chocolates 4 You","+ 91  18194879608","4.9","61","Model Town","Jalandhar"
"Khalsa Dairy","+ 91  18142372735","4.1","19","Gopal Nagar","Jalandhar"
"Dairy (milk Product)","+ 91  9563356174","3.6","23","Alawalpur","Jalandhar"
"Reliance Jio 2","+ 91  7040643470","2.9","32","","Jalandhar"
"Bansal Dairy","+ 91  18152648494","4.1","105","Jalandhar Cantt","Jalandhar"
"Chopra Dairy","+ 91  9431165720","5.0","2","","Jalandhar"
"Dairy Craft","+ 91  9887853618","","0","Basti Nau","Jalandhar"
"Kiran Book Shop","+ 91  01819361028","3.5","1267","Jalandhar City","Jalandhar"
"Dream 2 Destination Consultancy","+ 91  9171337436","5.0","4","Jalandhar City","Jalandhar"
"Khalsa Dairy","+ 91  18166715510","4.1","19","Gopal Nagar","Jalandhar"
"Dairy (milk Product)","+ 91  9541884883","3.6","23","Alawalpur","Jalandhar"
"Dairy (milk Product)","+ 91  9584061632","3.6","23","Alawalpur","Jalandhar"
"Khalsa Dairy","+ 91  18114587649","4.1","19","Gopal Nagar","Jalandhar"
"Bansal Dairy","+ 91  18129068526","4.1","105","Jalandhar Cantt","Jalandhar"
"Dairy Fresh","+ 91  8422212914","","0","Jandiala","Jalandhar"
"Pammidi Dairy","+ 91  1811157744","","0","Grain Market","Jalandhar"
"Dairy Fresh","+ 91  8433826872","","0","Jandiala","Jalandhar"
"Khalsa Dairy","+ 91  9894214212","4.5","4","Nakodar","Jalandhar"
"Chawla Dairy","+ 91  9825862346","5.0","2","Model House","Jalandhar"
"VIP Number Shop.com","+ 91  7077381032","4.2","220","Choti Baradari","Jalandhar"
"Ganesh Sweet Shop","+ 91  18158431390","4.1","1009","Bhogpur","Jalandhar"
"Dairy Fresh","+ 91  8436757630","","0","Jandiala","Jalandhar"
"Pammidi Dairy","+ 91  18142122752","","0","Grain Market","Jalandhar"
"Dairy Fresh","+ 91  844089332","","0","Jandiala","Jalandhar"
"Pets 2 Home","+ 91  9128699197","3.8","38","Model Town","Jalandhar"
"Handa Dairy Farm","+ 91  1813174972","4.4","10","Avtar Nagar","Jalandhar"
"Dairy (milk Product)","+ 91  9582832999","3.6","23","Alawalpur","Jalandhar"
"Pammidi Dairy","+ 91  1815893512","","0","Grain Market","Jalandhar"
"Kendriya Vidyalaya No 4","+ 91  18129492774","2.8","2","Jalandhar City","Jalandhar"
"Damp 2 Decor","+ 91  9134122851","5.0","4","Jalandhar City","Jalandhar"
"Fat 2 Fit Gym","+ 91  9647750792","3.8","54","Jalandhar Cantt","Jalandhar"
"Police Station Div No. 4","+ 91  18153029928","2.7","18","Jalandhar City","Jalandhar"
"Grewal Pet Shop & Farm","+ 91  8240627363","4.5","325","Adampur Ad","Jalandhar"
"Khalsa Dairy","+ 91  18124407489","4.1","19","Gopal Nagar","Jalandhar"
"Brij Gokul Dairy","+ 91  9725391269","4.8","6","Mithapur","Jalandhar"
"Dairy (milk Product)","+ 91  9511372636","3.6","23","Alawalpur","Jalandhar"
