"Name","Phone","Rating","Votes","Locality","City"
"Medicine Counter","+ 91  9798679163","","0","Jalandhar City","Jalandhar"
"Arora Medicine Traders","+ 91  18180656092","4.8","5","Civil Lines","Jalandhar"
"Police Station Div No. 4","+ 91  18117354181","2.7","18","Jalandhar City","Jalandhar"
"Medicine Counter","+ 91  9767528966","","0","Jalandhar City","Jalandhar"
"M.g Medicine Center","+ 91  9810054313","5.0","1","Hardayal Nagar","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9890910358","5.0","232","Shahkot","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9830226617","5.0","232","Shahkot","Jalandhar"
"Pets 2 Home","+ 91  917570146","3.8","38","Model Town","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18114538523","4.5","9","Preet Nagar","Jalandhar"
"Medicine medicos trand","+ 91  7560393317","","0","GTB Avenue","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18139613038","4.5","9","Preet Nagar","Jalandhar"
"Medicine Centre","+ 91  018133082051","4.5","2","Ashok Nagar","Jalandhar"
"Fat 2 Fit Gym","+ 91  96532703","3.8","54","Jalandhar Cantt","Jalandhar"
"Medicine Centre","+ 91  018183169971","4.5","2","Ashok Nagar","Jalandhar"
"Chocolates 4 You","+ 91  18132080581","4.9","61","Model Town","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18111349302","4.7","3","Jalandhar City","Jalandhar"
"Medicine Counter","+ 91  9780430027","","0","Jalandhar City","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18117773834","4.5","9","Preet Nagar","Jalandhar"
"Medicine Centre","+ 91  0181707840","4.5","2","Ashok Nagar","Jalandhar"
"medicine medico merchant","+ 91  7537416365","","0","GTB Avenue","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9869569042","5.0","232","Shahkot","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18142659193","4.5","9","Preet Nagar","Jalandhar"
"Dream 2 Destination Consultancy","+ 91  912735274","5.0","4","Jalandhar City","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18143584682","4.7","3","Jalandhar City","Jalandhar"
"Kendriya Vidyalaya No 4","+ 91  18114322375","2.8","2","Jalandhar City","Jalandhar"
"Medicine medicos trand","+ 91  7520023703","","0","GTB Avenue","Jalandhar"
"Promise Ultrasound & Fetal Medicine Centre","+ 91  18199820084","4.8","61","Jalandhar City","Jalandhar"
"Arora Medicine Traders","+ 91  18122072679","4.8","5","Civil Lines","Jalandhar"
"Mahajan Medicine Traders","+ 91  18156426935","","0","Jalandhar City","Jalandhar"
"Arora Medicine Traders","+ 91  18150041218","4.8","5","Civil Lines","Jalandhar"
"medicine medico merchant","+ 91  7586204516","","0","GTB Avenue","Jalandhar"
"Arora Medicine Traders","+ 91  18166797770","4.8","5","Civil Lines","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18134479330","4.7","3","Jalandhar City","Jalandhar"
"M.g Medicine Center","+ 91  9814517462","5.0","1","Hardayal Nagar","Jalandhar"
"M.g Medicine Center","+ 91  9837230290","5.0","1","Hardayal Nagar","Jalandhar"
"medicine medico merchant","+ 91  75706367","","0","GTB Avenue","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18112376566","4.5","9","Preet Nagar","Jalandhar"
"medicine medico merchant","+ 91  7570747739","","0","GTB Avenue","Jalandhar"
"Mahajan Medicine Traders","+ 91  18181689884","","0","Jalandhar City","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9882234019","5.0","232","Shahkot","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18110518104","4.7","3","Jalandhar City","Jalandhar"
"medicine medico merchant","+ 91  7598113910","","0","GTB Avenue","Jalandhar"
"Medicine Counter","+ 91  9736095749","","0","Jalandhar City","Jalandhar"
"Medicine Centre","+ 91  018154585849","4.5","2","Ashok Nagar","Jalandhar"
"Medicine Centre","+ 91  018185979215","4.5","2","Ashok Nagar","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9839520854","5.0","232","Shahkot","Jalandhar"
"Arora Medicine Traders","+ 91  18172071075","4.8","5","Civil Lines","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18148901003","4.7","3","Jalandhar City","Jalandhar"
"Airtel-Payment Bank Distributor","+ 91  996669424","5.0","1","Central Town","Jalandhar"
"Raja Ram & Sons Distributors","+ 91  9756779532","5.0","2","Jalandhar","Jalandhar"
