"Name","Phone","Rating","Votes","Locality","City"
"Gaba Medicine and Cosmetics","+ 91  9862848065","5.0","232","Shahkot","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18192606527","4.5","9","Preet Nagar","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9827487026","5.0","232","Shahkot","Jalandhar"
"M.g Medicine Center","+ 91  9844476254","5.0","1","Hardayal Nagar","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9841964927","5.0","232","Shahkot","Jalandhar"
"Medicine medicos trand","+ 91  7547940898","","0","GTB Avenue","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18168558384","4.5","9","Preet Nagar","Jalandhar"
"Mahajan Medicine Traders","+ 91  18175597709","","0","Jalandhar City","Jalandhar"
"M.g Medicine Center","+ 91  9829338303","5.0","1","Hardayal Nagar","Jalandhar"
"Medicine Centre","+ 91  018199495269","4.5","2","Ashok Nagar","Jalandhar"
"Promise Ultrasound & Fetal Medicine Centre","+ 91  18196556658","4.8","61","Jalandhar City","Jalandhar"
"Police Station Div No. 4","+ 91  18135660114","2.7","18","Jalandhar City","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18185348379","4.7","3","Jalandhar City","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9816865671","5.0","232","Shahkot","Jalandhar"
"medicine medico merchant","+ 91  7532514667","","0","GTB Avenue","Jalandhar"
"Dream 2 Destination Consultancy","+ 91  911614985","5.0","4","Jalandhar City","Jalandhar"
"Medicine Centre","+ 91  018143665270","4.5","2","Ashok Nagar","Jalandhar"
"Medicine Counter","+ 91  9757070637","","0","Jalandhar City","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18148667276","4.7","3","Jalandhar City","Jalandhar"
"medicine medico merchant","+ 91  7517202176","","0","GTB Avenue","Jalandhar"
"Fat 2 Fit Gym","+ 91  9646104307","3.8","54","Jalandhar Cantt","Jalandhar"
"Medicine Counter","+ 91  9762578766","","0","Jalandhar City","Jalandhar"
"Kendriya Vidyalaya No 4","+ 91  18161968506","2.8","2","Jalandhar City","Jalandhar"
"Medicine Centre","+ 91  018184327401","4.5","2","Ashok Nagar","Jalandhar"
"medicine medico merchant","+ 91  7526113328","","0","GTB Avenue","Jalandhar"
"Gaba Medicine and Cosmetics","+ 91  9833556763","5.0","232","Shahkot","Jalandhar"
"M.g Medicine Center","+ 91  9816064863","5.0","1","Hardayal Nagar","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18148928329","4.5","9","Preet Nagar","Jalandhar"
"Arora Medicine Traders","+ 91  18197060022","4.8","5","Civil Lines","Jalandhar"
"Medicine Centre","+ 91  01813631911","4.5","2","Ashok Nagar","Jalandhar"
"Arora Medicine Traders","+ 91  18171013801","4.8","5","Civil Lines","Jalandhar"
"Promise Ultrasound & Fetal Medicine Centre","+ 91  18174410096","4.8","61","Jalandhar City","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18112353994","4.7","3","Jalandhar City","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18130303412","4.5","9","Preet Nagar","Jalandhar"
"Medicine Centre","+ 91  018188847964","4.5","2","Ashok Nagar","Jalandhar"
"Mahajan Medicine Traders","+ 91  18118024524","","0","Jalandhar City","Jalandhar"
"Medicine Counter","+ 91  9714005759","","0","Jalandhar City","Jalandhar"
"Medicine medicos trand","+ 91  7599832748","","0","GTB Avenue","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18186852025","4.7","3","Jalandhar City","Jalandhar"
"Jindal Medicines Pvt Ltd","+ 91  18117327441","4.7","3","Jalandhar City","Jalandhar"
"Arora Medicine Traders","+ 91  18157069244","4.8","5","Civil Lines","Jalandhar"
"Medicine Counter","+ 91  9722238824","","0","Jalandhar City","Jalandhar"
"Promise Ultrasound & Fetal Medicine Centre","+ 91  181410469","4.8","61","Jalandhar City","Jalandhar"
"medicine medico merchant","+ 91  7530885116","","0","GTB Avenue","Jalandhar"
"Arora Medicine Traders","+ 91  18181642576","4.8","5","Civil Lines","Jalandhar"
"Arora Medicine Traders","+ 91  18151190017","4.8","5","Civil Lines","Jalandhar"
"Mahajan Medicine Traders","+ 91  18181419725","","0","Jalandhar City","Jalandhar"
"medicine medico merchant","+ 91  7534683317","","0","GTB Avenue","Jalandhar"
"Kamal Medicine & Ayurvedic Centre","+ 91  18188808767","4.5","9","Preet Nagar","Jalandhar"
"Chocolates 4 You","+ 91  18117421082","4.9","61","Model Town","Jalandhar"
