"Name","Phone","Rating","Votes","Locality","City"
"The Medicine House","+ 91  9471843427","","0","Link Road","Jammu"
"Noon 2 Nite","+ 91  7227669816","3.5","119","Gandhinagar Jammu","Jammu"
"Spicy Grillz 2","+ 91  994941125","3.1","143","Channi Himmat","Jammu"
"Chawlas 2 Jammu","+ 91  973561732","3.6","132","Gandhinagar Jammu","Jammu"
"Indian Institute Of Integrative Medicine","+ 91  19119579668","","","Jammu Ho","Jammu"
"Indian Institute Of Integrative Medicine","+ 91  19138869165","","","Jammu Ho","Jammu"
"Aar Kay Medicine Store","+ 91  19135515082","3.9","4","Gandhinagar Jammu","Jammu"
"Ajay Medicine  Traders","+ 91  19165279399","4.7","3","City Chowk","Jammu"
"Ajay Medicine  Traders","+ 91  19124724254","4.7","3","City Chowk","Jammu"
"Aar Kay Medicine Store","+ 91  19199327331","3.9","4","Gandhinagar Jammu","Jammu"
"Odell 4 Salon","+ 91  9612497705","4.5","4","Gandhinagar Jammu","Jammu"
"The Medicine House","+ 91  9413087398","","0","Link Road","Jammu"
"Aar Kay Medicine Store","+ 91  19163883347","3.9","4","Gandhinagar Jammu","Jammu"
"Ajay Medicine Traders","+ 91  019134256512","4.7","3","Jammu & Kashmir","Jammu"
"Ajay Medicine  Traders","+ 91  19117175033","4.7","3","City Chowk","Jammu"
"Ajay Medicine Traders","+ 91  019188039045","4.7","3","Jammu & Kashmir","Jammu"
"The Medicine House","+ 91  9441384469","","0","Link Road","Jammu"
"Prem Medicine Traders","+ 91  1913962626","4.0","10","Shalamar","Jammu"
"Prem Medicine Traders","+ 91  19114394052","4.0","10","Shalamar","Jammu"
"Amar Medicine Traders","+ 91  949361359","5.0","2","Jammu Tawi","Jammu"
"The Medicine House","+ 91  9444718160","","0","Link Road","Jammu"
"Amar Medicine Traders","+ 91  9446184314","5.0","2","Jammu Tawi","Jammu"
"Cost 2 cost computers","+ 91  90424968","4.2","51","Jammu HO","Jammu"
"Aar Kay Medicine Store","+ 91  19132802837","3.9","4","Gandhinagar Jammu","Jammu"
"Ajay Medicine  Traders","+ 91  1913743078","4.7","3","City Chowk","Jammu"
"Prem Medicine Traders","+ 91  19185742223","4.0","10","Shalamar","Jammu"
"Amar Medicine Traders","+ 91  9422460051","5.0","2","Jammu Tawi","Jammu"
"The Medicine House","+ 91  9497408548","","0","Link Road","Jammu"
"Prem Medicine Traders","+ 91  1915067675","4.0","10","Shalamar","Jammu"
"Best Price Medicine","+ 91  19114377072","2.3","5","Opposite Lane No 1","Jammu"
"Best Price Medicine","+ 91  19196047871","2.3","5","Opposite Lane No 1","Jammu"
"Raman Medicine Shop","+ 91  1919516906","4.7","3","Link Road","Jammu"
"Raman Medicine Shop","+ 91  19171064884","4.7","3","Link Road","Jammu"
"Gopal Medicine Shop","+ 91  19197261523","3.3","2","Bakshi Nagar","Jammu"
"Mastermind Classes  Centre 2","+ 91  19132784157","4.3","14","Jammu Ho","Jammu"
"Dare 2 Fit Gym","+ 91  908546477","4.8","63","Rehari","Jammu"
"Indian Institute Of Integrative Medicine","+ 91  19160622153","","","Jammu Ho","Jammu"
"Raman Medicine Shop","+ 91  1918867847","4.7","3","Link Road","Jammu"
"Ajay Medicine Traders","+ 91  01917867598","4.7","3","Jammu & Kashmir","Jammu"
"Barna Sports Gym Equipment Manufacturer","+ 91  62157399","5.0","13","","Jammu"
"Odell 4 Salon","+ 91  9659006736","3.3","20","Near By St Peters School","Jammu"
"Studio Page 3 Salon","+ 91  9086213278","4.6","10","Above Pizza Hut","Opposite Bahu Plaza"
"Indian Institute Of Integrative Medicine","+ 91  19121494421","","","Jammu Ho","Jammu"
"Best Price Medicine","+ 91  19155904040","2.3","5","Opposite Lane No 1","Jammu"
"4 Js Manpower Staffing Solution","+ 91  7834743821","","0","Link Road","Jammu"
"Prem Medicine Traders","+ 91  19173311361","4.0","10","Shalamar","Jammu"
"Best Price Medicine","+ 91  19133834096","2.3","5","Opposite Lane No 1","Jammu"
"Spicy Grillz 2 (Temporary Closed Down)","+ 91  9491722457","3.1","31","Near Triple S Farms,Gupta Complex 2","Vasant Vihar,"
"Bhushan Radio 2","+ 91  9691598467","4.3","107","Gandhinagar Jammu","Jammu"
"Amar Medicine Traders","+ 91  9436264601","5.0","2","Jammu Tawi","Jammu"
