"Name","Phone","Rating","Votes","Locality","City"
"ID Surgicals & Pharmaceuticals","+ 91  19122631011","2.0","1","Jammu Ho","Jammu"
"Laxmi Medicine Trader","+ 91  01913639478","","0","Jammu & Kashmir","Jammu"
"Swami Enterprises","+ 91  9198541435","4.5","9","Jammu Ho","Jammu"
"A V Intl Pharma Distributor","+ 91  19122557034","","0","City Chowk","Jammu"
"Premier Medical Agencies","+ 91  19151392820","","0","Jammu & Kashmir","Jammu"
"Healthkind Labs Pvt Ltd","+ 91  9198147001","4.4","8","","Chandigarh"
"Surya Pharmaceuticals","+ 91  019151406061","","0","Jammu & Kashmir","Jammu"
"Bhagwati Sales","+ 91  019174069225","","0","Jewel Chowk","Jammu"
"I D Pharma","+ 91  19171412670","3.7","5","Hari Market","Jammu"
"Cynak Healthcare","+ 91  9199617192","4.7","3","Sonipat Sector 14","Sonepat"
"Amway Distributor","+ 91  9486930593","","0","Jammu Tawi","Jammu"
"I D Pharma","+ 91  19148871863","3.7","5","Hari Market","Jammu"
"V K Traders","+ 91  01919479025","","0","Jammu & Kashmir","Jammu"
"Surya Medical Agencies","+ 91  19186722290","","0","","Jammu"
"Varun Medical Agencies","+ 91  019180956449","","0","Jammu & Kashmir","Jammu"
"Jagdish Medical Agencies","+ 91  19155204439","","0","Kapoor Market","Jammu"
"Sharma Medical Hall","+ 91  9458579211","5.0","4","Jammu & Kashmir","Jammu"
"Surajit Agencies","+ 91  019198736118","","0","Jammu & Kashmir","Jammu"
"Carewell Pharmacon Pvt Ltd","+ 91  019184661416","","0","Jammu Ho","Jammu"
"Bio Pharma Corporation","+ 91  9472703870","5.0","3","","Jammu"
"Walia Agencies","+ 91  019195550366","","0","Jammu & Kashmir","Jammu"
"angio life healthcare","+ 91  9121413668","4.6","26","Mani Majra","Chandigarh"
"Pharmahopers.com","+ 91  9167457047","4.6","113","Panchkula Sector 11","Chandigarh"
"Mjas ENT","+ 91  019179285287","","0","Jammu & Kashmir","Jammu"
"Crown Pharmaceuticals","+ 91  9463923716","","0","Bakshi Nagar","Jammu"
"Pharose Remedies Ltd","+ 91  019174033065","5.0","1","Jammu & Kashmir","Jammu"
"Star Pharmaceuticals","+ 91  019110175554","","0","City Chowk","Jammu"
"Jain Medical Store","+ 91  019125199155","5.0","1","Opposite Ubi","Jammu"
"Saycon Pharmaceuticals","+ 91  19176344086","","0","Gandhinagar Jammu","Jammu"
"Chaman Pharma","+ 91  8838986757","","0","Kalu Chak","Jammu"
"Mediboon Pharma Pvt. Ltd.","+ 91  9150709552","4.8","16","Karnal Sector 12","Karnal"
"Jammu Pharmaceuticals","+ 91  9141913193","","0","Shalamar","Jammu"
"H S Agencies","+ 91  19180185632","3.0","1","Trikuta Nagar","Jammu"
"Medinova Lab","+ 91  19130665742","2.5","1","Chani Himat","Jammu"
"Health Care Pharmaceuticals","+ 91  019181624761","","0","Jammu & Kashmir","Jammu"
"Jammu Medical Traders Pvt Ltd","+ 91  019184184275","","0","Goverdhan Manssion","Jammu"
"Rahul Pharma","+ 91  01913760104","","0","Jammu & Kashmir","Jammu"
"Jandiyal Medical Store","+ 91  9412512475","4.0","4","Shastri Nagar","Jammu"
"K C Bahri & Co","+ 91  019125051332","","0","Jammu & Kashmir","Jammu"
"J R Agencies","+ 91  19119619372","","0","Jammu & Kashmir","Jammu"
"Bapslee Pharma","+ 91  019158122147","","0","","Jammu"
"Sai Arr Traders","+ 91  19129233736","","0","Jammu Ho","Jammu"
"Pharma Drugs Mfg. Co.","+ 91  19135897613","","0","Janipur","Jammu"
"Kings ENT","+ 91  019125561504","","0","Jammu & Kashmir","Jammu"
"Pharma Drugs Mfg. Co.","+ 91  19117904225","","0","Janipur","Jammu"
"Rama ENT","+ 91  019120422303","","0","Jammu & Kashmir","Jammu"
"Trade King Agencies","+ 91  019175491629","","0","Jammu & Kashmir","Jammu"
"Pharma Pcd Franchise By Arrier Biotech","+ 91  1721124857","4.2","102","Mani Majra","Chandigarh"
"Naresh ENT","+ 91  019198448710","","0","Jewel Chowk","Jammu"
"Medi Link","+ 91  19125132888","","0","Jammu & Kashmir","Jammu"
"Cecil Pharmaceuticals","+ 91  19146599300","1.0","1","Gandhinagar Jammu","Jammu"
"Indo Kashmir Surgical Corporation","+ 91  19187731938","3.0","2","Bakshi Nagar","Jammu"
"KS Agency","+ 91  9489712537","","0","Shalamar","Jammu"
"M S Samikesha Enterprises","+ 91  9749573803","","0","Rajpura Jammu","Jammu"
"Impex Corpn","+ 91  019168421362","","0","New Sectt Road","Jammu"
"Leo Pharmaceuticals","+ 91  19126993072","","0","Jammu Tawi","Jammu"
"PARKIN PHARMACEUTICALS","+ 91  019192100209","","0","Shalamar","Jammu"
"Ravi Specialities Pharma Pvt Ltd","+ 91  04312297845","4.3","73","Ramalinganagar South","Trichy"
"Sehaj Enterprises","+ 91  19126934676","","0","Bakshi Nagar","Jammu"
