"Name","Phone","Rating","Votes","Locality","City"
"Shruti Dairy And Confectionery","+ 91  949350805","5.0","4","Nehran Pukhar","Kangra"
"Baba Dairy And Restaurant","+ 91  9877399428","4.2","114","Panchrukhi","Kangra"
"Talwar Dairy Farm","+ 91  9448503364","3.9","33","Talwar","Kangra"
"Tanmay Dairy And Restaurants","+ 91  9835661680","4.7","9","Tanda","Kangra"
"Raman Photo Shop","+ 91  9120057110","3.9","70","Palampur","Kangra"
"Tanmay Dairy And Restaurants","+ 91  9860888716","4.7","9","Tanda","Kangra"
"Sonu Dairy","+ 91  9447670867","4.4","19","Bhawarna","Kangra"
"Image 3 Luxry Salon","+ 91  9819769036","4.3","7","Jawali","Kangra"
"Thakur Dairy Farm","+ 91  9760914690","3.9","23","Alampur","Kangra"
"Kalka hollow block industry& Rajeev BROS hardware shop","+ 91  9159592970","3.5","2","Kangra Town","Kangra"
"Thakur Dairy Farm","+ 91  9796699715","3.9","23","Alampur","Kangra"
"Nagpal Dairy","+ 91  8855460478","4.8","10","Palampur","Kangra"
"Bhagya Laxmi Dairy & Sweet Shop","+ 91  9810938400","5.0","1","Gaggal","Kangra"
"Music Waves Dj Shop","+ 91  9119085065","4.9","14","Purba","Kangra"
"Apni Dudh Dairy","+ 91  708238842","5.0","3","Nagrota Surian","Kangra"
"Apni Dudh Dairy","+ 91  706310495","5.0","3","Nagrota Surian","Kangra"
"Sharma Dairy Fatehpur","+ 91  8856006021","4.5","6","","Kangra"
"Verma Garments Shop","+ 91  6216025749","4.7","6097","Dharer","Kangra"
"Jai Sidh Baba Steel & Aluminium Work Shop","+ 91  9177332940","5.0","9","Nagrota Surian","Kangra"
"Sharma Dairy Fatehpur","+ 91  8874631908","4.5","6","","Kangra"
"Tanmay Dairy And Restaurants","+ 91  9881303656","4.7","9","Tanda","Kangra"
"Talwar Dairy Farm","+ 91  9479847497","3.9","33","Talwar","Kangra"
"Nagpal Dairy","+ 91  8873569898","4.8","10","Palampur","Kangra"
"Sai Dairy And Disposable Work New Kartar Market Shahpur","+ 91  8839817082","3.4","18","Shahpur","Kangra"
"Sai Dairy And Disposable Work New Kartar Market Shahpur","+ 91  8854258073","3.4","18","Shahpur","Kangra"
"Nagpal Dairy","+ 91  8891470835","4.8","10","Palampur","Kangra"
"Sonu Dairy","+ 91  9461164475","4.4","19","Bhawarna","Kangra"
"Baba Dairy And Restaurant","+ 91  9896013255","4.2","114","Panchrukhi","Kangra"
"Contro Rate Ration Shop","+ 91  9862512758","5.0","8","","Kangra"
"Baba Dairy And Restaurant","+ 91  9833469025","4.2","114","Panchrukhi","Kangra"
"Apni Dudh Dairy","+ 91  703792479","5.0","3","Nagrota Surian","Kangra"
"Sonu Dairy","+ 91  9461271529","4.4","19","Bhawarna","Kangra"
"Sai Dairy And Disposable Work New Kartar Market Shahpur","+ 91  8855358101","3.4","18","Shahpur","Kangra"
"Talwar Dairy Farm","+ 91  9499962107","3.9","33","Talwar","Kangra"
"4 Seasons","+ 91  8294107383","5.0","4","Raja Ka Talab","Kangra"
"Thakur Dairy Farm","+ 91  9714193539","3.9","23","Alampur","Kangra"
"Tanmay Dairy And Restaurants","+ 91  9827172139","4.7","9","Tanda","Kangra"
"Shruti Dairy And Confectionery","+ 91  943715690","5.0","4","Nehran Pukhar","Kangra"
"Shruti Dairy And Confectionery","+ 91  9483492903","5.0","4","Nehran Pukhar","Kangra"
"Thakur Dairy Farm","+ 91  9797981163","3.9","23","Alampur","Kangra"
"Nagpal Dairy","+ 91  8888344398","4.8","10","Palampur","Kangra"
"Gian Chand Chicken Shop","+ 91  9846107185","3.9","176","Bhawarna","Kangra"
"Sonu Dairy","+ 91  9455179393","4.4","19","Bhawarna","Kangra"
"Shruti Dairy And Confectionery","+ 91  9430747339","5.0","4","Nehran Pukhar","Kangra"
"Talwar Dairy Farm","+ 91  9489283951","3.9","33","Talwar","Kangra"
"Patanjali Retail Shop","+ 91  9446195635","4.8","6","Palampur","Kangra"
"7-Shops Communication","+ 91  9799455972","3.7","409","Jassur","Kangra"
"Baba Dairy And Restaurant","+ 91  9821505237","4.2","114","Panchrukhi","Kangra"
"Sai Dairy And Disposable Work New Kartar Market Shahpur","+ 91  8885502245","3.4","18","Shahpur","Kangra"
"Apni Dudh Dairy","+ 91  7025452696","5.0","3","Nagrota Surian","Kangra"
