"Name","Phone","Rating","Votes","Locality","City"
"Dr Garg Clinic Medicine","+ 91  9814584621","4.8","9","Pathiar","Kangra"
"Ramesh Property Dealer","+ 91  9884756705","5.0","1","Gaggal","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8262960848","4.7","8","Panchrukhi","Kangra"
"Dr Garg Clinic Medicine","+ 91  9864348116","4.8","9","Pathiar","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8254002504","4.7","8","Panchrukhi","Kangra"
"All Medicine Store","+ 91  9461745822","5.0","2","Baijnath","Kangra"
"VK Medicines","+ 91  989414144","5.0","1","Lanj","Kangra"
"All Medicine Store","+ 91  9424170192","5.0","2","Baijnath","Kangra"
"VK Medicines","+ 91  9847442709","5.0","1","Lanj","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8229997413","4.7","8","Panchrukhi","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8249303070","4.7","8","Panchrukhi","Kangra"
"Jai Jawala Maa Property Dealer And Builders","+ 91  9157009556","4.5","4","Jawalamukhi","Kangra"
"VK Medicines","+ 91  9881815952","5.0","1","Lanj","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9855904699","4.9","31","Baijnath","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9880629206","4.9","31","Baijnath","Kangra"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  9419357578","5.0","1","Kangra Ho","Kangra"
"5 Fulli Gardens","+ 91  8648437375","","0","Shahpur","Kangra"
"Dhiman Electrical Works & Mobile Dealers","+ 91  9858900556","3.9","41","Jawali","Kangra"
"All Scrap Dealer","+ 91  9141111914","4.9","7","Palampur","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9872063736","4.9","31","Baijnath","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  84366980","5.0","2","Sansarpur Terrace","Kangra"
"Goswami Medicines Store","+ 91  8689223328","5.0","1","Jawalamukhi","Kangra"
"Goswami Medicines Store","+ 91  8612186423","5.0","1","Jawalamukhi","Kangra"
"G. S. R Medicines","+ 91  9496629286","","0","Rait","Kangra"
"All Medicine Store","+ 91  9465331562","5.0","2","Baijnath","Kangra"
"Old Car Dealer","+ 91  9847069166","3.7","5","Kangra Town","Kangra"
"All Medicine Store","+ 91  9493856136","5.0","2","Baijnath","Kangra"
"Shining Shahpur Property Dealer","+ 91  9111878982","4.8","2","Shahpur","Kangra"
"Goswami Medicines Store","+ 91  8672895005","5.0","1","Jawalamukhi","Kangra"
"Dr Garg Clinic Medicine","+ 91  9883451181","4.8","9","Pathiar","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8415496001","5.0","2","Sansarpur Terrace","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8485324618","5.0","2","Sansarpur Terrace","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9865020213","4.9","31","Baijnath","Kangra"
"Ridhi Sidhi Marble Granite Dealer & All Building Material","+ 91  9112122022","5.0","2","Matour","Kangra"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  9456339486","5.0","1","Kangra Ho","Kangra"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  9414785062","5.0","1","Kangra Ho","Kangra"
"Sethi Tyres Dealer","+ 91  9645276290","4.1","47","Nurpur","Kangra"
"Way 2 My Shop","+ 91  7055070842","4.0","2","Near Sbi","Kangra"
"City Automobiles 2","+ 91  18982277388","4.5","4","Kangra Ho","Kangra"
"Shankar Board Processors Unit 2","+ 91  9218990788","4.0","2","","Kangra"
"Goswami Medicines Store","+ 91  8620739393","5.0","1","Jawalamukhi","Kangra"
"Image 3 Luxry Salon","+ 91  9864132531","4.3","7","Jawali","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8427768842","5.0","2","Sansarpur Terrace","Kangra"
"4 Seasons","+ 91  8217397583","5.0","4","Raja Ka Talab","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9824590345","4.9","31","Baijnath","Kangra"
"Dr Garg Clinic Medicine","+ 91  986502266","4.8","9","Pathiar","Kangra"
"Dr Garg Clinic Medicine","+ 91  9855386026","4.8","9","Pathiar","Kangra"
"Care 4 You Healthcare","+ 91  8968761349","5.0","2","Palampur","Kangra"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  9417753348","5.0","1","Kangra Ho","Kangra"
"Face 3 Unisex Hair Spa Salon","+ 91  8688875687","","0","Jawali","Kangra"
