"Name","Phone","Rating","Votes","Locality","City"
"Elation Pharma","","","0","","Kangra"
"Face 3 Unisex Hair Spa Salon","+ 91  8684460562","","0","Jawali","Kangra"
"Globus Care Pharma","+ 91  18948158098","3.9","4","","Kangra"
"Ganpati Pharma","+ 91  7919197717","","0","","Kangra"
"City Automobiles 2","+ 91  18996079990","4.5","4","Kangra Ho","Kangra"
"Divine Pharma","","4.0","1","Jassur","Kangra"
"Dixon Pharma","+ 91  9834018260","","0","Sansarpur Terrace","Kangra"
"4 Seasons","+ 91  8297862221","5.0","4","Raja Ka Talab","Kangra"
"Idea Distributor Point","+ 91  9813263214","4.2","10","Daulatpur","Kangra"
"Care 4 You Healthcare","+ 91  8917673965","5.0","2","Palampur","Kangra"
"Ans Pharma","+ 91  9451333697","3.0","2","Palampur","Kangra"
"Aditya Pharma","+ 91  947871739","5.0","4","","Kangra"
"Ans Pharma","+ 91  9435145329","3.0","2","Palampur","Kangra"
"Divine Pharma","","4.0","1","Jassur","Kangra"
"Aditya Pharma","+ 91  9425206422","5.0","4","","Kangra"
"Dixon Pharma","+ 91  9868139883","","0","Sansarpur Terrace","Kangra"
"Hpscsc Indane Distributor","+ 91  018972863140","5.0","1","Baijnath","Kangra"
"Globus Care Pharma","+ 91  18977760675","3.9","4","","Kangra"
"Ganpati Pharma","+ 91  7929760447","","0","","Kangra"
"Divine Pharma","","4.0","1","Jassur","Kangra"
"Herbalife Distributor Or Products For Weight Lose Or Gain","+ 91  8863723252","5.0","2","","Kangra"
"Kapoor Pharma Store Cure","+ 91  914373747","4.8","3","Dhameta","Kangra"
"Aditya Pharma","+ 91  9419985198","5.0","4","","Kangra"
"Ganpati Pharma","+ 91  7938918431","","0","","Kangra"
"Divine Pharma","","4.0","1","Jassur","Kangra"
"Globus Care Pharma","+ 91  18975524140","3.9","4","","Kangra"
"Ans Pharma","+ 91  9431170043","3.0","2","Palampur","Kangra"
"Globus Care Pharma","+ 91  18987141255","3.9","4","","Kangra"
"Ans Pharma","+ 91  9421871838","3.0","2","Palampur","Kangra"
"Way 2 My Shop","+ 91  7090921913","4.0","2","Near Sbi","Kangra"
"Himvet Pharma","+ 91  8666149506","","0","Near Shree Balaji Hospital","Kangra"
"Elation Pharma","","","0","","Kangra"
"Shankar Board Processors Unit 2","+ 91  9265715681","4.0","2","","Kangra"
"Kapoor Pharma Store Cure","+ 91  9190910662","4.8","3","Dhameta","Kangra"
"Dixon Pharma","+ 91  9881006640","","0","Sansarpur Terrace","Kangra"
"Aditya Pharma","+ 91  9444213788","5.0","4","","Kangra"
"Dream 2 Photo Studio","+ 91  888710159","","0","Kardiana","Kangra"
"Dixon Pharma","+ 91  987587607","","0","Sansarpur Terrace","Kangra"
"Kapoor Pharma Store Cure","+ 91  9173523148","4.8","3","Dhameta","Kangra"
"Ans Pharma","+ 91  9412328038","3.0","2","Palampur","Kangra"
"5 Fulli Gardens","+ 91  8615963760","","0","Shahpur","Kangra"
"Divine Pharma","","4.0","1","Jassur","Kangra"
"Image 3 Luxry Salon","+ 91  9876176269","4.3","7","Jawali","Kangra"
"Dewan Krishana Distributor","+ 91  704536518","5.0","6","Nagrota Bagwan","Kangra"
"Kapoor Pharma Store Cure","+ 91  919061575","4.8","3","Dhameta","Kangra"
"Kapoor Pharma Store Cure","+ 91  9116492987","4.8","3","Dhameta","Kangra"
"Aditya Pharma","+ 91  9420037631","5.0","4","","Kangra"
"Herbalife Independent Distributor","+ 91  9493794611","4.7","6","Jawalamukhi","Kangra"
"Elation Pharma","","","0","","Kangra"
"Globus Care Pharma","+ 91  18969161710","3.9","4","","Kangra"
