"Name","Phone","Rating","Votes","Locality","City"
"Jariyal Dairy Farm","+ 91  9854733327","","0","Sansarpur Terrace","Kangra"
"Talwar Dairy Farm","+ 91  9430759480","3.9","33","Talwar","Kangra"
"Sonu Dairy","+ 91  9469232783","4.4","19","Bhawarna","Kangra"
"Sonu Dairy","+ 91  9480845528","4.4","19","Bhawarna","Kangra"
"Nagpal Dairy","+ 91  8850856823","4.8","10","Palampur","Kangra"
"Talwar Dairy Farm","+ 91  9472362980","3.9","33","Talwar","Kangra"
"Shruti Dairy And Confectionery","+ 91  9465430674","5.0","4","Nehran Pukhar","Kangra"
"Sonu Dairy","+ 91  9485876667","4.4","19","Bhawarna","Kangra"
"Shruti Dairy And Confectionery","+ 91  9438085165","5.0","4","Nehran Pukhar","Kangra"
"Sonu Dairy","+ 91  9414833096","4.4","19","Bhawarna","Kangra"
"University Dairy Farm","+ 91  9471701441","","0","Auc Palampur","Kangra"
"Baba Dairy And Restaurant","+ 91  9829738674","4.2","114","Panchrukhi","Kangra"
"Dhauladhar Farms","+ 91  9879486106","4.5","27","Narwana","Kangra"
"Apni Dudh Dairy","+ 91  7074158356","5.0","3","Nagrota Surian","Kangra"
"Surindera Farm","+ 91  7034917727","3.6","39","Kandrori","Kangra"
"Baba Dairy And Restaurant","+ 91  9893706586","4.2","114","Panchrukhi","Kangra"
"Tanmay Dairy And Restaurants","+ 91  9879130398","4.7","9","Tanda","Kangra"
"C S Pathania Farms","+ 91  9852508098","3.9","64","","Kangra"
"Talwar Dairy Farm","+ 91  9432229277","3.9","33","Talwar","Kangra"
"Thakur Dairy Farm","+ 91  9782181070","3.9","23","Alampur","Kangra"
"Apni Dudh Dairy","+ 91  7034125707","5.0","3","Nagrota Surian","Kangra"
"4 Seasons","+ 91  8280757275","5.0","4","Raja Ka Talab","Kangra"
"Sai Dairy And Disposable Work New Kartar Market Shahpur","+ 91  8824248509","3.4","18","Shahpur","Kangra"
"Rana Farm","+ 91  9445780982","2.8","2","Nurpur","Kangra"
"Sharma Dairy Fatehpur","+ 91  887955022","4.5","6","","Kangra"
"Peepal Farm","+ 91  9979152265","4.3","92","","Kangra"
"Sai Dairy And Disposable Work New Kartar Market Shahpur","+ 91  8841709766","3.4","18","Shahpur","Kangra"
"Sai Dairy And Disposable Work New Kartar Market Shahpur","+ 91  8865997544","3.4","18","Shahpur","Kangra"
"Thakur Dairy Farm","+ 91  978620491","3.9","23","Alampur","Kangra"
"Thakur Dairy Farm","+ 91  9748211635","3.9","23","Alampur","Kangra"
"Shruti Dairy And Confectionery","+ 91  9493339513","5.0","4","Nehran Pukhar","Kangra"
"Thakur Dairy Farm","+ 91  9748203818","3.9","23","Alampur","Kangra"
"Nagpal Dairy","+ 91  8841814531","4.8","10","Palampur","Kangra"
"Talwar Dairy Farm","+ 91  9422937842","3.9","33","Talwar","Kangra"
"Thakur Dairy Farm","+ 91  9780294584","3.9","23","Alampur","Kangra"
"Image 3 Luxry Salon","+ 91  9817821406","4.3","7","Jawali","Kangra"
"Baba Dairy And Restaurant","+ 91  9819479154","4.2","114","Panchrukhi","Kangra"
"Sharma Dairy Fatehpur","+ 91  8897066050","4.5","6","","Kangra"
"Nagpal Dairy","+ 91  8830794809","4.8","10","Palampur","Kangra"
"Baba Dairy And Restaurant","+ 91  9834557750","4.2","114","Panchrukhi","Kangra"
"Baba Dairy And Restaurant","+ 91  989170247","4.2","114","Panchrukhi","Kangra"
"Tanmay Dairy And Restaurants","+ 91  9832688448","4.7","9","Tanda","Kangra"
"Nagpal Dairy","+ 91  8882014787","4.8","10","Palampur","Kangra"
"Apni Dudh Dairy","+ 91  7022781156","5.0","3","Nagrota Surian","Kangra"
"Tanmay Dairy And Restaurants","+ 91  9844901013","4.7","9","Tanda","Kangra"
"Shruti Dairy And Confectionery","+ 91  9497172384","5.0","4","Nehran Pukhar","Kangra"
"Sai Dairy And Disposable Work New Kartar Market Shahpur","+ 91  8885985921","3.4","18","Shahpur","Kangra"
"Apni Dudh Dairy","+ 91  7019767931","5.0","3","Nagrota Surian","Kangra"
"Tanmay Dairy And Restaurants","+ 91  9887175107","4.7","9","Tanda","Kangra"
"Talwar Dairy Farm","+ 91  9420746382","3.9","33","Talwar","Kangra"
