"Name","Phone","Rating","Votes","Locality","City"
"Kisan Agro Product Industries","+ 91  18978085623","4.0","1","Palampur","Kangra"
"Talwar Dairy Farm","+ 91  9425234618","3.9","33","Talwar","Kangra"
"Kisan Agro Product Industries","+ 91  18963076781","4.0","1","Palampur","Kangra"
"Baba Dairy And Restaurant","+ 91  9882517335","4.2","114","Panchrukhi","Kangra"
"Thakur Dairy Farm","+ 91  9732520163","3.9","23","Alampur","Kangra"
"Maa Brijeshwari Power Products","+ 91  9121793302","4.8","25","Gaggal","Kangra"
"Maa Brijeshwari Power Products","+ 91  9193527742","4.8","25","Gaggal","Kangra"
"International Marketing Company- Herbal Products","","","0","","Kangra"
"Garden Fruit Products","+ 91  9411820641","4.7","26","","Kangra"
"Thakur Dairy Farm","+ 91  9777755019","3.9","23","Alampur","Kangra"
"International Marketing Company- Herbal Products","","","0","","Kangra"
"Maa Brijeshwari Power Products","+ 91  9673512832","4.8","25","Gaggal","Kangra"
"Maa Brijeshwari Power Products","+ 91  9657591216","4.8","25","Gaggal","Kangra"
"Talwar Dairy Farm","+ 91  9447542684","3.9","33","Talwar","Kangra"
"Thakur Dairy Farm","+ 91  9737111144","3.9","23","Alampur","Kangra"
"Maa Brijeshwari Power Products","+ 91  9686339782","4.8","25","Gaggal","Kangra"
"Maa Brijeshwari Power Products","+ 91  9163659379","4.8","25","Gaggal","Kangra"
"International Marketing Company- Herbal Products","","","0","","Kangra"
"Talwar Dairy Farm","+ 91  9431932309","3.9","33","Talwar","Kangra"
"Baba Dairy And Restaurant","+ 91  981644499","4.2","114","Panchrukhi","Kangra"
"Baba Dairy And Restaurant","+ 91  9888429803","4.2","114","Panchrukhi","Kangra"
"Garden Fruit Products","+ 91  9458765003","4.7","26","","Kangra"
"International Marketing Company- Herbal Products","","","0","","Kangra"
"Shruti Dairy And Confectionery","+ 91  9469771026","5.0","4","Nehran Pukhar","Kangra"
"Talwar Dairy Farm","+ 91  9493966852","3.9","33","Talwar","Kangra"
"Maa Brijeshwari Power Products","+ 91  9617305068","4.8","25","Gaggal","Kangra"
"Maa Brijeshwari Power Products","+ 91  91745679","4.8","25","Gaggal","Kangra"
"Kisan Agro Product Industries","+ 91  18981420856","4.0","1","Palampur","Kangra"
"Herbalife Distributor Or Products For Weight Lose Or Gain","+ 91  8851894559","5.0","2","","Kangra"
"Baba Dairy And Restaurant","+ 91  9876292347","4.2","114","Panchrukhi","Kangra"
"Thakur Dairy Farm","+ 91  9772513928","3.9","23","Alampur","Kangra"
"Shruti Dairy And Confectionery","+ 91  9498329357","5.0","4","Nehran Pukhar","Kangra"
"Maa Brijeshwari Power Products","+ 91  9184353487","4.8","25","Gaggal","Kangra"
"Baba Dairy And Restaurant","+ 91  9848695361","4.2","114","Panchrukhi","Kangra"
"Herbalife Distributor Or Products For Weight Lose Or Gain","+ 91  8875722760","5.0","2","","Kangra"
"Garden Fruit Products","+ 91  9440606159","4.7","26","","Kangra"
"Garden Fruit Products","+ 91  9466351104","4.7","26","","Kangra"
"Shruti Dairy And Confectionery","+ 91  9484699459","5.0","4","Nehran Pukhar","Kangra"
"Maa Brijeshwari Power Products","+ 91  9610395418","4.8","25","Gaggal","Kangra"
"Shruti Dairy And Confectionery","+ 91  9481443954","5.0","4","Nehran Pukhar","Kangra"
"Kisan Agro Product Industries","+ 91  18923413030","4.0","1","Palampur","Kangra"
"Image 3 Luxry Salon","+ 91  986016028","4.3","7","Jawali","Kangra"
"Herbalife Distributor Or Products For Weight Lose Or Gain","+ 91  8830200640","5.0","2","","Kangra"
"Talwar Dairy Farm","+ 91  9439550585","3.9","33","Talwar","Kangra"
"International Marketing Company- Herbal Products","","","0","","Kangra"
"Garden Fruit Products","+ 91  9493560818","4.7","26","","Kangra"
"Herbalife Distributor Or Products For Weight Lose Or Gain","+ 91  8836217555","5.0","2","","Kangra"
"Herbalife Distributor Or Products For Weight Lose Or Gain","+ 91  8862454886","5.0","2","","Kangra"
"Kisan Agro Product Industries","+ 91  18945438240","4.0","1","Palampur","Kangra"
"Thakur Dairy Farm","+ 91  9738516390","3.9","23","Alampur","Kangra"
