"Name","Phone","Rating","Votes","Locality","City"
"7-Shops Communication","+ 91  9763595125","3.7","409","Jassur","Kangra"
"Music Waves Dj Shop","+ 91  9196918675","4.9","14","Purba","Kangra"
"Verma Garments Shop","+ 91  6237206724","4.7","6097","Dharer","Kangra"
"Walia Kirana Store","+ 91  9853809004","4.6","14","","Kangra"
"Sr Kirana Store","+ 91  9866652835","","0","","Kangra"
"Gian Chand Chicken Shop","+ 91  9876527531","3.9","176","Bhawarna","Kangra"
"Bhagya Laxmi Dairy & Sweet Shop","+ 91  9836413928","5.0","1","Gaggal","Kangra"
"Neetu Kirana Store","+ 91  946296702","4.0","1","Jassur","Kangra"
"Jai Ambay Traders","+ 91  7046895315","4.4","21","Pirsaluhi","Kangra"
"Kalka hollow block industry& Rajeev BROS hardware shop","+ 91  9184149516","3.5","2","Kangra Town","Kangra"
"Upkaar Dairy","+ 91  9379191513","4.5","14","Civil Lines","Ludhiana"
"Bedi Karyana Store","+ 91  8086889734","4.8","10","Paprola","Kangra"
"Sonu Dairy","+ 91  9457253575","4.4","19","Bhawarna","Kangra"
"Anil General Store","+ 91  9882731942","3.0","1","Nurpur","Kangra"
"Baldev Bakers","+ 91  7818599461","3.3","2","Tanda","Kangra"
"Bawalia General Store","+ 91  8839573071","","0","Kangra Ho","Kangra"
"Patanjali Retail Shop","+ 91  9412608345","4.8","6","Palampur","Kangra"
"Daily Needs Karyana Store","+ 91  9817802829","4.5","4","Daroh","Kangra"
"Koundal Departmental Store","+ 91  9886249196","","0","Tanda","Kangra"
"7-Shops Communication","+ 91  9767855139","3.7","409","Jassur","Kangra"
"Sael Sweet Shop","+ 91  8815164545","","0","Kangra HO","Kangra"
"Lakshmi Dairy & Sweets","+ 91  18937657759","5.0","1","Gaggal","Kangra"
"Vikas General Store","+ 91  9882618169","5.0","2","Pahra","Kangra"
"Vro Enterprises","+ 91  9164419754","3.9","56","Kalyan City","Mumbai"
"FORTUNATO Online Grocery Store -D V Traders","+ 91  018956004688","5.0","1","Nagrota Bagwan","Kangra"
"Baba Dairy And Restaurant","+ 91  9877141623","4.2","114","Panchrukhi","Kangra"
"Robbin Marketing","+ 91  019778669091","5.0","2","Nehran Pukhar","Kangra"
"Verma Garments Shop","+ 91  6251266515","4.7","6097","Dharer","Kangra"
"Parkashchand And Sons","+ 91  18946810080","5.0","1","Baijnath","Kangra"
"Contro Rate Ration Shop","+ 91  9860127621","5.0","8","","Kangra"
"Deepak Enterprises","+ 91  7825952025","","0","Kangra HO","Kangra"
"Jai Sidh Baba Steel & Aluminium Work Shop","+ 91  9177975295","5.0","9","Nagrota Surian","Kangra"
"Gian Chand Chicken Shop","+ 91  9827741425","3.9","176","Bhawarna","Kangra"
"7-Shops Communication","+ 91  9759425748","3.7","409","Jassur","Kangra"
"Patanjali Retail Shop","+ 91  9498526823","4.8","6","Palampur","Kangra"
"Virender Kariyana Store","+ 91  7053868048","4.1","19","Haripur","Kangra"
"Nagpal Dairy","+ 91  8810697168","4.8","10","Palampur","Kangra"
"Kaku Dairy","+ 91  9462673145","5.0","1","Kangra Ho","Kangra"
"Fair Price Shop Ratan Lal","+ 91  8698317344","3.5","18","Salan","Kangra"
"Sai Dairy And Disposable Work New Kartar Market Shahpur","+ 91  8854510134","3.4","18","Shahpur","Kangra"
"Neeju Grocery Shop","+ 91  9465334298","3.8","41","Deogram","Kangra"
"Ananya Trading Co Colour World A Complete Paint Shop","+ 91  703639025","4.8","10","","Kangra"
"Sudershan Kumar & Bros","+ 91  018991916882","5.0","1","Jassur","Kangra"
"Ramna Mishra Patanjali General Store","+ 91  9482119566","3.8","33","Palampur","Kangra"
"Kajal Dairy","+ 91  891244798","","0","Kangra Ho","Kangra"
"Bhagya Laxmi Dairy & Sweet Shop","+ 91  9876014655","5.0","1","Gaggal","Kangra"
"Shop N Shop Mart","+ 91  7990381915","","0","Bagli","Kangra"
"Kailash Provision Stores","+ 91  018984212707","5.0","1","Palampur","Kangra"
"Vishal Krayana Store","+ 91  9851344800","3.0","1","Nurpur","Kangra"
"Patanjali Retail Shop","+ 91  9493907609","4.8","6","Palampur","Kangra"
"Shamsher Daily Store","+ 91  7584029926","5.0","9","Palampur","Kangra"
"kumar general store","+ 91  9843248325","","0","Kangra Ho","Kangra"
"Naag Supermarket","+ 91  9838280432","5.0","16","Kharuhal","Kangra"
"Raman Photo Shop","+ 91  912511863","3.9","70","Palampur","Kangra"
"Ajay Daily Needs Store","+ 91  18917285228","3.6","3","Nehran Pukhar","Kangra"
"Gian Chand Chicken Shop","+ 91  987237902","3.9","176","Bhawarna","Kangra"
"Kalka hollow block industry& Rajeev BROS hardware shop","+ 91  9117705576","3.5","2","Kangra Town","Kangra"
"Raju Karyana Store","+ 91  9422621410","3.0","1","Nurpur","Kangra"
"Gian Chand Chicken Shop","+ 91  9870093263","3.9","176","Bhawarna","Kangra"
"Yashraj Mega Mart","+ 91  9826534700","4.3","50","Nagrota Bagwan","Kangra"
"Kangra Green Tea - Tea Leaves","+ 91  9923273937","4.1","5","Palampur","Kangra"
"Devinder Kumar Kapil Kumar","+ 91  9711345342","4.8","28","Paprola","Kangra"
"Kalka hollow block industry& Rajeev BROS hardware shop","+ 91  9127134239","3.5","2","Kangra Town","Kangra"
"Kaka General Store","+ 91  9810685669","4.1","21","","Kangra"
"Neeraj Karyana Store","+ 91  9728457201","4.2","12","Hatwas","Kangra"
"Sunil Jasrotia Grocery Store","+ 91  9726215413","4.2","10","Hatwas","Kangra"
"Tanmay Dairy And Restaurants","+ 91  9871558714","4.7","9","Tanda","Kangra"
"Raman Photo Shop","+ 91  9174032873","3.9","70","Palampur","Kangra"
"Raman Photo Shop","+ 91  9137859929","3.9","70","Palampur","Kangra"
"Verma Garments Shop","+ 91  6229524704","4.7","6097","Dharer","Kangra"
"Suresh Mega Mart","+ 91  18949332356","4.0","250","Gaggal","Kangra"
"Anand Store","+ 91  18926294675","4.3","92","Nagrota Bagwan","Kangra"
"Mata Baglamukhi General Store","+ 91  8394006202","4.1","14","Kathog","Kangra"
"Gholi Jariyal Sweet Shop","+ 91  18930098143","0.7","2","Fatehpur","Kangra"
"Pammu Di Hatti","+ 91  9878700239","4.6","13","Bhawarna","Kangra"
"Chamunda","+ 91  8620874216","4.7","23","Paddar","Kangra"
"Aman General Store","+ 91  9814897390","1.0","1","Bhadwar","Kangra"
"Deepak Karyana Store","+ 91  9759778834","3.0","1","Nurpur","Kangra"
"Walia Daily Needs","+ 91  9871552128","5.0","2","","Kangra"
"Music Waves Dj Shop","+ 91  9180956395","4.9","14","Purba","Kangra"
"Shashi Pal & Bros.","+ 91  9874332835","3.5","39","Indora","Kangra"
"Rahul Chat Bhandar","+ 91  8225977461","5.0","2","","Kangra"
"Verma Garments Shop","+ 91  6224193320","4.7","6097","Dharer","Kangra"
"Ramba General Store","+ 91  9373599179","3.0","2","Saliana","Kangra"
"Contro Rate Ration Shop","+ 91  9872560759","5.0","8","","Kangra"
"Sood Bakes &  Confectionery  Paprola","+ 91  9877189393","4.5","1","Paprola","Kangra"
"Hi-FI Corner","+ 91  9499633439","5.0","1","Baijnath","Kangra"
"Shiva Dairy","+ 91  8849187320","4.5","1","Palampur","Kangra"
"Talwar Dairy Farm","+ 91  9455545495","3.9","33","Talwar","Kangra"
"Tara Chand Sant Ram","+ 91  9831691765","4.5","1","Maranda","Kangra"
"Bhagya Laxmi Dairy & Sweet Shop","+ 91  9870479393","5.0","1","Gaggal","Kangra"
"Devinder Kumar Kapil Kumar","+ 91  9618245583","5.0","9","Paprola","Kangra"
"Dodhru -A Sabatier Village","+ 91  9484443030","3.0","4","","Kangra"
"Contro Rate Ration Shop","+ 91  9855434992","5.0","8","","Kangra"
"Gorkhu Sweets","+ 91  8284237671","5.0","1","Sunhet","Kangra"
"Music Waves Dj Shop","+ 91  9160571305","4.9","14","Purba","Kangra"
"Anita Store","+ 91  9869291034","","0","Nagrota Bagwan","Kangra"
"7-Shops Communication","+ 91  9794273442","3.7","409","Jassur","Kangra"
"Vishal Supermart","+ 91  18940897031","4.5","1","Panchrukhi","Kangra"
"Grocery Mart","+ 91  8393702713","5.0","3","Thakurdwara","Kangra"
"Sachi Dukan","+ 91  9489335282","4.6","10","Palampur","Kangra"
"Raman Photo Shop","+ 91  9149406389","3.9","70","Palampur","Kangra"
"Abhishek Departmental Store","+ 91  9832450611","","0","Matour","Kangra"
"Tilak Raj And Sons","+ 91  9429151581","4.3","3","Kangra Town","Kangra"
"Bhagya Laxmi Dairy & Sweet Shop","+ 91  9845368516","5.0","1","Gaggal","Kangra"
"S S Enterprises","+ 91  8892571082","","0","Kangra HO","Kangra"
"Patanjali Retail Shop","+ 91  9499394442","4.8","6","Palampur","Kangra"
"Jai Sidh Baba Steel & Aluminium Work Shop","+ 91  9119364869","5.0","9","Nagrota Surian","Kangra"
"D.sc Store","+ 91  7050665268","","0","Kangra HO","Kangra"
"Music Waves Dj Shop","+ 91  9187180400","4.9","14","Purba","Kangra"
"Jai Sidh Baba Steel & Aluminium Work Shop","+ 91  9184065596","5.0","9","Nagrota Surian","Kangra"
"Rana Kariyana Shop","+ 91  8975777051","3.4","20","","Kangra"
"Sohan Kirana Store","+ 91  18973101597","","0","Nagrota Bagwan","Kangra"
"Contro Rate Ration Shop","+ 91  9849160801","5.0","8","","Kangra"
"Gill (Kinti) Communication","+ 91  8973039534","","0","Nagrota Bagwan","Kangra"
"Jay Maa Petha Bhandar","+ 91  9147378157","4.0","2","Gaggal","Kangra"
"Jai Sidh Baba Steel & Aluminium Work Shop","+ 91  9197586424","5.0","9","Nagrota Surian","Kangra"
"Kalka hollow block industry& Rajeev BROS hardware shop","+ 91  9148937985","3.5","2","Kangra Town","Kangra"
"Charu Confectionery","+ 91  864547800","","0","Kangra Town","Kangra"
"Sonu Vegetable And Kirana Shop","+ 91  9860137371","4.5","4","Nr Kali Mata Mandir","Kangra"
