"Name","Phone","Rating","Votes","Locality","City"
"Way 2 My Shop","+ 91  7042840756","4.0","2","Near Sbi","Kangra"
"VK Medicines","+ 91  986587552","5.0","1","Lanj","Kangra"
"City Automobiles 2","+ 91  18937867019","4.5","4","Kangra Ho","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8235493857","4.7","8","Panchrukhi","Kangra"
"Goswami Medicines Store","+ 91  8656225970","5.0","1","Jawalamukhi","Kangra"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  9469516636","5.0","1","Kangra Ho","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8246565636","4.7","8","Panchrukhi","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9869220071","4.9","31","Baijnath","Kangra"
"VK Medicines","+ 91  9868841205","5.0","1","Lanj","Kangra"
"Dogra Manufacturers  & Traders","+ 91  7051507051","4.9","4"," Town","Kangra"
"Goswami Medicines Store","+ 91  8661068562","5.0","1","Jawalamukhi","Kangra"
"Goswami Medicines Store","+ 91  8654161261","5.0","1","Jawalamukhi","Kangra"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  9420779310","5.0","1","Kangra Ho","Kangra"
"Dr Garg Clinic Medicine","+ 91  9880522794","4.8","9","Pathiar","Kangra"
"R G Manufacturers","+ 91  9429953084","5.0","5","Nagrota Bagwan","Kangra"
"Baba Hawai Chappal Manufacturers","+ 91  9151627339","5.0","1","Kangra Town","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9860173944","4.9","31","Baijnath","Kangra"
"Image 3 Luxry Salon","+ 91  9868339630","4.3","7","Jawali","Kangra"
"Face 3 Unisex Hair Spa Salon","+ 91  8679686221","","0","Jawali","Kangra"
"All Medicine Store","+ 91  9434285189","5.0","2","Baijnath","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8424302234","5.0","2","Sansarpur Terrace","Kangra"
"Shankar Board Processors Unit 2","+ 91  9297362496","4.0","2","","Kangra"
"Goswami Medicines Store","+ 91  8622767513","5.0","1","Jawalamukhi","Kangra"
"VK Medicines","+ 91  9841774724","5.0","1","Lanj","Kangra"
"Dr Garg Clinic Medicine","+ 91  986456718","4.8","9","Pathiar","Kangra"
"All Medicine Store","+ 91  9467096524","5.0","2","Baijnath","Kangra"
"Dr Garg Clinic Medicine","+ 91  9870551159","4.8","9","Pathiar","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9858441574","4.9","31","Baijnath","Kangra"
"Dr Garg Clinic Medicine","+ 91  989022284","4.8","9","Pathiar","Kangra"
"Dr Garg Clinic Medicine","+ 91  9841675164","4.8","9","Pathiar","Kangra"
"Care 4 You Healthcare","+ 91  8944919408","5.0","2","Palampur","Kangra"
"4 Seasons","+ 91  8234893952","5.0","4","Raja Ka Talab","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8461569099","5.0","2","Sansarpur Terrace","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8480421679","5.0","2","Sansarpur Terrace","Kangra"
"Jack Cement Block & Tile Manufacturers","+ 91  9620893490","3.5","2","Dehra","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8469488522","5.0","2","Sansarpur Terrace","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  9819548161","4.9","31","Baijnath","Kangra"
"Himalayan Heal Ayurvedic Medicine Manufacturer","+ 91  8421685506","5.0","2","Sansarpur Terrace","Kangra"
"Pankaj Dhiman Manufacturer Pvc Aluminium","+ 91  9132915263","3.5","2","Shahpur","Kangra"
"5 Fulli Gardens","+ 91  8660954503","","0","Shahpur","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8249386689","4.7","8","Panchrukhi","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8211504341","4.7","8","Panchrukhi","Kangra"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  9429260126","5.0","1","Kangra Ho","Kangra"
"Shiv Shakti Acharya Medicine Shoppe","+ 91  9498970055","5.0","1","Kangra Ho","Kangra"
"G. S. R Medicines","+ 91  9410387459","","0","Rait","Kangra"
"All Medicine Store","+ 91  9418730463","5.0","2","Baijnath","Kangra"
"Tarunum Copy Manufacturers","+ 91  983365558","5.0","20","Nagrota Bagwan","Kangra"
"Sheela Clinic Of Electro Homeopathic Medicine","+ 91  983190324","4.9","31","Baijnath","Kangra"
"All Medicine Store","+ 91  9426320921","5.0","2","Baijnath","Kangra"
"Pammit Health Care Physiotherapy Laboratory Medicines","+ 91  8214631943","4.7","8","Panchrukhi","Kangra"
