"Name","Phone","Rating","Votes","Locality","City"
"Baldev Kathua Oil Distributors","+ 91  9920188599","","0","Kathua Industrial Estate","Kathua"
"Aneja Food Products","+ 91  19244254387","","0","Kathua HO","Kathua"
"Ma Ambika Dairy Form Milk Product","+ 91  912290095","","0","Marheen","Kathua"
"Nbi 2 News","+ 91  9073300159","5.0","4","Kathua HO","Kathua"
"Godrej Consumer Products Ltd","+ 91  9496540784","4.0","5","Hatli","Kathua"
"Baldev Kathua Oil Distributors","+ 91  992951066","","0","Kathua Industrial Estate","Kathua"
"Baba Balaknath Products","+ 91  9527092328","5.0","10","Opposite Shiv Mandir","Kathua"
"Aneja Food Products","+ 91  19258405428","","0","Kathua HO","Kathua"
"Mother  Dairy","+ 91  9012048546","3.5","2","Kathua HO","Kathua"
"Ma Ambika Dairy Form Milk Product","+ 91  9127089736","","0","Marheen","Kathua"
"Baldev Kathua Oil Distributors","+ 91  991414025","","0","Kathua Industrial Estate","Kathua"
"Sharma Dairy","+ 91  9721585008","","0","Kathua HO","Kathua"
"Sonu Dairy Food Shop","+ 91  7022278165","4.5","1","Kathua HO","Kathua"
"Mother  Dairy","+ 91  9012599160","3.5","2","Kathua HO","Kathua"
"Sharma Dairy","+ 91  9777574957","","0","Kathua HO","Kathua"
"Daugu dairy","+ 91  9117625895","","0","Kathua HO","Kathua"
"Daugu dairy","+ 91  9124471246","","0","Kathua HO","Kathua"
"Sonu Dairy Food Shop","+ 91  7047514919","4.5","1","Kathua HO","Kathua"
"Daugu dairy","+ 91  911362958","","0","Kathua HO","Kathua"
"Sharma Dairy","+ 91  9731414058","","0","Kathua HO","Kathua"
"Godrej Consumer Products Ltd","+ 91  9419138010","4.0","5","Hatli","Kathua"
"Aneja Food Products","+ 91  19272293869","","0","Kathua HO","Kathua"
"Sharma Dairy","+ 91  9723007491","","0","Kathua HO","Kathua"
"Godrej Consumer Products Ltd","+ 91  9465940246","4.0","5","Hatli","Kathua"
"Mother  Dairy","+ 91  9084119525","3.5","2","Kathua HO","Kathua"
"Sonu Dairy Food Shop","+ 91  7010530540","4.5","1","Kathua HO","Kathua"
"Baba Balaknath Products","+ 91  9591772534","5.0","10","Opposite Shiv Mandir","Kathua"
"Baba Balaknath Products","+ 91  9586033536","5.0","10","Opposite Shiv Mandir","Kathua"
"Baldev Kathua Oil Distributors","+ 91  9979065258","","0","Kathua Industrial Estate","Kathua"
"Chouhan Milk Dairy","+ 91  7785005370","","0","Kathua","Kathua"
"Sharma Dairy","+ 91  9720763500","","0","Kathua HO","Kathua"
"Mother  Dairy","+ 91  9022452484","3.5","2","Kathua HO","Kathua"
"Daugu dairy","+ 91  9157100316","","0","Kathua HO","Kathua"
"Baldev Kathua Oil Distributors","+ 91  9946863917","","0","Kathua Industrial Estate","Kathua"
"Nik 2 Creationz","+ 91  9038870224","4.0","62","","Kathua"
"Ma Ambika Dairy Form Milk Product","+ 91  9192688036","","0","Marheen","Kathua"
"Godrej Consumer Products Ltd","+ 91  9491421423","4.0","5","Hatli","Kathua"
"Baba Balaknath Products","+ 91  9561822653","5.0","10","Opposite Shiv Mandir","Kathua"
"Aneja Food Products","+ 91  19286963711","","0","Kathua HO","Kathua"
"Mother  Dairy","+ 91  9085110687","3.5","2","Kathua HO","Kathua"
"Ma Ambika Dairy Form Milk Product","+ 91  9145233481","","0","Marheen","Kathua"
"Ma Ambika Dairy Form Milk Product","+ 91  9187175866","","0","Marheen","Kathua"
"Sonu Dairy Food Shop","+ 91  7059861973","4.5","1","Kathua HO","Kathua"
"Baba Balaknath Products","+ 91  9588543047","5.0","10","Opposite Shiv Mandir","Kathua"
"Chouhan Milk Dairy","+ 91  77302297","","0","Kathua","Kathua"
"Sonu Dairy Food Shop","+ 91  7056086589","4.5","1","Kathua HO","Kathua"
"Chouhan Milk Dairy","+ 91  7720252525","","0","Kathua","Kathua"
"Aneja Food Products","+ 91  1921343833","","0","Kathua HO","Kathua"
"Godrej Consumer Products Ltd","+ 91  9459836447","4.0","5","Hatli","Kathua"
"Chouhan Milk Dairy","+ 91  775087953","","0","Kathua","Kathua"
