"Name","Phone","Rating","Votes","Locality","City"
"Radha Kariana Store","+ 91  9733667288","","0","Kathua HO","Kathua"
"Mahajan Grocery Store","+ 91  981823148","5.0","1","Kathua HO","Kathua"
"Sultan Juice Corner","+ 91  8024809522","","0","Kathua","Kathua"
"Mother  Dairy","+ 91  9078316921","3.5","2","Kathua HO","Kathua"
"Vijay Kariayana Shops","+ 91  9581443375","","0","Kathua HO","Kathua"
"Lucky General Shop","+ 91  9437446101","","0","Kathua","Kathua"
"Super Grocery Store","+ 91  9825029221","4.8","2","Kathua HO","Kathua"
"Dhadwal Groceries","+ 91  9071003027","","0","Kathua Ho","Kathua"
"Sar Hardware","+ 91  9986511684","4.1","42","Palli","Kathua"
"Sanju General Store","+ 91  7018252539","","0","Kathua HO","Kathua"
"Motuindia Retail STORE","+ 91  9780559320","5.0","2","Kathua HO","Kathua"
"Raj Chicken Shop Corner","+ 91  7023212426","","0","Kathua","Kathua"
"Sunil Dairy Farm","+ 91  8436940015","","0","Jammu & Kashmir","Kathua"
"Ss kraiyana Store","+ 91  9193935690","","0","Kathua HO","Kathua"
"Chouhan Milk Dairy","+ 91  7762901421","","0","Kathua","Kathua"
"Sharma Juice","+ 91  6031138170","","0","Kathua","Kathua"
"Gupta Grocery Store","+ 91  9013979303","","0","Kathua HO","Kathua"
"Sonu Dairy","+ 91  9046904191","","0","Kathua","Kathua"
"Sunil Book Centre Shanu Di Hatti","+ 91  9542930708","4.3","45","","Kathua"
"Sanjeev Kariana Store","+ 91  9999233736","","0","Kathua HO","Kathua"
"Kumar Dairy","+ 91  9414419366","","0","Rajbagh","Kathua"
"Basotra General Store","+ 91  7782796587","","0","Kathua","Kathua"
"Lalotra Cosmetic & Gift Centre.","+ 91  9734480675","3.6","3","Basoli","Kathua"
"Raju General Shop","+ 91  9966658001","","0","Kathua","Kathua"
"Shashi Kariana Store","+ 91  9426768415","","0","Kathua HO","Kathua"
"Babu Grocery Store","+ 91  7833949186","","0","Kathua HO","Kathua"
"Vinod Karyana Store","","","0","Kathua HO","Kathua"
"Shiv Dairy Farmhouse","+ 91  986513190","","0","Kathua HO","Kathua"
"Thoru Ram Karyana Merchant","+ 91  1929063997","","0","Kathua HO","Kathua"
"Jai Grocery Store","+ 91  8948189364","","0","Kathua HO","Kathua"
"Mahajan Kariana Store","+ 91  9055140195","3.5","1","Kathua HO","Kathua"
