"Name","Phone","Rating","Votes","Locality","City"
"Jasrotia Medical Hall","+ 91  9425540823","3.0","1","Near Forest Campus ","Kathua"
"Ashirwaad Medicine Centre","+ 91  19248027959","","0","Kathua Ho","Kathua"
"Sudan Medical Store","+ 91  7095937823","","0","Kathua","Kathua"
"Akrit card dealer","+ 91  9014053185","","0","Kathua HO","Kathua"
"Proch Medical Hall","+ 91  9412093519","4.0","8","Parole","Kathua"
"Amandeep Battery Dealer","+ 91  9056265190","2.8","2","Kathua HO","Kathua"
"Bhawani Medicos","","3.0","1","Kathua Ho","Kathua"
"Amrit Medicos","+ 91  946577503","","0","Kathua","Kathua"
"Narsingh Medical Hall","+ 91  9141862413","","0","Ghagwal","Kathua"
"Sudan medical store","+ 91  9836819234","","0","Kathua HO","Kathua"
"Jan Aushadhi Store","+ 91  9467538276","","0","Opposite Nisha Ultrassound","Kathua"
"Pankaj Medicos","+ 91  7075121829","","0","Mini Sectt Kathua","Kathua"
"Raghu Medicous","+ 91  9497606070","4.0","10","Dialachak","Kathua"
"Arvind Medical Store","+ 91  019294474770","5.0","6","Hiranagar","Kathua"
"MAA Vaishno Chemist AND Druggist","+ 91  9774073255","","0","Kathua HO","Kathua"
"Panhotra Medical Store","","","0","Kathua Ho","Kathua"
"Simran Medical Store","+ 91  9844030635","","0","Kathua HO","Kathua"
"Ganesh Medical Store","+ 91  7883175397","5.0","5","","Kathua"
"Pride Associates","+ 91  9055349285","5.0","2","Near Kalibari Chowk Kathua","Kathua"
"Sharma Medical service","+ 91  9621051345","","0","Kathua HO","Kathua"
"Niraj Medical Store","","3.5","2","Kathua Ho","Kathua"
"Patanjali Ayurvedic Chemists","+ 91  9779243777","5.0","2","","Kathua"
"Azad Medicos","+ 91  9433244605","4.7","14","Ghagwal","Kathua"
"Janta Medical Store","+ 91  9429507877","4.5","2","Kathua HO","Kathua"
"Maa vaishno chemists and druggists","+ 91  9593082638","","0","Kathua HO","Kathua"
"Ashutosh Medicos","+ 91  943946812","4.8","8","Lakhanpur","Kathua"
"Sahil Medicos","","","0","Kathua Ho","Kathua"
"Raghav Medical Centre","+ 91  9448704215","","0","Kathua HO","Kathua"
"Malhotra Medical Hall Dingisimbli","+ 91  7268381197","","0","","Kathua"
"Sharma tile dealer","+ 91  8712402598","5.0","1","Kathua HO","Kathua"
"Thakur Property Dealer","+ 91  9051117823","5.0","1","Kathua HO","Kathua"
"Kanchan Medical Store","","","0","Kathua Ho","Kathua"
"Choudary Property Dealer","+ 91  9736208317","2.3","2","Kathua HO","Kathua"
"Ashirwaad Medicine Centre","+ 91  1926951298","","0","Kathua Ho","Kathua"
"Maa vaishno chemists","+ 91  9056111870","","0","Kathua HO","Kathua"
"Sharma Medical Store","+ 91  7241681459","","0","Kathua HO","Kathua"
"Allied Medicine Traders","+ 91  9626932779","","0","Ghagwal","Kathua"
"Padam Medicos","+ 91  9473996455","5.0","2","Ghagwal","Kathua"
"Shama Medical Hall","+ 91  9723769264","","0","Bhaddu","Kathua"
"Kumar Ice Cream Dealer","+ 91  916469074","3.5","2","Kathua HO","Kathua"
"Chowdhary Medical Store","","5.0","1","Kathua Ho","Kathua"
"Sagar Medical Store","","","0","Basoli","Kathua"
"Shree Ram Medicos","+ 91  9495025815","","0","Near  Av Adarsh School Kathua","Kathua"
"Arjun Medicine","+ 91  9815681811","","0","Kathua HO","Kathua"
"Shri Sai Medicos","+ 91  9791456382","5.0","2","Kathua Ho","Kathua"
"Amar Parkash Pharmacy","+ 91  7774842097","5.0","2","","Kathua"
"Ambika Medicos","+ 91  7060774574","5.0","2","","Kathua"
"Supreme Clinical Laboratory","+ 91  9482540657","4.0","4","Hiranagar","Kathua"
"Arvinder Medicos","+ 91  9962496119","5.0","1","Kathua Ho","Kathua"
"Jasrotia Property Dealer","+ 91  9165419293","3.5","1","Mini Sectt","Kathua"
