"Name","Phone","Rating","Votes","Locality","City"
"Downtown distributor godrej","+ 91  9853492655","","0","Kathua HO","Kathua"
"Msk 2 Resort","+ 91  9667223584","","0","Jammu & Kashmir","Kathua"
"Studio fast 5","+ 91  7043861692","","0","Kathua HO","Kathua"
"Ashirwaad Medicine Centre","+ 91  19236786346","","0","Kathua Ho","Kathua"
"Arjun Medicine","+ 91  9867483944","","0","Kathua HO","Kathua"
"Arjun Medicine","+ 91  9849418330","","0","Kathua HO","Kathua"
"Allied Medicine Traders","+ 91  9639063956","","0","Ghagwal","Kathua"
"Allied Medicine Traders","+ 91  9685894116","","0","Ghagwal","Kathua"
"Nik 2 Creationz","+ 91  9060752225","4.0","62","","Kathua"
"Ashirwaad Medicine Centre","+ 91  19220031760","","0","Kathua Ho","Kathua"
"Arjun Medicine","+ 91  9889838979","","0","Kathua HO","Kathua"
"Ashirwaad Medicine Centre","+ 91  19281186007","","0","Kathua Ho","Kathua"
"Arjun Medicine","+ 91  9882743452","","0","Kathua HO","Kathua"
"Allied Medicine Traders","+ 91  9683663425","","0","Ghagwal","Kathua"
"Downtown distributor","+ 91  9823828983","","0","Kathua HO","Kathua"
"Arjun Medicine","+ 91  9858434518","","0","Kathua HO","Kathua"
"Ashirwaad Medicine Centre","+ 91  19250782523","","0","Kathua Ho","Kathua"
"Allied Medicine Traders","+ 91  9684737891","","0","Ghagwal","Kathua"
"Nbi 2 News","+ 91  9043066460","5.0","4","Kathua HO","Kathua"
"Purvey Distributors","","","0","Jarai","Kathua"
"Baldev Kathua Oil Distributors","+ 91  9919585870","","0","Kathua Industrial Estate","Kathua"
"Allied Medicine Traders","+ 91  9669756247","","0","Ghagwal","Kathua"
"Ashirwaad Medicine Centre","+ 91  19298359355","","0","Kathua Ho","Kathua"
