"Name","Phone","Rating","Votes","Locality","City"
"Allied Medicine Traders","+ 91  9676853392","","0","Ghagwal","Kathua"
"Allied Medicine Traders","+ 91  9611351292","","0","Ghagwal","Kathua"
"Nik 2 Creationz","+ 91  9038241782","4.0","62","","Kathua"
"Arjun Medicine","+ 91  981582551","","0","Kathua HO","Kathua"
"Arjun Medicine","+ 91  9813304139","","0","Kathua HO","Kathua"
"Msk 2 Resort","+ 91  9657560392","","0","Jammu & Kashmir","Kathua"
"Studio fast 5","+ 91  7046913961","","0","Kathua HO","Kathua"
"Ujala Shampoo Manufacturer","+ 91  9688569349","","0","Kathua HO","Kathua"
"Ashirwaad Medicine Centre","+ 91  19226504264","","0","Kathua Ho","Kathua"
"Arjun Medicine","+ 91  9821321932","","0","Kathua HO","Kathua"
"Allied Medicine Traders","+ 91  961533738","","0","Ghagwal","Kathua"
"Arjun Medicine","+ 91  9846144185","","0","Kathua HO","Kathua"
"Ashirwaad Medicine Centre","+ 91  19238345332","","0","Kathua Ho","Kathua"
"Nbi 2 News","+ 91  9020558017","5.0","4","Kathua HO","Kathua"
"Allied Medicine Traders","+ 91  9634153319","","0","Ghagwal","Kathua"
"Allied Medicine Traders","+ 91  9663369020","","0","Ghagwal","Kathua"
"Ashirwaad Medicine Centre","+ 91  19282090946","","0","Kathua Ho","Kathua"
"Arjun Medicine","+ 91  9856152095","","0","Kathua HO","Kathua"
"Ashirwaad Medicine Centre","+ 91  1922141873","","0","Kathua Ho","Kathua"
"Ashirwaad Medicine Centre","+ 91  19216655900","","0","Kathua Ho","Kathua"
