"Name","Phone","Rating","Votes","Locality","City"
"Am Hyundai Kathua","+ 91  904173831","4.7","60","Jammu & Kashmir","Kathua"
"Ecom Express","+ 91  8310086114","3.9","65","Near Amrit Ett Institute","Kathua"
"Kathua Motors","+ 91  9465346197","3.3","111","","Kathua"
"Spring Dales English School Kathua","+ 91  19257420829","4.6","94","Radio Station Colony","Kathua"
"Spring Dales English School Kathua","+ 91  19255148972","4.6","94","Radio Station Colony","Kathua"
"Dr. Satish Sharma Kathua Homeopathic Clinic","+ 91  7075813129","5.0","4","Opposite Old Super Bazar","Kathua"
"Jammu & Kashmir Bank","+ 91  019226661163","4.9","8","Kathua Ho","Kathua"
"Bsnl Exchange Kathua","+ 91  19266234987","1.7","5","Kathua HO","Kathua"
"Paramount Pharma","+ 91  0192238938188","","0","Kathua Jammu","Kathua"
"Kathua Motors","+ 91  9419909566","3.3","111","","Kathua"
"District Stadium Kathua","","3.8","524","","Kathua"
"Cad Desk Jammu  Kathua","+ 91  9082688943","","0","Main Market","Kathua"
"Best Crop Science Kathua","+ 91  907093392","4.3","3","Jammu & Kashmir","Kathua"
"Kathua Motors","+ 91  948015711","3.3","111","","Kathua"
"Ecom Express","+ 91  8317500578","3.9","65","Near Amrit Ett Institute","Kathua"
"Ecom Express","+ 91  8380419823","3.9","65","Near Amrit Ett Institute","Kathua"
"State Bank Of India  Kalibari Kathua","+ 91  19272957206","3.8","15","Kothera","Kathua"
"Bsnl Exchange Kathua","+ 91  19258738721","1.7","5","Kathua HO","Kathua"
"Dr. Satish Sharma Kathua Homeopathic Clinic","+ 91  7067093719","5.0","4","Opposite Old Super Bazar","Kathua"
"Best Crop Science Kathua","+ 91  9035201586","4.3","3","Jammu & Kashmir","Kathua"
"Dr. Satish Sharma Kathua Homeopathic Clinic","+ 91  7019601185","5.0","4","Opposite Old Super Bazar","Kathua"
"Ecom Express","+ 91  8321688538","3.9","65","Near Amrit Ett Institute","Kathua"
"The Jammu And Kashmir Bank","+ 91  192500866","","0","Kathua Ho","Kathua"
"District Stadium Kathua","","3.8","524","","Kathua"
"Am Hyundai Kathua","+ 91  9052292100","4.7","60","Jammu & Kashmir","Kathua"
"Nik 2 Creationz","+ 91  9087560498","4.0","62","","Kathua"
"District Stadium Kathua","","3.8","524","","Kathua"
"Jammu Motors","+ 91  9523226038","3.4","72","Near Hatli Morh,Opposite Jk Bank","Kathua"
"Am Hyundai Kathua","+ 91  9035744107","4.7","60","Jammu & Kashmir","Kathua"
"The Jammu Kashmir Bank","+ 91  192271448538","3.5","2","Kathua Jammu","Kathua"
"Paramount Pharma","+ 91  0192278170385","","0","Kathua Jammu","Kathua"
"Bsnl Exchange Kathua","+ 91  19220452327","1.7","5","Kathua HO","Kathua"
"Bsnl Exchange Kathua","+ 91  19240278568","1.7","5","Kathua HO","Kathua"
"Paramount Pharma","+ 91  0192212115425","","0","Kathua Jammu","Kathua"
"State Bank Of India  Kalibari Kathua","+ 91  19274805655","3.8","15","Kothera","Kathua"
"Paramount Pharma","+ 91  0192275890072","","0","Kathua Jammu","Kathua"
"Am Hyundai Kathua","+ 91  9065806963","4.7","60","Jammu & Kashmir","Kathua"
"Ecom Express","+ 91  8391646812","3.9","65","Near Amrit Ett Institute","Kathua"
"State Bank Of India  Kalibari Kathua","+ 91  19226322566","3.8","15","Kothera","Kathua"
"State Bank Of India  Kalibari Kathua","+ 91  19245711061","3.8","15","Kothera","Kathua"
"Jammu & Kashmir Bank","+ 91  9927918556","","0","Surara","Kathua"
"Paramount Pharma","+ 91  0192264026109","","0","Kathua Jammu","Kathua"
"Spring Dales English School Kathua","+ 91  19258546812","4.6","94","Radio Station Colony","Kathua"
"Spring Dales English School Kathua","+ 91  1926215404","4.6","94","Radio Station Colony","Kathua"
"Kathua Motors","+ 91  946623334","3.3","111","","Kathua"
"Best Crop Science Kathua","+ 91  909293500","4.3","3","Jammu & Kashmir","Kathua"
"District Stadium Kathua","","3.8","524","","Kathua"
"Bsnl Exchange Kathua","+ 91  19249501757","1.7","5","Kathua HO","Kathua"
"District Stadium Kathua","","3.8","524","","Kathua"
"Best Crop Science Kathua","+ 91  9064964227","4.3","3","Jammu & Kashmir","Kathua"
