"Name","Phone","Rating","Votes","Locality","City"
"Rcm Products","+ 91  19986781901","","0","Katra Ho","Katra"
"Rcm Products","+ 91  19931271173","","0","Katra Ho","Katra"
"Trikuta Agro Products Pvt Ltd","+ 91  9922221619","4.3","65","","Katra"
"Trikuta Agro Products Pvt Ltd","+ 91  9929926469","4.3","65","","Katra"
"Bolly Dairy","+ 91  845732170","","0","Katra HO","Katra"
"Trikuta Agro Products Pvt Ltd","+ 91  9929976944","4.3","65","","Katra"
"Raj Dairy (Closed Down)","","","0","","Katra"
"Raj Dairy (Closed Down)","","","0","","Katra"
"Trikuta Agro Products Pvt Ltd","+ 91  9946967005","4.3","65","","Katra"
"Raj Dairy (Closed Down)","","","0","","Katra"
"Bolly Dairy","+ 91  8487683269","","0","Katra HO","Katra"
"Bolly Dairy","+ 91  8430240651","","0","Katra HO","Katra"
"Bolly Dairy","+ 91  8499540568","","0","Katra HO","Katra"
"Trikuta Agro Products Pvt Ltd","+ 91  9935170833","4.3","65","","Katra"
"Bolly Dairy","+ 91  8453862223","","0","Katra HO","Katra"
"Raj Dairy (Closed Down)","","","0","","Katra"
"Raj Dairy (Closed Down)","","","0","","Katra"
"Rcm Products","+ 91  19973209437","","0","Katra Ho","Katra"
"Rcm Products","+ 91  19989916933","","0","Katra Ho","Katra"
"Rcm Products","+ 91  19975571264","","0","Katra Ho","Katra"
