"Name","Phone","Rating","Votes","Locality","City"
"Patanjali Distributors","+ 91  9465792020","","0","Akhara Bazar","Kullu"
"Pcd Pharma Franchise By Sb Lifesciences","+ 91  9187105599","4.1","51","Panchkula Industrial Area Phase 2","Chandigarh"
"Pharma Pcd Franchise By Arrier Biotech","+ 91  17219848809","4.2","102","Mani Majra","Chandigarh"
"Patanjali Distributors","+ 91  947280107","","0","Akhara Bazar","Kullu"
"Sukh Darshan Pharmacy Pvt. Ltd.","+ 91  9178579764","4.3","14","Rai","Sonepat"
"Ravi Specialities Pharma Pvt Ltd","+ 91  043191172845","4.3","73","Ramalinganagar South","Trichy"
"Kavya Distributors","+ 91  7874114105","","0","","Kullu"
"Alish Life Savings Impex Pvt Ltd","+ 91  9158122866","3.4","13","Andheri West","Mumbai"
"Kavya Distributors","+ 91  7868869966","","0","","Kullu"
"Kavya Distributors","+ 91  781438633","","0","","Kullu"
"Kavya Distributors","+ 91  7813723123","","0","","Kullu"
"Pharma Franchisee & Manufacturing by Saksham Pharmaceuticals India Ltd","+ 91  9138886642","4.3","38","Rajiv Nagar","Delhi"
"Kavya Distributors","+ 91  7871697285","","0","","Kullu"
"Saiyla Auto Distributor","","","0","","Kullu"
"Patanjali Distributors","+ 91  9442357590","","0","Akhara Bazar","Kullu"
"Saiyla Auto Distributor","","","0","","Kullu"
"Saiyla Auto Distributor","","","0","","Kullu"
"Patanjali Distributors","+ 91  947765836","","0","Akhara Bazar","Kullu"
"Pharmahopers.com","+ 91  9137674921","4.6","113","Panchkula Sector 11","Chandigarh"
"Goutam Pharmacy","+ 91  8267162462","","0","Mall Road","Kullu"
"Pharma Franchise By Janus Biotech India Pvt Ltd","+ 91  9117084464","4.4","27","Raipur Kalan","Chandigarh"
"Patanjali Distributors","+ 91  9478115607","","0","Akhara Bazar","Kullu"
"Saiyla Auto Distributor","","","0","","Kullu"
"Bio Search Organics","+ 91  9196004313","4.5","51","Ferozepur Road","Ludhiana"
"Saiyla Auto Distributor","","","0","","Kullu"
