"Name","Phone","Rating","Votes","Locality","City"
"Dairy Gold Ice Cream","+ 91  9469550280","3.8","9","Ludhiana Ho","Ludhiana"
"Dairy Day","+ 91  7824640433","","0","Phullanwal","Ludhiana"
"Sidhu Dairy","+ 91  16164985674","5.0","56","Pakhowal Road","Ludhiana"
"Dairy Landz","+ 91  9893775410","","0","Haibowal Kalan","Ludhiana"
"Dairy Day","+ 91  9517595158","","0","Pakhowal Road","Ludhiana"
"Aggarwal Dairy Equipment Company","+ 91  9170784433","3.7","39","Ludhiana Bus Stand","Ludhiana"
"Bhangu Dairy Farm","+ 91  8152068480","3.5","34","Ayali Kalan","Ludhiana"
"Dairy Day Milk & sweet","+ 91  8240633692","4.5","1","Model Town","Ludhiana"
"Macro Dairy Farm","+ 91  8950631887","4.2","93","","Ludhiana"
"Aggarwal Dairy Equipment Company","+ 91  9123208040","3.7","39","Ludhiana Bus Stand","Ludhiana"
"Dairy Products Dealr","+ 91  9879641583","","0","","Ludhiana"
"Chopra Dairy","+ 91  9950953983","5.0","2","Sita Nagar","Ludhiana"
"Chauhan Dairy Farm","+ 91  9144080508","4.0","2","Sherpur Khurd","Ludhiana"
"Dairy","+ 91  64121879653","3.5","26","Guru Preet Nagar","Ludhiana"
"Dairy Landz","+ 91  9845415948","","0","Haibowal Kalan","Ludhiana"
"Dairy Day","+ 91  9564939092","","0","Pakhowal Road","Ludhiana"
"Malkeet Sweets Dairy & Fast Food","+ 91  7082839183","4.2","200","Sarih","Ludhiana"
"Dairy Day","+ 91  9719230615","","0","Pakhowal Road","Ludhiana"
"Dairy Day Milk & sweet","+ 91  825323904","4.5","1","Model Town","Ludhiana"
"Dairy","+ 91  6413342679","3.5","26","Guru Preet Nagar","Ludhiana"
"Dairy Toys Ice Cream","+ 91  9314772229","","0","Opposite Puri Pansari","Ludhiana"
"Dairy Day","+ 91  7898052430","","0","Phullanwal","Ludhiana"
"Dairy Group Isru","+ 91  9893981050","5.0","2","Isru","Ludhiana"
"Doctor Dairy Farm","+ 91  9535064639","3.6","17","Rajewal","Ludhiana"
"Dairy Day","+ 91  9713482166","","0","Pakhowal Road","Ludhiana"
"Dairy Group Isru","+ 91  9821813966","5.0","2","Isru","Ludhiana"
"Dairy Day","+ 91  9725799612","","0","Pakhowal Road","Ludhiana"
"Tiwana Dairy Farm Rabbon Uchi","+ 91  9433432860","4.0","26","","Ludhiana"
"Yadwindra Dairy Farm & Feed Store","+ 91  8476019193","4.0","34","Raj Guru Nagar","Ludhiana"
"Khalsa Dairy Farm","+ 91  9865204529","3.9","24","Dholan","Ludhiana"
"Dairy Landz","+ 91  9873179498","","0","Haibowal Kalan","Ludhiana"
"Dairy Gold Ice Cream","+ 91  9489278047","3.8","9","Ludhiana Ho","Ludhiana"
"Dairy Day","+ 91  9592347608","","0","Pakhowal Road","Ludhiana"
"Ks Dairy Farm Cows Buffaloes Supplier","+ 91  8113195319","4.4","8","Kaddon","Ludhiana"
"Pahadiya Dairy Farm","+ 91  9852385656","3.5","91","Hargovind Pura","Ludhiana"
"Dairy","+ 91  64188474659","3.5","26","Guru Preet Nagar","Ludhiana"
"Gill Dairy Farms","+ 91  97641043","5.0","5","","Ludhiana"
"Dairy Gold Ice Cream","+ 91  9470761220","3.8","9","Ludhiana Ho","Ludhiana"
"Chopra Dairy","+ 91  9972750814","5.0","2","Sita Nagar","Ludhiana"
"Dairy Day","+ 91  7848851541","","0","Phullanwal","Ludhiana"
