"Name","Phone","Rating","Votes","Locality","City"
"Medicine Chamber","+ 91  16194011311","4.0","2","Ludhiana Ho","Ludhiana"
"Medicine Centre","+ 91  9434103691","","0","Ghumar Mandi","Ludhiana"
"Medicine Chamber","+ 91  1613374615","4.0","2","Ludhiana Ho","Ludhiana"
"Medicine Chamber","+ 91  016139985364","","0","Bagh Khazanchian","Ludhiana"
"The Medicine Bazar","+ 91  9881501725","","0","Labour Colony","Ludhiana"
"Medicine Chamber","+ 91  16162367799","4.0","2","Ludhiana Ho","Ludhiana"
"The Medicine Bazaar","+ 91  1611955623","4.3","2","NEAR BOOKS MARKET","Ludhiana"
"The Medicine World","+ 91  16169370294","","0","Ludhiana Bus Stand","Ludhiana"
"The Medicine Bazaar","+ 91  16183208034","4.3","2","NEAR BOOKS MARKET","Ludhiana"
"The Medicine Bazar","+ 91  9842736625","","0","Labour Colony","Ludhiana"
"Medicine Chamber","+ 91  16156357425","4.0","2","Ludhiana Ho","Ludhiana"
"Medicine Traders","+ 91  16117884803","","0","Pindi Street","Ludhiana"
"Medicine Centre","+ 91  9419703114","","0","Ghumar Mandi","Ludhiana"
"Medicine Centre","+ 91  9298447431","","0","Shimlapuri","Ludhiana"
"Medicine Shoppe","+ 91  016113210108","","0","Near Bansal Hospatial","Ludhiana"
"Medicine Traders","+ 91  16110480728","","0","Ludhiana Ho","Ludhiana"
"The Medicine Bazaar","+ 91  16188959008","4.3","2","NEAR BOOKS MARKET","Ludhiana"
"Medicine Chamber","+ 91  016158899001","","0","Bagh Khazanchian","Ludhiana"
"Medicine Traders","+ 91  1619116320","","0","Pindi Street","Ludhiana"
"The Medicine Bazaar","+ 91  16160878288","4.3","2","NEAR BOOKS MARKET","Ludhiana"
"Medicine Shoppe","+ 91  016164945836","","0","Near Bansal Hospatial","Ludhiana"
"Medicine Traders","+ 91  16176097085","","0","Ludhiana Ho","Ludhiana"
"Medicine Traders","+ 91  1614522884","","0","Pindi Street","Ludhiana"
"Medicine Centre","+ 91  9432617080","","0","Ghumar Mandi","Ludhiana"
"Medicine Centre","+ 91  9262911224","","0","Shimlapuri","Ludhiana"
"Medicine Chamber","+ 91  016174228803","","0","Bagh Khazanchian","Ludhiana"
"The Medicine Bazar","+ 91  9847813831","","0","Labour Colony","Ludhiana"
"Medicine Traders","+ 91  16197870996","","0","Ludhiana Ho","Ludhiana"
"The Medicine Bazar","+ 91  9825772884","","0","Labour Colony","Ludhiana"
"The Medicine World","+ 91  16117613786","","0","Ludhiana Bus Stand","Ludhiana"
"Medicine Centre","+ 91  9254989993","","0","Shimlapuri","Ludhiana"
"Medicine Shoppe","+ 91  016117662229","","0","Near Bansal Hospatial","Ludhiana"
"Medicine Traders","+ 91  16173283183","","0","Ludhiana Ho","Ludhiana"
"Medicine Centre","+ 91  9477789581","","0","Ghumar Mandi","Ludhiana"
"The Medicine World","+ 91  16114861822","","0","Ludhiana Bus Stand","Ludhiana"
"Medicine Traders","+ 91  1614402178","","0","Pindi Street","Ludhiana"
"Medicine Chamber","+ 91  16138364035","4.0","2","Ludhiana Ho","Ludhiana"
"Medicine Traders","+ 91  1618404090","","0","Pindi Street","Ludhiana"
"Gurmail Medicine Centre","+ 91  16128074637","4.3","139","Cmc Ludhiana","Ludhiana"
"Medicine Traders","+ 91  16168167469","","0","Ludhiana Ho","Ludhiana"
"Medicine Centre","+ 91  9492701330","","0","Ghumar Mandi","Ludhiana"
"Medicine Chamber","+ 91  016171938730","","0","Bagh Khazanchian","Ludhiana"
"Gurmail Medicine Centre","+ 91  16121259872","4.3","139","Cmc Ludhiana","Ludhiana"
"Medicine Shoppe","+ 91  016181104172","","0","Near Bansal Hospatial","Ludhiana"
"Medicine Centre","+ 91  9295607691","","0","Shimlapuri","Ludhiana"
"Medicine Chamber","+ 91  016193761085","","0","Bagh Khazanchian","Ludhiana"
"The Medicine Bazar","+ 91  9894517578","","0","Labour Colony","Ludhiana"
"Medicine Centre","+ 91  9243863076","","0","Shimlapuri","Ludhiana"
"Medicine Shoppe","+ 91  016163407053","","0","Near Bansal Hospatial","Ludhiana"
"The Medicine Bazaar","+ 91  1617461392","4.3","2","NEAR BOOKS MARKET","Ludhiana"
