"Name","Phone","Rating","Votes","Locality","City"
"Cynak Healthcare","+ 91  9190230789","4.7","3","Sonipat Sector 14","Sonepat"
"Sukh Darshan Pharmacy Pvt. Ltd.","+ 91  9118536164","4.3","14","Rai","Sonepat"
"Alpic Biotech LTD","+ 91  9469256382","3.7","12","Makarba","Ahmedabad"
"Pharma Pcd Franchise By Arrier Biotech","+ 91  17228704248","4.2","102","Mani Majra","Chandigarh"
"angio life healthcare","+ 91  9179888444","4.6","26","Mani Majra","Chandigarh"
"Franklin Laboratories India Pvt Ltd","+ 91  16177962417","","0","Ludhiana Ho","Ludhiana"
"Kiama Lifesciences","+ 91  9196035397","5.0","6","Panchkula Industrial Area Phase 2","Chandigarh"
"Health Orbit Life Sciences","+ 91  953145209","","0","","Ludhiana"
"Gary Pharmaceuticals Pvt Ltd","+ 91  9857019255","4.3","4","Kohara","Ludhiana"
"Pharma Franchise By Janus Biotech India Pvt Ltd","+ 91  9159136183","4.4","27","Raipur Kalan","Chandigarh"
"Prispag Pharma","+ 91  9899991599","5.0","6","Roomi","Ludhiana"
"East-Waltz Pharmaceuticals","+ 91  016119081634","","0","Focal Point Phase 8","Ludhiana"
"Metamorf Lifesciences","+ 91  918995419","3.8","9","Mani Majra","Chandigarh"
"Shiva Pharmacy","","","0","Raj Guru Nagar","Ludhiana"
"Cosmas Research Lab Ltd (Corporate Office)","+ 91  16193056339","","0","Rishi Nagar","Ludhiana"
"Events Pharmaceuticals Pvt Ltd","+ 91  919770271","3.4","8","Ambala City","Ambala"
"Servocare Lifesciences Pvt. Ltd.","+ 91  9147838690","4.0","63","Panchkula Industrial Area Phase 1","Chandigarh"
"Alish Life Savings Impex Pvt Ltd","+ 91  9153761212","3.4","13","Andheri West","Mumbai"
"Pharma Franchisee & Manufacturing by Saksham Pharmaceuticals India Ltd","+ 91  9163687320","4.3","38","Rajiv Nagar","Delhi"
"Consern Pharma Pvt Ltd","+ 91  8426987020","","0","Tibba","Ludhiana"
"K.R.S Pharmaceuticals","","","0","Tibba","Ludhiana"
"V Revive Medicure Pvt. Ltd.","+ 91  915957818","4.4","28","Chandigarh","Chandigarh"
"Hk Agencies","+ 91  9077969089","","0","","Ludhiana"
"Shri Sai Balaji Pharmatech Pvt. Ltd.","+ 91  9158695399","4.2","27","Mdc Sector 5","Chandigarh"
"Pharma Pcd Franchise By Prk Biotech","+ 91  9172628187","3.4","11","Mani Majra","Chandigarh"
"Veecube Healthcare Pvt. Ltd.","+ 91  9162703478","4.4","17","Panchkula Industrial Area Phase 1","Chandigarh"
"Drug For Life India Pvt Ltd","+ 91  9183716553","4.4","17","Mani Majra","Chandigarh"
"Pharmahopers.com","+ 91  9119764147","4.6","113","Panchkula Sector 11","Chandigarh"
"Ritesh Chemical Industry","+ 91  22 54882761","3.9","7","Andheri West","Mumbai"
"Pcd Pharma Franchise By Sb Lifesciences","+ 91  9171418472","4.1","51","Panchkula Industrial Area Phase 2","Chandigarh"
"Healthkind Labs Pvt Ltd","+ 91  9170215310","4.4","7","","Chandigarh"
"Flanca Life Sciences","+ 91  9133836163","4.3","24","Chandigarh","Chandigarh"
"Dortmund Laboratories Pvt Ltd","+ 91  025147675870","3.0","17","Dombivli East","Mumbai"
"KS LABS","+ 91  9113113930","3.9","7","Near Main Industrial Area Phase2","Chandigarh"
"U S Biotech","+ 91  9815521677","5.0","1","Dholewal","Ludhiana"
"Pcd Pharma Franchise By Boffin Biotech Pvt Ltd","+ 91  8060774792","4.6","13","Near Balaji Battery","Sirmaur"
"Monopoly Pcd Pharma Franchise By Disecure Pharma","+ 91  9152977511","4.8","33","Jabalpur Ho","Jabalpur"
"Deebee Brothers","+ 91  9164296165","4.7","15","Vasna","Ahmedabad"
"Bio Search Organics","+ 91  9128332247","4.5","51","Ferozepur Road","Ludhiana"
"Aripolis Biotech Pvt Ltd","+ 91  9819863250","","0","Ferozepur Road","Ludhiana"
"Spruhaa Healthcare","+ 91  9124800031","4.3","4","Vashi Sector 17","Mumbai"
"Dhara Pharmaceuticals","+ 91  16160199504","4.0","2","Ludhiana Ho","Ludhiana"
