"Name","Phone","Rating","Votes","Locality","City"
"Medicine Centre","+ 91  9457040944","","0","Ghumar Mandi","Ludhiana"
"Medicine Traders","+ 91  16116698083","","0","Ludhiana Ho","Ludhiana"
"Medicine Centre","+ 91  9477372595","","0","Ghumar Mandi","Ludhiana"
"Medicine Traders","+ 91  1615771723","","0","Pindi Street","Ludhiana"
"Medicine Traders","+ 91  16126558389","","0","Ludhiana Ho","Ludhiana"
"Medicine Shoppe","+ 91  016182797762","","0","Near Bansal Hospatial","Ludhiana"
"Solutions-4 Homes","+ 91  8828106543","","0","Basti Jodhewal","Ludhiana"
"Medicine Centre","+ 91  9453136553","","0","Ghumar Mandi","Ludhiana"
"Medicine Centre","+ 91  9210920174","","0","Shimlapuri","Ludhiana"
"The Medicine World","+ 91  16122434886","","0","Ludhiana Bus Stand","Ludhiana"
"The Medicine Bazaar","+ 91  16192263016","4.3","2","NEAR BOOKS MARKET","Ludhiana"
"Medicine Chamber","+ 91  016172581225","","0","Bagh Khazanchian","Ludhiana"
"Medicine Traders","+ 91  16123749547","","0","Pindi Street","Ludhiana"
"Medicine Centre","+ 91  9431680091","","0","Ghumar Mandi","Ludhiana"
"Medicine Chamber","+ 91  16143554623","4.0","2","Ludhiana Ho","Ludhiana"
"The Medicine Bazar","+ 91  988442216","","0","Labour Colony","Ludhiana"
"Medicine Centre","+ 91  9213478779","","0","Shimlapuri","Ludhiana"
"Medicine Traders","+ 91  16173502386","","0","Ludhiana Ho","Ludhiana"
"Medicine Traders","+ 91  16160025414","","0","Ludhiana Ho","Ludhiana"
"The Medicine Bazar","+ 91  9853280013","","0","Labour Colony","Ludhiana"
"Medicine Chamber","+ 91  16177175856","4.0","2","Ludhiana Ho","Ludhiana"
"Medicine Centre","+ 91  9490499279","","0","Ghumar Mandi","Ludhiana"
"Medicine Chamber","+ 91  016196244207","","0","Bagh Khazanchian","Ludhiana"
"Medicine Shoppe","+ 91  016116083761","","0","Near Bansal Hospatial","Ludhiana"
"Medicine Shoppe","+ 91  01619088244","","0","Near Bansal Hospatial","Ludhiana"
"Medicine Shoppe","+ 91  016165519161","","0","Near Bansal Hospatial","Ludhiana"
"The Medicine Bazaar","+ 91  16111875611","4.3","2","NEAR BOOKS MARKET","Ludhiana"
"Medicine Traders","+ 91  1614443322","","0","Pindi Street","Ludhiana"
"The Medicine Bazaar","+ 91  16135497193","4.3","2","NEAR BOOKS MARKET","Ludhiana"
"Express Home Delivery Service","+ 91  9341563230","4.8","16","Ludhiana","Ludhiana"
"Medicine Chamber","+ 91  016197238896","","0","Bagh Khazanchian","Ludhiana"
"The Medicine Bazar","+ 91  9871553658","","0","Labour Colony","Ludhiana"
"Medicine Centre","+ 91  9255530537","","0","Shimlapuri","Ludhiana"
"Medicine Centre","+ 91  9228010374","","0","Shimlapuri","Ludhiana"
"The Medicine Bazar","+ 91  9868569057","","0","Labour Colony","Ludhiana"
"The Medicine World","+ 91  16197804688","","0","Ludhiana Bus Stand","Ludhiana"
"Medicine Shoppe","+ 91  016155433334","","0","Near Bansal Hospatial","Ludhiana"
"The Medicine Bazaar","+ 91  16174107899","4.3","2","NEAR BOOKS MARKET","Ludhiana"
"The Medicine Bazaar","+ 91  16196779910","4.3","2","NEAR BOOKS MARKET","Ludhiana"
"Medicine Chamber","+ 91  016116770988","","0","Bagh Khazanchian","Ludhiana"
"Medicine Traders","+ 91  16175062877","","0","Pindi Street","Ludhiana"
"Medicine Traders","+ 91  16111318346","","0","Pindi Street","Ludhiana"
"Medicine Traders","+ 91  1616941292","","0","Ludhiana Ho","Ludhiana"
"Medicine Chamber","+ 91  16179696109","4.0","2","Ludhiana Ho","Ludhiana"
"Medicine Centre","+ 91  9228607436","","0","Shimlapuri","Ludhiana"
"Medicine Chamber","+ 91  16131206098","4.0","2","Ludhiana Ho","Ludhiana"
"Medicine Chamber","+ 91  01615351700","","0","Bagh Khazanchian","Ludhiana"
"The Medicine Bazar","+ 91  9878644731","","0","Labour Colony","Ludhiana"
"The Medicine World","+ 91  16167526456","","0","Ludhiana Bus Stand","Ludhiana"
"Medicine Chamber","+ 91  16179917024","4.0","2","Ludhiana Ho","Ludhiana"
