"Name","Phone","Rating","Votes","Locality","City"
"Tere Naam 2 Hair Saloon","+ 91  8840978609","5.0","1","Mall Road","Kullu"
"OYO 29605 Woodward 2","+ 91  9177162124","4.1","103","Kasol","Kullu"
"Page 3 Lodge","+ 91  19020907643","3.1","26","Manali","Kullu"
"Vipasha Dairy Products","+ 91  9452689659","","0","Manali Kullu","Kullu"
"Flight 2 Travel.com","+ 91  9439520791","5.0","1","Mall Road","Kullu"
"Vipasha Dairy Products","+ 91  9427417855","","0","Manali Kullu","Kullu"
"Jeet Sweet Shop","+ 91  19073132208","4.6","6","Manali Kullu","Kullu"
"Vipasha Dairy Products","+ 91  9430540485","","0","Manali Kullu","Kullu"
"Hallan 2","+ 91  7064742216","4.7","12","","Kullu"
"Bansi Dairy","+ 91  9481808529","","0","Ghat","Kullu"
"Bhuttico Shawl Shop","+ 91  1906001585","4.0","6","","Kullu"
"Kanshika Aquarium  And  Pet  Shop","+ 91  7556846632","","0","","Kullu"
"the wood word 2","+ 91  755624313","1.0","1","Kasol","Kullu"
"Shop No. 168 (snow Dress)","+ 91  8633775028","4.8","11","Bahang","Kullu"
"Himachal Tourism Shop No. 111","+ 91  8879736184","5.0","1","Manali Kullu","Kullu"
"Starchoice Barber Shop","+ 91  8274016689","3.5","91","Siyal","Kullu"
"Bansi Dairy","+ 91  9443509423","","0","Ghat","Kullu"
"2-Bedroom Mountain-View Cottage","+ 91  8873060941","","0","Near Hidimba Temple","Kullu"
"Bansi Dairy","+ 91  9415426712","","0","Ghat","Kullu"
"Route 2 Himalaya","","","0","Bhuntar","Kullu"
"Page 3 Lodge","+ 91  19044999826","3.5","2","Manali Kullu","Kullu"
"Head 2 Toe Massage Service","+ 91  9083237859","3.7","26","Manali Kullu","Kullu"
"Bansi Dairy","+ 91  9472772233","","0","Ghat","Kullu"
"Amit Art Craft & Music Shop","+ 91  9128098064","4.1","25","Manali Kullu","Kullu"
"Delhi Seat Cover Shop","+ 91  9836607010","4.0","2","","Kullu"
"Step 2 Himalayas","+ 91  9174037912","4.8","29","Manali Kullu","Kullu"
"The Sleven Vista Cottage-4 Bhk Cottage","","","0","Manali","Kullu"
"Harmony Cottage-4 Bhk Cottage","","","0","Near Urvashi Retreat","Kullu"
"English Wine Shop","+ 91  9844854017","3.6","111","Mall Road","Kullu"
"Lovely Book Shop","+ 91  01903654888","4.0","4","Bhuntar","Kullu"
