"Name","Phone","Rating","Votes","Locality","City"
"Gayathri Provision Stores","+ 91  44 81725212","","0","Manali","Chennai"
"Sri Krishna Dairy Sweets","+ 91  9889485044","4.0","1","Tiruvottiyur","Chennai"
"Zion Mani Supermarket","+ 91  9815771330","4.1","109","Manali","Chennai"
"Sri Vari Traders","+ 91  9680400250","4.2","18","Tiruvottiyur","Chennai"
"Dairy Foods","+ 91  44 62894642","3.7","6","Saidapet","Chennai"
"Bakiyam Stores","+ 91  9356675079","","0","Kaladipet","Chennai"
"Thayi Collection","","","0","Kodungaiyur","Chennai"
"Nalini Dairy Products","+ 91  974104221","5.0","4","Mkb Nagar","Chennai"
"T. Thavamani Stores","+ 91  44 39869443","","0","Tondiarpet","Chennai"
"Rams Provision Stores","+ 91  44 69300164","","0","Manali","Chennai"
"Kathirvel Store","+ 91  9884922824","5.0","6","Tondiarpet","Chennai"
"Svs Supermarket","+ 91  44 13386545","5.0","1","Tiruvottiyur","Chennai"
"Vilva Super Stores","+ 91  7547042953","4.7","16","Kodungaiyur","Chennai"
"Maliga Kadai Store","+ 91  9920238700","3.5","4","Kodungaiyur","Chennai"
"National Shopping Mall","+ 91  044 92769474","4.0","40","Tiruvottiyur","Chennai"
"Mathan Store","+ 91  9847107687","5.0","2","Tiruvottiyur","Chennai"
"Dairy Day Corner","","3.5","2","Avadi","Chennai"
"K S Vadivudaiamman Stores","+ 91  9557748431","","0","Kaladipet","Chennai"
"Ponnarasan Store","+ 91  44 59802792","","0","Manali","Chennai"
"M Maart","+ 91  9832864106","3.9","158","Tondiarpet","Chennai"
"Aadhithya Dal","+ 91  44 78060813","4.4","4","Tiruvottiyur","Chennai"
"Karungaliamman Maligai","+ 91  9583772219","","0","Vyasarpadi","Chennai"
"Sree M Kandaswamy Provision Stores","+ 91  44 44061472","","0","Tiruvottiyur","Chennai"
"Seenu Store","+ 91  943513038","5.0","4","Kodungaiyur","Chennai"
"Vel Saravana Store","+ 91  9989831604","5.0","4","Thangal","Chennai"
"Krishna Store","+ 91  44 85997284","","0","Mkb Nagar","Chennai"
"R G & Sons Stores","+ 91  44 85828054","","0","New Washermanpet-Tondiarpet","Chennai"
"Sri Bala Murugan Store","+ 91  44 71224473","5.0","4","Korukkupet","Chennai"
"Jayaraman Store","","4.0","1","Tiruvottiyur","Chennai"
"Balaji Stores","","5.0","2","Tiruvottiyur","Chennai"
"Sri Mahalingam Store","+ 91  44 41041502","4.4","18","Padi","Chennai"
"Abirami Store","+ 91  44 54420708","4.0","1","Kodungaiyur","Chennai"
"K.S.M Milk Agencies","+ 91  9956008981","5.0","1","Muthamil Nagar-Kodungaiyur","Chennai"
"Aavin Milk Booth","+ 91  8443936252","4.1","108","Madhavaram Milk Colony","Chennai"
"Deepika Maligai Stores","+ 91  9841586499","4.4","8","Parrys","Chennai"
"SVP Traders","","","0","Tiruvottiyur","Chennai"
"Kurinji Super Market","+ 91  9763241907","4.6","3","Ponniammanmedu","Chennai"
"Ayaz Bhai Dukan","+ 91  8866203961","5.0","2","","Chennai"
"On Saravanan Provision Store","+ 91  9931990834","","0","Thangal","Chennai"
"Thanjai Rajan Stores","+ 91  9465700611","","0","Tiruvottiyur","Chennai"
"B V M Store","+ 91  9960987789","4.0","2","Korukkupet","Chennai"
"New Supreme Bakery","+ 91  8618083595","4.2","32","Ramayanpatti","Tirunelveli"
"Krishna Provision","+ 91  9999919399","3.5","2","Tiruvottiyur","Chennai"
"Priya Store","+ 91  9875918414","4.2","11","Kodungaiyur","Chennai"
"Bharathi Stores","+ 91  944082451","3.8","5","Mkb Nagar","Chennai"
"Vedam Milk Products","+ 91  43140774905","4.4","29","Ammamandapam","Trichy"
"Ramalakshmi Oil Store","+ 91  44 46496479","","0","Kodungaiyur","Chennai"
"Municipal Corporation Ward Number 52","+ 91  9470131566","","0","Washermanpet","Chennai"
"R S Stores","+ 91  7287956778","","0","Tiruvottiyur","Chennai"
"Sekar Provision Stores","+ 91  44 92305282","4.0","6","Tiruvottiyur","Chennai"
"Karthika Agency","+ 91  7246906374","","0","Madhavaram","Chennai"
"Francis Milk Agency","+ 91  44 36994579","3.8","20","Raja Annamalai Puram","Chennai"
"Palani Andavar Enterprises","+ 91  7330796144","","0","Manali","Chennai"
"Srinivaasa Provisional Store","+ 91  9937023111","4.6","6","Tiruvottiyur","Chennai"
"Snp Dairy Milk","+ 91  8484661812","3.9","27","Thanichiyam","Madurai"
"Saravana Store","+ 91  44 85029728","4.3","6","Washermanpet","Chennai"
"Bharani Stores","+ 91  8941126684","4.3","14","Kodungaiyur","Chennai"
"Village Milk Raw Cow Milk","+ 91  709377538","","0","Vyasarpadi","Chennai"
"Siva Shakthi Stores","+ 91  997008413","","0","Madhavaram","Chennai"
"Sri Ellammal Stores","+ 91  9719203835","5.0","2","Tondiarpet","Chennai"
"Happy Day Groceries","+ 91  8838079949","","0","Ponniammanmedu","Chennai"
"Jyothi Heritage Parlour","+ 91  9843106898","5.0","2","","Chennai"
"Selva Kumar Store","+ 91  44 33075013","","0","Manali","Chennai"
"Mangalam Dairy Shop","+ 91  7437415902","","0","Maduravoyal","Chennai"
"Family Supermarket","+ 91  044 32578963","4.1","80","Kodungaiyur","Chennai"
"Vds Global Foods","+ 91  996632155","4.8","38","Kodungaiyur","Chennai"
"Selvi Store General Merchants","","","0","Tiruvottiyur","Chennai"
"Gokulakrishna Milk Center","+ 91  948830158","4.8","6","Selaiyur","Chennai"
"Sadasivam","+ 91  9948946876","","0","Manali","Chennai"
"Selvamani Store","","","0","Kodungaiyur","Chennai"
"Vinoth Provision Store","+ 91  9018016580","","0","Thangal","Chennai"
"Saraswathy Provision Store","+ 91  44 93354804","5.0","1","Kodungaiyur","Chennai"
"Aavin Shop","+ 91  9462983509","4.0","6","Tiruvottiyur","Chennai"
"Periya Nayagi Stores","+ 91  9976882104","","0","Kodungaiyur","Chennai"
"MILKY MIST","+ 91  9157751270","4.4","22","Velacheri","Chennai"
"Sarawana Store","","3.0","1","Kodungaiyur","Chennai"
"Joseph Stores","+ 91  9033087761","5.0","1","Kodungaiyur","Chennai"
"APR Super Market","+ 91  44 67688552","3.7","109","Kodungaiyur","Chennai"
"Nagajothi Provision Stores","+ 91  9873159275","","0","Sattangadu","Chennai"
"Vetrivel Store","+ 91  9840109526","","0","Kodungaiyur","Chennai"
"A2z Provision Store","+ 91  9685919173","3.5","12","Tondiarpet","Chennai"
"Subramaniam stores","+ 91  961721921","4.3","3","Kodungaiyur","Chennai"
"Karpagam Agro Foods Pvt Ltd","+ 91  44 66707449","4.3","9","Krishnamoorthy Nagar-Kodungaiyur","Chennai"
"Thangam murugan Stores","+ 91  899595023","4.1","25","Tondiarpet","Chennai"
"Raajalakshmi General Stores","+ 91  44 98703711","","0","Kodungaiyur","Chennai"
"Sathish Bakery & Sweets","+ 91  9198557679","4.0","47","Saidapet","Chennai"
"Sundar Stores","+ 91  7932728812","3.5","8","Tiruvottiyur","Chennai"
