"Name","Phone","Rating","Votes","Locality","City"
"Dairy Development Department","+ 91  44 11928512","4.7","9","Madhavaram Milk Colony","Chennai"
" Dairy","+ 91  44 4011670","","0","Kottivakkam","Chennai"
"Dairy Development Department","+ 91  44 78520039","4.7","9","Madhavaram Milk Colony","Chennai"
"Dairy Day","+ 91  9963560407","3.7","31","Velacheri","Chennai"
"Mangalam Dairy Shop","+ 91  7422552549","","0","Maduravoyal","Chennai"
"Dairy Day Corner","","3.5","2","Avadi","Chennai"
"Dairy Foods","+ 91  44 3205473","3.7","6","Saidapet","Chennai"
"Dairy Fresh Restaurant","+ 91  9047335971","4.5","2","Tambaram East","Chennai"
"Dairy Day Cakes","+ 91  9968805617","","0","Choolaimedu","Chennai"
"Dairy Classic Icecreams Pvt Ltd","+ 91  982104250","","0","Near By V.A.O Office","Chennai"
"Dairy Day Corner","","3.5","2","Avadi","Chennai"
" Dairy","+ 91  44 25543288","","0","Kottivakkam","Chennai"
"Dairy Day","+ 91  9985185304","3.7","31","Velacheri","Chennai"
" Dairy","+ 91  44 75212759","","0","Kottivakkam","Chennai"
"Dairy Foods","+ 91  44 96601725","3.7","6","Saidapet","Chennai"
"Dairy Foods","+ 91  44 70070100","3.7","6","Saidapet","Chennai"
"Dairy Plus India Ltd","+ 91  44 98762528","2.0","1","Kodambakkam","Chennai"
"Dairy Day Cakes","+ 91  994363848","","0","Choolaimedu","Chennai"
"Aavin Milk & Dairy Products Shop","+ 91  9074732835","","0","Vellanur","Chennai"
"Dairy Classic Icecreams Pvt Ltd","+ 91  9878297193","","0","Near By V.A.O Office","Chennai"
"Dairy Day Ice Cream","+ 91  9740279332","4.3","7","Kovilambakkam","Chennai"
"Dairy Day Ice Cream","+ 91  9722009243","4.3","7","Kovilambakkam","Chennai"
"Dairy Development Department","+ 91  44 32033669","4.7","9","Madhavaram Milk Colony","Chennai"
"Dairy Plus India Ltd","+ 91  44 27280150","2.0","1","Kodambakkam","Chennai"
"Dairy Day Corner","","3.5","2","Avadi","Chennai"
"Dairy Day","+ 91  9917374606","3.7","31","Velacheri","Chennai"
"Dairy Fresh Restaurant","+ 91  9063085744","4.5","2","Tambaram East","Chennai"
"Dairy Day Cakes","+ 91  9997762811","","0","Choolaimedu","Chennai"
"Dairy Development Department","+ 91  44 28685104","4.7","9","Madhavaram Milk Colony","Chennai"
"Dairy Day","+ 91  9948943030","3.7","31","Velacheri","Chennai"
"Dairy Classic Icecreams Pvt Ltd","+ 91  9825787995","","0","Near By V.A.O Office","Chennai"
"Dairy Day Cakes","+ 91  9924664550","","0","Choolaimedu","Chennai"
"Dairy Day","+ 91  997383451","3.7","31","Velacheri","Chennai"
"Dairy Fresh Restaurant","+ 91  9098347760","4.5","2","Tambaram East","Chennai"
"Dairy Development Department","+ 91  44 54729451","4.7","9","Madhavaram Milk Colony","Chennai"
"Vision dairy shop","+ 91  8325839271","","0","Maduravoyal","Chennai"
"Dairy Day Ice Cream","+ 91  9723324871","4.3","7","Kovilambakkam","Chennai"
"Dairy Classic Icecreams Pvt Ltd","+ 91  9863492549","","0","Near By V.A.O Office","Chennai"
"Dairy Day Cakes","+ 91  9991221177","","0","Choolaimedu","Chennai"
"Dairy Foods","+ 91  44 21969382","3.7","6","Saidapet","Chennai"
"Dairy Day Ice Cream","+ 91  9773051804","4.3","7","Kovilambakkam","Chennai"
"Dairy Day Corner","","3.5","2","Avadi","Chennai"
"Dairy Plus India Ltd","+ 91  44 45397454","2.0","1","Kodambakkam","Chennai"
"Dairy Day Corner","","3.5","2","Avadi","Chennai"
"Dairy Classic Icecreams Pvt Ltd","+ 91  9853851223","","0","Near By V.A.O Office","Chennai"
" Dairy","+ 91  44 55703038","","0","Kottivakkam","Chennai"
"Dairy Day Ice Cream","+ 91  9784242687","4.3","7","Kovilambakkam","Chennai"
"Dairy Foods","+ 91  44 15700345","3.7","6","Saidapet","Chennai"
"Dairy Plus India Ltd","+ 91  44 40771841","2.0","1","Kodambakkam","Chennai"
"Dairy Fresh Restaurant","+ 91  9053625190","4.5","2","Tambaram East","Chennai"
