"Name","Phone","Rating","Votes","Locality","City"
"Medicine Biotech Pvt Ltd","+ 91  044 73519099","4.5","4","Perungudi","Chennai"
"Medicine Pharma Distributors","+ 91  9944613072","4.8","5","Mogappair East","Chennai"
"Medicine Helpline (Closed Down)","","4.0","2","Kilpauk","Chennai"
"Medicine And Diabetic Clinic","","","0","Kilpauk","Chennai"
"Riya Education (Closed Down)","","","0","Egmore","Chennai"
"Medicine Biotech Pvt Ltd","+ 91  044 72012311","4.5","4","Perungudi","Chennai"
"Medicine And Diabetic Clinic","","","0","Kilpauk","Chennai"
"Medicine Chamber","+ 91  44 41730927","3.8","38","Park Town","Chennai"
"Medicine Helpline (Closed Down)","","4.0","2","Kilpauk","Chennai"
"Medicine Health Care Pvt Ltd","9482485851","","0","","Chennai"
"Medicine Home Delivery Services","+ 91  9011158055","","0","Kodungaiyur","Chennai"
"Medicine Home Delivery Services","+ 91  9037902393","","0","Kodungaiyur","Chennai"
"Medicine Health Care Pvt Ltd","9437796654","","0","","Chennai"
"Medicine Pharma Distributors","+ 91  9916422008","4.8","5","Mogappair East","Chennai"
"R K Pharma Distributors","+ 91  44 58880926","3.6","10","Arumbakkam","Chennai"
"Medicine Home Delivery Services","+ 91  9090640796","","0","Kodungaiyur","Chennai"
"Medicine Pharma Distributors","+ 91  9962339530","4.8","5","Mogappair East","Chennai"
"Riya Education (Closed Down)","","","0","Egmore","Chennai"
"R K Pharma Distributors","+ 91  44 75824675","3.6","10","Arumbakkam","Chennai"
"Medicine Zone","+ 91  9525400489","","0","Saligramam","Chennai"
"Riya Education (Closed Down)","","","0","Egmore","Chennai"
"Medicine And Diabetic Clinic","","","0","Kilpauk","Chennai"
"Medicine Zone","+ 91  9519396024","","0","Saligramam","Chennai"
"Medicine Biotech Pvt Ltd","+ 91  044 93081187","4.5","4","Perungudi","Chennai"
"Medicine Pharma Distributors","+ 91  9990136454","4.8","5","Mogappair East","Chennai"
"Medicine Home Delivery Services","+ 91  906929414","","0","Kodungaiyur","Chennai"
"Riya Education (Closed Down)","","","0","Egmore","Chennai"
"Medicine Home Delivery Services","+ 91  9086373842","","0","Kodungaiyur","Chennai"
"Medicine Pharma Distributors","+ 91  9912083361","4.8","5","Mogappair East","Chennai"
"Medicine And Diabetic Clinic","","","0","Kilpauk","Chennai"
"R K Pharma Distributors","+ 91  44 6538134","3.6","10","Arumbakkam","Chennai"
"Medicine Zone","+ 91  9599043914","","0","Saligramam","Chennai"
"R K Pharma Distributors","+ 91  44 93498402","3.6","10","Arumbakkam","Chennai"
"Medicine Helpline (Closed Down)","","4.0","2","Kilpauk","Chennai"
"R K Pharma Distributors","+ 91  44 67984057","3.6","10","Arumbakkam","Chennai"
"Medicine Helpline (Closed Down)","","4.0","2","Kilpauk","Chennai"
"Medicine Biotech Pvt Ltd","+ 91  044 18903805","4.5","4","Perungudi","Chennai"
"Riya Education (Closed Down)","","","0","Egmore","Chennai"
"Medicine Health Care Pvt Ltd","9495090182","","0","","Chennai"
"Medicine Helpline (Closed Down)","","4.0","2","Kilpauk","Chennai"
"Medicine Health Care Pvt Ltd","9441771606","","0","","Chennai"
"Medicine Zone","+ 91  9511058808","","0","Saligramam","Chennai"
"Medicine Health Care Pvt Ltd","9470355984","","0","","Chennai"
"Medicine And Diabetic Clinic","","","0","Kilpauk","Chennai"
"Medicine Chamber","+ 91  44 21908906","3.8","38","Park Town","Chennai"
"Medicine Chamber","+ 91  44 30930791","3.8","38","Park Town","Chennai"
"Medicine Biotech Pvt Ltd","+ 91  044 68474300","4.5","4","Perungudi","Chennai"
"Medicine Zone","+ 91  9538281620","","0","Saligramam","Chennai"
"Medicine Chamber","+ 91  44 94976229","3.8","38","Park Town","Chennai"
"Medicine Chamber","+ 91  44 23586631","3.8","38","Park Town","Chennai"
